id,سوال (Question),جواب (Answer)
1,میری فلائٹ کا اسٹیٹس کہاں چیک کر سکتا ہوں؟,آپ اپنی فلائٹ کا اسٹیٹس مرکزی ڈیپارچر اسکرین پر دیکھ سکتے ہیں یا اپنی ایئرلائن کے کاؤنٹر سے معلوم کر سکتے ہیں۔ اگر آپ مجھے فلائٹ نمبر بتائیں تو میں فوراً بتا سکتا ہوں کہ وہ وقت پر ہے یا تاخیر کا شکار ہے۔
2,پی آئی اے کی کراچی جانے والی فلائٹ پی کے 301 وقت پر ہے؟,جی ہاں، پی آئی اے کی فلائٹ پی کے 301 کراچی کے لیے وقت پر روانہ ہوگی۔ بورڈنگ تقریباً روانگی سے 45 منٹ پہلے شروع ہو جائے گی۔
3,دبئی جانے والی فلائٹ لیٹ ہے؟,جی، ایمریٹس کی فلائٹ دبئی کے لیے تقریباً 30 منٹ تاخیر کا شکار ہے۔ براہ کرم گیٹ نمبر 8 کے قریب رہیں، جیسے ہی اپڈیٹ آئے گی اعلان کیا جائے گا۔
4,ایئر سیال کا چیک اِن کاؤنٹر کہاں ہے؟,ایئر سیال کے چیک اِن کاؤنٹر داخلی دروازہ نمبر 3 کے قریب واقع ہیں۔ وہاں 5 سے 8 نمبر کاؤنٹرز پر ایئر سیال کا عملہ موجود ہے۔
5,مجھے فلائٹ سے کتنی دیر پہلے پہنچنا چاہیے؟,اگر آپ کی گھریلو فلائٹ ہے تو کم از کم 2 گھنٹے پہلے پہنچیں۔ بین الاقوامی فلائٹس کے لیے 3 گھنٹے پہلے آنا بہتر ہے تاکہ امیگریشن اور سیکیورٹی کا عمل آسانی سے مکمل ہو سکے۔
6,سیرین ایئر کی لاہور جانے والی فلائٹ بورڈنگ پر ہے؟,جی، سیرین ایئر کی فلائٹ ای آر 502 لاہور کے لیے گیٹ 6 سے بورڈنگ پر ہے۔ براہ کرم بورڈنگ پاس اور شناختی کارڈ ساتھ رکھیں۔
7,میں آج کی ڈیپارچر فلائٹس کا شیڈول کہاں دیکھ سکتا ہوں؟,آپ تمام روانگیوں کا شیڈول مرکزی ہال میں موجود بڑی ڈیجیٹل اسکرینز پر دیکھ سکتے ہیں، یا آپ اپنی مخصوص فلائٹ کا نمبر بتائیں تو میں چیک کر سکتا ہوں۔
8,جدہ جانے والی فلائٹ وقت پر روانہ ہوگی؟,جی ہاں، سعودی ایئرلائن کی فلائٹ جدہ کے لیے شیڈول کے مطابق ہے۔ بورڈنگ جلد ہی گیٹ 10 سے شروع ہوگی۔
9,گھریلو فلائٹ کے لیے سامان کی وزن کی حد کیا ہے؟,اکثر ایئرلائنز گھریلو فلائٹس میں 20 کلو چیک اِن اور 7 کلو ہینڈ کیری کی اجازت دیتی ہیں۔ بہتر ہے آپ اپنی ایئرلائن سے تصدیق کر لیں۔
10,کیا قطر ایئر ویز کی آن لائن چیک اِن سہولت موجود ہے؟,جی ہاں، قطر ایئر ویز کی ویب سائٹ اور ایپ کے ذریعے آن لائن چیک اِن کیا جا سکتا ہے۔ آپ گھر سے بورڈنگ پاس بھی پرنٹ کر سکتے ہیں۔
11,فلائی جناح کا کاؤنٹر کہاں ہے؟,فلائی جناح کے چیک اِن کاؤنٹرز مین ڈیپارچر ہال کے بائیں جانب گیٹ 2 کے قریب واقع ہیں۔
12,اسلام آباد سے لاہور جانے والی فلائٹ جا چکی ہے؟,جی، لاہور جانے والی فلائٹ چند منٹ پہلے روانہ ہو گئی ہے۔ اگر آپ رہ گئے ہیں تو اپنی ایئرلائن کے کاؤنٹر پر دوبارہ بکنگ کروائیں۔
13,دوحہ جانے والی فلائٹ میں تاخیر ہے؟,جی، قطر ایئر ویز کی فلائٹ دوحہ کے لیے تقریباً 15 منٹ تاخیر کا شکار ہے۔ نیا روانگی وقت 10:15 بجے رات ہے۔
14,اگر میری فلائٹ منسوخ ہو جائے تو کیا کرنا چاہیے؟,اگر فلائٹ منسوخ ہو جائے تو اپنی ایئرلائن کے ہیلپ ڈیسک پر جائیں۔ وہ آپ کو نئی فلائٹ، ری فنڈ یا دیگر انتظامات میں مدد فراہم کریں گے۔
15,میرا گیٹ نمبر کہاں لکھا ہوتا ہے؟,آپ کا گیٹ نمبر بورڈنگ پاس پر درج ہوتا ہے اور ڈیجیٹل بورڈز پر بھی دکھایا جاتا ہے۔
16,ترکیش ایئر لائن کی استنبول جانے والی فلائٹ بورڈنگ پر ہے؟,جی، ترکیش ایئر لائن کی فلائٹ ٹی کے 711 استنبول کے لیے 15 منٹ میں بورڈنگ شروع کرے گی۔
17,کیا میں اضافی سامان لے جا سکتا ہوں؟,جی، اگر آپ اضافی فیس ادا کریں تو زیادہ وزن والا سامان لے جا سکتے ہیں۔ ادائیگی ایئرلائن کے کاؤنٹر پر کی جاتی ہے۔
18,گلگت جانے والی فلائٹ آج چل رہی ہے؟,جی، آج گلگت جانے والی فلائٹ شیڈول کے مطابق روانہ ہوگی، مگر یہ موسم کی صورتحال پر منحصر ہے۔
19,فلائٹ میں تاخیر کی اطلاع کہاں سے ملے گی؟,تمام تاخیر کی معلومات ڈیجیٹل اسکرینز پر دکھائی جاتی ہیں اور اعلان بھی کیا جاتا ہے۔
