#,مسافر کا سوال,چیٹ بوٹ کا جواب, ارادہ,سیاق و سباق, زبان,
1,میرا چیک ان کاؤنٹر کہاں ہے؟,براہ کرم اپنی ایئرلائن کے چیک ان کاؤنٹر پر جائیں، روانگی ہال میں نشانات موجود ہیں۔,چیک ان معلومات,روانگی,اُردو,
2,پی آئی اے کا کاؤنٹر کس قطار میں ہے؟,پی آئی اے کے کاؤنٹر قطار سی میں گیٹ ۴ کے قریب واقع ہیں۔,چیک ان معلومات,روانگی,اُردو,
3,سیریں ایئر کا چیک ان کہاں ہوتا ہے؟,سیریں ایئر کے کاؤنٹر قطار بی میں ہیں، وہاں عملہ آپ کی رہنمائی کرے گا۔,چیک ان معلومات,روانگی,اُردو,
4,کیا میں آن لائن چیک ان کے بعد بیگ جمع کرا سکتا ہوں؟,جی ہاں، بیگیج ڈراپ کاؤنٹر پر جائیں جہاں “Online Check-In” لکھا ہے۔,چیک ان معلومات,روانگی,اُردو,
5,میں نے آن لائن بورڈنگ پاس نکالا ہے، کیا کافی ہے؟,جی ہاں، موبائل یا پرنٹ دونوں منظور ہیں۔,چیک ان معلومات,روانگی,اُردو,
6,چیک ان کب کھلتا ہے؟,بین الاقوامی پروازوں کے لیے ۳ گھنٹے پہلے اور ملکی پروازوں کے لیے ۲ گھنٹے پہلے کھلتا ہے۔,چیک ان معلومات,روانگی,اُردو,
7,چیک ان کب بند ہوتا ہے؟,ملکی پروازوں کے لیے ۴۵ منٹ اور بین الاقوامی کے لیے ۶۰ منٹ پہلے بند ہوتا ہے۔,چیک ان معلومات,روانگی,اُردو,
8,کیا اسلام آباد ایئرپورٹ پر خودکار چیک ان مشین ہے؟,جی ہاں، ہال بی کے داخلی دروازے کے قریب سیلف چیک-ان کاؤنٹر موجود ہیں۔,چیک ان معلومات,روانگی,اُردو,
9,بورڈنگ پاس کہاں سے ملے گا؟,ایئرلائن کے کاؤنٹر سے چیک ان مکمل کرنے پر بورڈنگ پاس جاری کیا جاتا ہے۔,چیک ان معلومات,روانگی,اُردو,
10,کیا کارگو بیگ بھی یہی جمع ہوتا ہے؟,نہیں، کارگو کے لیے علیحدہ کاؤنٹر ہے، نشانیاں موجود ہیں۔,چیک ان معلومات,روانگی,اُردو,
11,میرا سامان زیادہ وزن کا ہے، کہاں جاؤں؟,اضافی وزن کی ادائیگی کے لیے قطار ڈی کے قریب ایکسٹرابیگیج ڈیسک پر جائیں۔,چیک ان معلومات,روانگی,اُردو,
12,کیا فیملی کے لیے علیحدہ کاؤنٹر ہے؟,جی ہاں، بچوں والی فیملیز کے لیے ترجیحی لائن دستیاب ہے۔,چیک ان معلومات,روانگی,اُردو,
13,خصوصی معاونت والے مسافر کہاں جائیں؟,کاؤنٹر ۱ خصوصی معاونت والے مسافروں کے لیے مخصوص ہے۔,چیک ان معلومات,روانگی,اُردو,
14,فاسٹ ٹریک چیک ان کیا ہے؟,یہ بزنس یا پریمیئم مسافروں کے لیے تیز رفتار سروس ہے۔,چیک ان معلومات,روانگی,اُردو,
15,کیا میں دو بیگ جمع کرا سکتا ہوں؟,جی ہاں، وزن ایئرلائن کی حد میں ہو تو اجازت ہے۔,چیک ان معلومات,روانگی,اُردو,
16,ہاتھ کے سامان کی زیادہ سے زیادہ حد کیا ہے؟,۷ کلوگرام تک، لیکن اپنی ایئرلائن سے تصدیق کر لیں۔,چیک ان معلومات,روانگی,اُردو,
17,بیگیج ریپنگ کہاں ہوتی ہے؟,گیٹ ۳ کے قریب بیگیج ریپنگ سروس دستیاب ہے۔,چیک ان معلومات,روانگی,اُردو,
18,کیا میں اپنا سامان پہلے دن جمع کرا سکتا ہوں؟,نہیں، چیک ان صرف پرواز کے دن ہی ممکن ہے۔,چیک ان معلومات,روانگی,اُردو,
