id,category,user_query,intent,airport,flight_number,origin_city,response,language
1,arrival_time,Arrival time info for flight HM184 from London?,flight_information,Islamabad International Airport (ISB),HM184,London,Flight HM184 from London is scheduled to arrive at 16:00 at Islamabad International Airport (ISB). Please check arrival displays for carousel and gate updates.,English
2,arrival_time,Arrival time info for flight BA484 from Abu Dhabi?,flight_information,Islamabad International Airport (ISB),BA484,Abu Dhabi,Flight BA484 from Abu Dhabi is scheduled to arrive at 02:24 at Islamabad International Airport (ISB). Please check arrival displays for carousel and gate updates.,English
3,arrival_time,Arrival time info for flight EY200 from Dubai?,flight_information,Islamabad International Airport (ISB),EY200,Dubai,Flight EY200 from Dubai is scheduled to arrive at 06:24 at Islamabad International Airport (ISB). Please check arrival displays for carousel and gate updates.,English
4,arrival_time,Arrival time info for flight EK521 from Dubai?,flight_information,Islamabad International Airport (ISB),EK521,Dubai,Flight EK521 from Dubai is scheduled to arrive at 17:32 at Islamabad International Airport (ISB). Please check arrival displays for carousel and gate updates.,English
5,arrival_time,Arrival time info for flight EK897 from Riyadh?,flight_information,Islamabad International Airport (ISB),EK897,Riyadh,Flight EK897 from Riyadh is scheduled to arrive at 00:45 at Islamabad International Airport (ISB). Please check arrival displays for carousel and gate updates.,English
6,arrival_time,Arrival time info for flight SV904 from Istanbul?,flight_information,Islamabad International Airport (ISB),SV904,Istanbul,Flight SV904 from Istanbul is scheduled to arrive at 11:33 at Islamabad International Airport (ISB). Please check arrival displays for carousel and gate updates.,English
7,arrival_time,Arrival time info for flight PK709 from Doha?,flight_information,Islamabad International Airport (ISB),PK709,Doha,Flight PK709 from Doha is scheduled to arrive at 06:07 at Islamabad International Airport (ISB). Please check arrival displays for carousel and gate updates.,English
8,arrival_time,Arrival time info for flight SV720 from Dubai?,flight_information,Islamabad International Airport (ISB),SV720,Dubai,Flight SV720 from Dubai is scheduled to arrive at 04:35 at Islamabad International Airport (ISB). Please check arrival displays for carousel and gate updates.,English
9,arrival_time,Arrival time info for flight BA188 from Abu Dhabi?,flight_information,Islamabad International Airport (ISB),BA188,Abu Dhabi,Flight BA188 from Abu Dhabi is scheduled to arrive at 08:28 at Islamabad International Airport (ISB). Please check arrival displays for carousel and gate updates.,English
10,arrival_time,Arrival time info for flight UL280 from Lahore?,flight_information,Islamabad International Airport (ISB),UL280,Lahore,Flight UL280 from Lahore is scheduled to arrive at 17:51 at Islamabad International Airport (ISB). Please check arrival displays for carousel and gate updates.,English
