id,user_query,intent,airport,flight_number,origin_city,arrival_time,flight_status,response
1,کیا فلائٹ SV956 جدہ سے تاخیر کا شکار ہے؟,flight_information,اسلام آباد,SV956,جدہ,18:47,لینڈ ہو گئی,فلائٹ SV956 جدہ سے 18:47 بجے اسلام آباد پہنچے گی اور اس کی صورتحال لینڈ ہو گئی ہے۔
2,فلائٹ EY423 کا آمد کا وقت کیا ہے؟,flight_information,اسلام آباد,EY423,لندن,10:39,وقت پر,فلائٹ EY423 لندن سے 10:39 بجے اسلام آباد پہنچے گی اور اس کی صورتحال وقت پر ہے۔
3,فلائٹ EK205 اسلام آباد کب لینڈ کرے گی؟,flight_information,اسلام آباد,EK205,استنبول,15:36,لینڈ ہو گئی,فلائٹ EK205 استنبول سے 15:36 بجے اسلام آباد پہنچے گی اور اس کی صورتحال لینڈ ہو گئی ہے۔
4,فلائٹ BA193 کس وقت اسلام آباد اترے گی؟,flight_information,اسلام آباد,BA193,شارجہ,12:38,تاخیر,فلائٹ BA193 شارجہ سے 12:38 بجے اسلام آباد پہنچے گی اور اس کی صورتحال تاخیر ہے۔
5,فلائٹ EY155 کی آمد کی صورتحال بتائیں؟,flight_information,اسلام آباد,EY155,دوحہ,13:10,لینڈ ہو گئی,فلائٹ EY155 دوحہ سے 13:10 بجے اسلام آباد پہنچے گی اور اس کی صورتحال لینڈ ہو گئی ہے۔
6,فلائٹ PK157 ابو ظہبی سے اسلام آباد کب پہنچے گی؟,flight_information,اسلام آباد,PK157,ابو ظہبی,15:27,لینڈ ہو گئی,فلائٹ PK157 ابو ظہبی سے 15:27 بجے اسلام آباد پہنچے گی اور اس کی صورتحال لینڈ ہو گئی ہے۔
7,کیا فلائٹ QR429 ریاض سے تاخیر کا شکار ہے؟,flight_information,اسلام آباد,QR429,ریاض,03:53,وقت پر,فلائٹ QR429 ریاض سے 03:53 بجے اسلام آباد پہنچے گی اور اس کی صورتحال وقت پر ہے۔
8,فلائٹ EK908 کا آمد کا وقت کیا ہے؟,flight_information,اسلام آباد,EK908,لندن,07:52,وقت پر,فلائٹ EK908 لندن سے 07:52 بجے اسلام آباد پہنچے گی اور اس کی صورتحال وقت پر ہے۔
9,فلائٹ TK912 اسلام آباد کب لینڈ کرے گی؟,flight_information,اسلام آباد,TK912,دبئی,01:54,وقت پر,فلائٹ TK912 دبئی سے 01:54 بجے اسلام آباد پہنچے گی اور اس کی صورتحال وقت پر ہے۔
10,کیا فلائٹ TK778 کراچی سے تاخیر کا شکار ہے؟,flight_information,اسلام آباد,TK778,کراچی,18:24,وقت پر,فلائٹ TK778 کراچی سے 18:24 بجے اسلام آباد پہنچے گی اور اس کی صورتحال وقت پر ہے۔
