Query,Language,Intent,Terminal,Response
Where is the baggage belt?,English,Baggage,Arrival,"You can find the baggage belt in the Arrival terminal near Belt 1. Please follow the 'Baggage Claim' signs for assistance. If your bag is delayed or missing, visit the nearest baggage help desk."
Where is the lost luggage?,English,Baggage,Arrival,"You can find the lost luggage in the Arrival terminal near Belt 2. Please follow the 'Baggage Claim' signs for assistance. If your bag is delayed or missing, visit the nearest baggage help desk."
Where is the oversized baggage?,English,Baggage,Arrival,"You can find the oversized baggage in the Arrival terminal near Belt 3. Please follow the 'Baggage Claim' signs for assistance. If your bag is delayed or missing, visit the nearest baggage help desk."
Where is the baggage claim?,English,Baggage,Arrival,"You can find the baggage claim in the Arrival terminal near Belt 4. Please follow the 'Baggage Claim' signs for assistance. If your bag is delayed or missing, visit the nearest baggage help desk."
Where is the trolley?,English,Baggage,Arrival,"You can find the trolley in the Arrival terminal near Belt 5. Please follow the 'Baggage Claim' signs for assistance. If your bag is delayed or missing, visit the nearest baggage help desk."
Where is the baggage wrapping?,English,Baggage,Arrival,"You can find the baggage wrapping in the Arrival terminal near Belt 6. Please follow the 'Baggage Claim' signs for assistance. If your bag is delayed or missing, visit the nearest baggage help desk."
Where is the damaged bag?,English,Baggage,Arrival,"You can find the damaged bag in the Arrival terminal near Belt 7. Please follow the 'Baggage Claim' signs for assistance. If your bag is delayed or missing, visit the nearest baggage help desk."
Where is the missing bag?,English,Baggage,Arrival,"You can find the missing bag in the Arrival terminal near Belt 8. Please follow the 'Baggage Claim' signs for assistance. If your bag is delayed or missing, visit the nearest baggage help desk."
Where is the baggage inquiry desk?,English,Baggage,Arrival,"You can find the baggage inquiry desk in the Arrival terminal near Belt 1. Please follow the 'Baggage Claim' signs for assistance. If your bag is delayed or missing, visit the nearest baggage help desk."
Where is the luggage storage?,English,Baggage,Arrival,"You can find the luggage storage in the Arrival terminal near Belt 2. Please follow the 'Baggage Claim' signs for assistance. If your bag is delayed or missing, visit the nearest baggage help desk."
Where is the priority baggage?,English,Baggage,Arrival,"You can find the priority baggage in the Arrival terminal near Belt 3. Please follow the 'Baggage Claim' signs for assistance. If your bag is delayed or missing, visit the nearest baggage help desk."
Where is the baggage weight limit?,English,Baggage,Arrival,"You can find the baggage weight limit in the Arrival terminal near Belt 4. Please follow the 'Baggage Claim' signs for assistance. If your bag is delayed or missing, visit the nearest baggage help desk."
Where is the baggage delay?,English,Baggage,Arrival,"You can find the baggage delay in the Arrival terminal near Belt 5. Please follow the 'Baggage Claim' signs for assistance. If your bag is delayed or missing, visit the nearest baggage help desk."
Where is the customs area?,English,Baggage,Arrival,"You can find the customs area in the Arrival terminal near Belt 6. Please follow the 'Baggage Claim' signs for assistance. If your bag is delayed or missing, visit the nearest baggage help desk."
Where is the baggage scanner?,English,Baggage,Arrival,"You can find the baggage scanner in the Arrival terminal near Belt 7. Please follow the 'Baggage Claim' signs for assistance. If your bag is delayed or missing, visit the nearest baggage help desk."
Where is the security check?,English,Baggage,Arrival,"You can find the security check in the Arrival terminal near Belt 8. Please follow the 'Baggage Claim' signs for assistance. If your bag is delayed or missing, visit the nearest baggage help desk."
Where is the bag drop?,English,Baggage,Arrival,"You can find the bag drop in the Arrival terminal near Belt 1. Please follow the 'Baggage Claim' signs for assistance. If your bag is delayed or missing, visit the nearest baggage help desk."
Where is the bag collection?,English,Baggage,Arrival,"You can find the bag collection in the Arrival terminal near Belt 2. Please follow the 'Baggage Claim' signs for assistance. If your bag is delayed or missing, visit the nearest baggage help desk."
Where is the left luggage?,English,Baggage,Arrival,"You can find the left luggage in the Arrival terminal near Belt 3. Please follow the 'Baggage Claim' signs for assistance. If your bag is delayed or missing, visit the nearest baggage help desk."
Where is the bag recheck?,English,Baggage,Arrival,"You can find the bag recheck in the Arrival terminal near Belt 4. Please follow the 'Baggage Claim' signs for assistance. If your bag is delayed or missing, visit the nearest baggage help desk."
Where is the customs officer?,English,Baggage,Arrival,"You can find the customs officer in the Arrival terminal near Belt 5. Please follow the 'Baggage Claim' signs for assistance. If your bag is delayed or missing, visit the nearest baggage help desk."
Where is the arrival inspection desk?,English,Baggage,Arrival,"You can find the arrival inspection desk in the Arrival terminal near Belt 6. Please follow the 'Baggage Claim' signs for assistance. If your bag is delayed or missing, visit the nearest baggage help desk."
Where is the bag report counter?,English,Baggage,Arrival,"You can find the bag report counter in the Arrival terminal near Belt 7. Please follow the 'Baggage Claim' signs for assistance. If your bag is delayed or missing, visit the nearest baggage help desk."
Where is the luggage cart return?,English,Baggage,Arrival,"You can find the luggage cart return in the Arrival terminal near Belt 8. Please follow the 'Baggage Claim' signs for assistance. If your bag is delayed or missing, visit the nearest baggage help desk."
Where is the lost and found baggage?,English,Baggage,Arrival,"You can find the lost and found baggage in the Arrival terminal near Belt 1. Please follow the 'Baggage Claim' signs for assistance. If your bag is delayed or missing, visit the nearest baggage help desk."
Where is the baggage complaint desk?,English,Baggage,Arrival,"You can find the baggage complaint desk in the Arrival terminal near Belt 2. Please follow the 'Baggage Claim' signs for assistance. If your bag is delayed or missing, visit the nearest baggage help desk."
Where is the baggage assistance?,English,Baggage,Arrival,"You can find the baggage assistance in the Arrival terminal near Belt 3. Please follow the 'Baggage Claim' signs for assistance. If your bag is delayed or missing, visit the nearest baggage help desk."
Where is the baggage office?,English,Baggage,Arrival,"You can find the baggage office in the Arrival terminal near Belt 4. Please follow the 'Baggage Claim' signs for assistance. If your bag is delayed or missing, visit the nearest baggage help desk."
Where is the airline baggage counter?,English,Baggage,Arrival,"You can find the airline baggage counter in the Arrival terminal near Belt 5. Please follow the 'Baggage Claim' signs for assistance. If your bag is delayed or missing, visit the nearest baggage help desk."
Where is the arrival luggage service?,English,Baggage,Arrival,"You can find the arrival luggage service in the Arrival terminal near Belt 6. Please follow the 'Baggage Claim' signs for assistance. If your bag is delayed or missing, visit the nearest baggage help desk."
Where is the tracking counter?,English,Baggage,Arrival,"You can find the tracking counter in the Arrival terminal near Belt 7. Please follow the 'Baggage Claim' signs for assistance. If your bag is delayed or missing, visit the nearest baggage help desk."
Where is the baggage center?,English,Baggage,Arrival,"You can find the baggage center in the Arrival terminal near Belt 8. Please follow the 'Baggage Claim' signs for assistance. If your bag is delayed or missing, visit the nearest baggage help desk."
Where is the oversized bag claim?,English,Baggage,Arrival,"You can find the oversized bag claim in the Arrival terminal near Belt 1. Please follow the 'Baggage Claim' signs for assistance. If your bag is delayed or missing, visit the nearest baggage help desk."
Where is the duty free luggage check?,English,Baggage,Arrival,"You can find the duty free luggage check in the Arrival terminal near Belt 2. Please follow the 'Baggage Claim' signs for assistance. If your bag is delayed or missing, visit the nearest baggage help desk."
