id,user_query,intent,airport,flight_number,origin_city,arrival_time,flight_status,response
1,Flight PK184 kis waqt Islamabad land kare gi?,flight_information,ISB,PK184,Abu Dhabi,20:32,On-Time,Flight PK184 Abu Dhabi se 20:32 par ISB pohanchne wali hai aur status On-Time hai.
2,Flight QR967 Istanbul se ISB kab pohanche gi?,flight_information,ISB,QR967,Istanbul,07:26,Landed,Flight QR967 Istanbul se 07:26 par ISB pohanchne wali hai aur status Landed hai.
3,Flight EK406 kis waqt Islamabad land kare gi?,flight_information,ISB,EK406,Riyadh,07:23,Landed,Flight EK406 Riyadh se 07:23 par ISB pohanchne wali hai aur status Landed hai.
4,Flight TK706 Islamabad kis time aayegi?,flight_information,ISB,TK706,Doha,05:05,Delayed,Flight TK706 Doha se 05:05 par ISB pohanchne wali hai aur status Delayed hai.
5,Flight PK881 ka arrival time kya hai?,flight_information,ISB,PK881,Lahore,17:38,Delayed,Flight PK881 Lahore se 17:38 par ISB pohanchne wali hai aur status Delayed hai.
6,Flight TK677 kis waqt Islamabad land kare gi?,flight_information,ISB,TK677,Lahore,12:44,Delayed,Flight TK677 Lahore se 12:44 par ISB pohanchne wali hai aur status Delayed hai.
7,Kya flight SV735 Jeddah se delay hai?,flight_information,ISB,SV735,Jeddah,21:38,On-Time,Flight SV735 Jeddah se 21:38 par ISB pohanchne wali hai aur status On-Time hai.
8,Kya flight BA626 London se delay hai?,flight_information,ISB,BA626,London,01:09,On-Time,Flight BA626 London se 01:09 par ISB pohanchne wali hai aur status On-Time hai.
9,Kya flight PK745 Riyadh se delay hai?,flight_information,ISB,PK745,Riyadh,13:12,Delayed,Flight PK745 Riyadh se 13:12 par ISB pohanchne wali hai aur status Delayed hai.
10,Flight PK411 kis waqt Islamabad land kare gi?,flight_information,ISB,PK411,London,03:09,Landed,Flight PK411 London se 03:09 par ISB pohanchne wali hai aur status Landed hai.
11,Flight PK819 Riyadh se ISB kab pohanche gi?,flight_information,ISB,PK819,Riyadh,22:07,On-Time,Flight PK819 Riyadh se 22:07 par ISB pohanchne wali hai aur status On-Time hai.
12,Flight BA441 ka arrival time kya hai?,flight_information,ISB,BA441,Istanbul,07:09,Landed,Flight BA441 Istanbul se 07:09 par ISB pohanchne wali hai aur status Landed hai.
13,Kya flight SV432 Istanbul se delay hai?,flight_information,ISB,SV432,Istanbul,07:42,Landed,Flight SV432 Istanbul se 07:42 par ISB pohanchne wali hai aur status Landed hai.
14,Flight EK480 ki arrival status bata dein?,flight_information,ISB,EK480,London,05:47,On-Time,Flight EK480 London se 05:47 par ISB pohanchne wali hai aur status On-Time hai.
15,Flight QR715 Karachi se ISB kab pohanche gi?,flight_information,ISB,QR715,Karachi,19:57,Delayed,Flight QR715 Karachi se 19:57 par ISB pohanchne wali hai aur status Delayed hai.
16,Flight EK409 kis waqt Islamabad land kare gi?,flight_information,ISB,EK409,Istanbul,12:26,Delayed,Flight EK409 Istanbul se 12:26 par ISB pohanchne wali hai aur status Delayed hai.
17,Flight SV272 Sharjah se ISB kab pohanche gi?,flight_information,ISB,SV272,Sharjah,10:39,Delayed,Flight SV272 Sharjah se 10:39 par ISB pohanchne wali hai aur status Delayed hai.
18,Flight QR929 kis waqt Islamabad land kare gi?,flight_information,ISB,QR929,Karachi,12:27,Delayed,Flight QR929 Karachi se 12:27 par ISB pohanchne wali hai aur status Delayed hai.
19,Flight SV905 ki arrival status bata dein?,flight_information,ISB,SV905,London,01:10,Landed,Flight SV905 London se 01:10 par ISB pohanchne wali hai aur status Landed hai.
20,Flight EY867 ka arrival time kya hai?,flight_information,ISB,EY867,Jeddah,04:10,Landed,Flight EY867 Jeddah se 04:10 par ISB pohanchne wali hai aur status Landed hai.
21,Flight PK288 Islamabad kis time aayegi?,flight_information,ISB,PK288,Riyadh,10:46,Landed,Flight PK288 Riyadh se 10:46 par ISB pohanchne wali hai aur status Landed hai.
22,Kya flight QR825 Lahore se delay hai?,flight_information,ISB,QR825,Lahore,19:34,Delayed,Flight QR825 Lahore se 19:34 par ISB pohanchne wali hai aur status Delayed hai.
23,Flight TK573 Abu Dhabi se ISB kab pohanche gi?,flight_information,ISB,TK573,Abu Dhabi,14:03,Delayed,Flight TK573 Abu Dhabi se 14:03 par ISB pohanchne wali hai aur status Delayed hai.
24,Flight SV671 Islamabad kis time aayegi?,flight_information,ISB,SV671,Doha,01:07,Delayed,Flight SV671 Doha se 01:07 par ISB pohanchne wali hai aur status Delayed hai.
25,Flight BA869 Islamabad kis time aayegi?,flight_information,ISB,BA869,Doha,07:12,On-Time,Flight BA869 Doha se 07:12 par ISB pohanchne wali hai aur status On-Time hai.
26,Flight EK504 Karachi se ISB kab pohanche gi?,flight_information,ISB,EK504,Karachi,04:46,On-Time,Flight EK504 Karachi se 04:46 par ISB pohanchne wali hai aur status On-Time hai.
27,Flight EY449 Islamabad kis time aayegi?,flight_information,ISB,EY449,London,15:06,On-Time,Flight EY449 London se 15:06 par ISB pohanchne wali hai aur status On-Time hai.
28,Flight EK727 ka arrival time kya hai?,flight_information,ISB,EK727,Lahore,12:46,Landed,Flight EK727 Lahore se 12:46 par ISB pohanchne wali hai aur status Landed hai.
29,Flight BA691 ki arrival status bata dein?,flight_information,ISB,BA691,Istanbul,15:56,Delayed,Flight BA691 Istanbul se 15:56 par ISB pohanchne wali hai aur status Delayed hai.
30,Kya flight EY563 Karachi se delay hai?,flight_information,ISB,EY563,Karachi,19:01,Delayed,Flight EY563 Karachi se 19:01 par ISB pohanchne wali hai aur status Delayed hai.
31,Flight EK768 kis waqt Islamabad land kare gi?,flight_information,ISB,EK768,Riyadh,23:58,On-Time,Flight EK768 Riyadh se 23:58 par ISB pohanchne wali hai aur status On-Time hai.
32,Kya flight BA693 Lahore se delay hai?,flight_information,ISB,BA693,Lahore,17:48,Delayed,Flight BA693 Lahore se 17:48 par ISB pohanchne wali hai aur status Delayed hai.
33,Flight TK902 Islamabad kis time aayegi?,flight_information,ISB,TK902,Riyadh,11:09,Landed,Flight TK902 Riyadh se 11:09 par ISB pohanchne wali hai aur status Landed hai.
34,Flight SV639 ki arrival status bata dein?,flight_information,ISB,SV639,Abu Dhabi,18:26,Landed,Flight SV639 Abu Dhabi se 18:26 par ISB pohanchne wali hai aur status Landed hai.
35,Flight TK412 Islamabad kis time aayegi?,flight_information,ISB,TK412,Istanbul,08:46,Landed,Flight TK412 Istanbul se 08:46 par ISB pohanchne wali hai aur status Landed hai.
36,Flight QR521 Abu Dhabi se ISB kab pohanche gi?,flight_information,ISB,QR521,Abu Dhabi,07:19,Landed,Flight QR521 Abu Dhabi se 07:19 par ISB pohanchne wali hai aur status Landed hai.
37,Flight QR760 Istanbul se ISB kab pohanche gi?,flight_information,ISB,QR760,Istanbul,02:07,Landed,Flight QR760 Istanbul se 02:07 par ISB pohanchne wali hai aur status Landed hai.
38,Kya flight EY803 Dubai se delay hai?,flight_information,ISB,EY803,Dubai,06:42,On-Time,Flight EY803 Dubai se 06:42 par ISB pohanchne wali hai aur status On-Time hai.
39,Flight TK967 kis waqt Islamabad land kare gi?,flight_information,ISB,TK967,Doha,11:18,On-Time,Flight TK967 Doha se 11:18 par ISB pohanchne wali hai aur status On-Time hai.
40,Flight EK895 Islamabad kis time aayegi?,flight_information,ISB,EK895,Riyadh,23:43,Delayed,Flight EK895 Riyadh se 23:43 par ISB pohanchne wali hai aur status Delayed hai.
41,Flight TK556 Lahore se ISB kab pohanche gi?,flight_information,ISB,TK556,Lahore,08:57,Landed,Flight TK556 Lahore se 08:57 par ISB pohanchne wali hai aur status Landed hai.
42,Flight EY549 Islamabad kis time aayegi?,flight_information,ISB,EY549,London,07:11,Landed,Flight EY549 London se 07:11 par ISB pohanchne wali hai aur status Landed hai.
43,Flight EK159 kis waqt Islamabad land kare gi?,flight_information,ISB,EK159,Riyadh,21:09,Delayed,Flight EK159 Riyadh se 21:09 par ISB pohanchne wali hai aur status Delayed hai.
44,Flight BA776 Istanbul se ISB kab pohanche gi?,flight_information,ISB,BA776,Istanbul,22:53,Delayed,Flight BA776 Istanbul se 22:53 par ISB pohanchne wali hai aur status Delayed hai.
45,Flight EK106 kis waqt Islamabad land kare gi?,flight_information,ISB,EK106,Riyadh,05:42,Delayed,Flight EK106 Riyadh se 05:42 par ISB pohanchne wali hai aur status Delayed hai.
46,Flight EY274 ki arrival status bata dein?,flight_information,ISB,EY274,Abu Dhabi,07:39,On-Time,Flight EY274 Abu Dhabi se 07:39 par ISB pohanchne wali hai aur status On-Time hai.
47,Flight SV638 Islamabad kis time aayegi?,flight_information,ISB,SV638,London,21:15,On-Time,Flight SV638 London se 21:15 par ISB pohanchne wali hai aur status On-Time hai.
48,Flight BA306 Jeddah se ISB kab pohanche gi?,flight_information,ISB,BA306,Jeddah,18:42,Delayed,Flight BA306 Jeddah se 18:42 par ISB pohanchne wali hai aur status Delayed hai.
49,Flight EY807 ka arrival time kya hai?,flight_information,ISB,EY807,Jeddah,09:27,Landed,Flight EY807 Jeddah se 09:27 par ISB pohanchne wali hai aur status Landed hai.
50,Flight TK665 London se ISB kab pohanche gi?,flight_information,ISB,TK665,London,08:50,On-Time,Flight TK665 London se 08:50 par ISB pohanchne wali hai aur status On-Time hai.
51,Flight SV920 kis waqt Islamabad land kare gi?,flight_information,ISB,SV920,Istanbul,13:52,On-Time,Flight SV920 Istanbul se 13:52 par ISB pohanchne wali hai aur status On-Time hai.
52,Kya flight EY306 Sharjah se delay hai?,flight_information,ISB,EY306,Sharjah,05:59,On-Time,Flight EY306 Sharjah se 05:59 par ISB pohanchne wali hai aur status On-Time hai.
53,Flight SV250 ka arrival time kya hai?,flight_information,ISB,SV250,Abu Dhabi,04:29,Landed,Flight SV250 Abu Dhabi se 04:29 par ISB pohanchne wali hai aur status Landed hai.
54,Flight BA176 Islamabad kis time aayegi?,flight_information,ISB,BA176,Sharjah,22:16,On-Time,Flight BA176 Sharjah se 22:16 par ISB pohanchne wali hai aur status On-Time hai.
55,Flight PK177 ki arrival status bata dein?,flight_information,ISB,PK177,Sharjah,14:44,Delayed,Flight PK177 Sharjah se 14:44 par ISB pohanchne wali hai aur status Delayed hai.
56,Flight PK522 ki arrival status bata dein?,flight_information,ISB,PK522,Abu Dhabi,23:13,On-Time,Flight PK522 Abu Dhabi se 23:13 par ISB pohanchne wali hai aur status On-Time hai.
57,Flight PK136 ki arrival status bata dein?,flight_information,ISB,PK136,Dubai,09:53,Delayed,Flight PK136 Dubai se 09:53 par ISB pohanchne wali hai aur status Delayed hai.
58,Flight EK990 ki arrival status bata dein?,flight_information,ISB,EK990,Sharjah,01:01,Landed,Flight EK990 Sharjah se 01:01 par ISB pohanchne wali hai aur status Landed hai.
59,Flight EK131 ki arrival status bata dein?,flight_information,ISB,EK131,Doha,08:49,Landed,Flight EK131 Doha se 08:49 par ISB pohanchne wali hai aur status Landed hai.
60,Flight BA978 Islamabad kis time aayegi?,flight_information,ISB,BA978,Karachi,22:51,On-Time,Flight BA978 Karachi se 22:51 par ISB pohanchne wali hai aur status On-Time hai.
61,Flight EY461 Islamabad kis time aayegi?,flight_information,ISB,EY461,Jeddah,14:32,On-Time,Flight EY461 Jeddah se 14:32 par ISB pohanchne wali hai aur status On-Time hai.
62,Flight SV672 kis waqt Islamabad land kare gi?,flight_information,ISB,SV672,Lahore,11:53,Landed,Flight SV672 Lahore se 11:53 par ISB pohanchne wali hai aur status Landed hai.
63,Flight EY793 ka arrival time kya hai?,flight_information,ISB,EY793,Istanbul,00:39,Delayed,Flight EY793 Istanbul se 00:39 par ISB pohanchne wali hai aur status Delayed hai.
