Query,Language,Intent,Terminal,Response
Where can I find the arrival lounge?,English,Facilities,Arrival,"Sure! You can find the arrival lounge near Gate 6 in the arrival terminal. Just follow the blue guidance signs, or ask an airport staff member if you need help."
Where can I find the currency counter?,English,Facilities,Arrival,"Sure! You can find the currency counter near Gate 2 in the arrival terminal. Just follow the blue guidance signs, or ask an airport staff member if you need help."
Could you please guide me to the medical assistance room?,English,Facilities,Arrival,"Sure! You can find the medical assistance room near Gate 1 in the arrival terminal. Just follow the blue guidance signs, or ask an airport staff member if you need help."
Could you please guide me to the Wi-Fi support area?,English,Facilities,Arrival,"Sure! You can find the Wi-Fi support area near Gate 9 in the arrival terminal. Just follow the blue guidance signs, or ask an airport staff member if you need help."
Where can I find the arrival taxi stand?,English,Facilities,Arrival,"Sure! You can find the arrival taxi stand near Gate 1 in the arrival terminal. Just follow the blue guidance signs, or ask an airport staff member if you need help."
Where can I find the information center?,English,Facilities,Arrival,"Sure! You can find the information center near Gate 3 in the arrival terminal. Just follow the blue guidance signs, or ask an airport staff member if you need help."
Where can I find the ATM zone?,English,Facilities,Arrival,"Sure! You can find the ATM zone near Gate 6 in the arrival terminal. Just follow the blue guidance signs, or ask an airport staff member if you need help."
Could you please guide me to the lost child helpdesk?,English,Facilities,Arrival,"Sure! You can find the lost child helpdesk near Gate 8 in the arrival terminal. Just follow the blue guidance signs, or ask an airport staff member if you need help."
Where can I find the arrival rest area?,English,Facilities,Arrival,"Sure! You can find the arrival rest area near Gate 9 in the arrival terminal. Just follow the blue guidance signs, or ask an airport staff member if you need help."
How can I get to the car rental office?,English,Facilities,Arrival,"Sure! You can find the car rental office near Gate 1 in the arrival terminal. Just follow the blue guidance signs, or ask an airport staff member if you need help."
How can I get to the foreign exchange desk?,English,Facilities,Arrival,"Sure! You can find the foreign exchange desk near Gate 6 in the arrival terminal. Just follow the blue guidance signs, or ask an airport staff member if you need help."
How can I get to the mobile SIM counter?,English,Facilities,Arrival,"Sure! You can find the mobile SIM counter near Gate 7 in the arrival terminal. Just follow the blue guidance signs, or ask an airport staff member if you need help."
Where can I find the arrival waiting zone?,English,Facilities,Arrival,"Sure! You can find the arrival waiting zone near Gate 2 in the arrival terminal. Just follow the blue guidance signs, or ask an airport staff member if you need help."
Where can I find the arrival bus stop?,English,Facilities,Arrival,"Sure! You can find the arrival bus stop near Gate 10 in the arrival terminal. Just follow the blue guidance signs, or ask an airport staff member if you need help."
Where can I find the metro entrance?,English,Facilities,Arrival,"Sure! You can find the metro entrance near Gate 1 in the arrival terminal. Just follow the blue guidance signs, or ask an airport staff member if you need help."
How can I get to the arrival coffee lounge?,English,Facilities,Arrival,"Sure! You can find the arrival coffee lounge near Gate 9 in the arrival terminal. Just follow the blue guidance signs, or ask an airport staff member if you need help."
How can I get to the tourist help counter?,English,Facilities,Arrival,"Sure! You can find the tourist help counter near Gate 8 in the arrival terminal. Just follow the blue guidance signs, or ask an airport staff member if you need help."
How can I get to the wheelchair service point?,English,Facilities,Arrival,"Sure! You can find the wheelchair service point near Gate 10 in the arrival terminal. Just follow the blue guidance signs, or ask an airport staff member if you need help."
Where can I find the arrival prayer room?,English,Facilities,Arrival,"Sure! You can find the arrival prayer room near Gate 9 in the arrival terminal. Just follow the blue guidance signs, or ask an airport staff member if you need help."
