id,query,language,intent,terminal,entities,expected_response,notes
1,"اکانومی کلاس میں سامان کی کتنی اجازت ہے؟",ur,baggage,departure,"{}","اکانومی کلاس مسافروں کو 20 کلو چیک شدہ سامان اور 7 کلو کیبن سامان کی اجازت ہے","عام سوال"
2,"اضافی سامان کا کتنا چارج ہے؟",ur,baggage,departure,"{}","اضافی سامان کی قیمت ملکی پروازوں کے لیے فی کلو 800 روپے اور بین الاقوامی پروازوں کے لیے فی کلو 15 ڈالر ہے","قیمت کا سوال"
3,"کیا میں ہینڈ لگیج کے ساتھ لیپ ٹاپ بیگ بھی لے جا سکتا ہوں؟",ur,baggage,departure,"{}","جی ہاں، آپ اپنے کیبن سامان کے علاوہ ایک لیپ ٹاپ بیگ یا ہینڈ بیگ لے جا سکتے ہیں","کیبن سامان کے قواعد"
4,"چیک شدہ سامان میں کون سی اشیاء ممنوع ہیں؟",ur,baggage,departure,"{}","ممنوعہ اشیاء میں لتھیم بیٹریاں، پاور بینک، لائٹر، تیز دھار چیزیں اور آتش گیر مواد شامل ہیں","حفاظتی ضابطے"
5,"کیبن سامان کی وزن کی حد کیا ہے؟",ur,baggage,departure,"{}","کیبن سامان کا وزن 7 کلو سے زیادہ نہیں ہونا چاہیے اور سائز 56 سینٹی میٹر x 36 سینٹی میٹر x 23 سینٹی میٹر ہونا چاہیے","معیاری حدود"
6,"سامان جمع کرانے کا کاؤنٹر کہاں ہے؟",ur,baggage,departure,"{}","سامان جمع کرانے کے کاؤنٹر آپ کی ایئر لائن کے چیک ان کے علاقے میں روانگی ہال میں واقع ہیں","مقام کا سوال"
7,"کیا میں ہوائی اڈے پر اضافی سامان چیک ان کر سکتا ہوں؟",ur,baggage,departure,"{}","جی ہاں، آپ دستیابی کے مطابق چیک ان کاؤنٹر پر اضافی سامان کی اجازت خرید سکتے ہیں","آخری لمحے کی خریداری"
8,"بچوں کے لیے سامان کی اجازت کیا ہے؟",ur,baggage,departure,"{""passenger_type"":""infant""}","شیر خوار بچوں کو 10 کلو چیک شدہ سامان اور ایک تہہ ہونے والی گاڑی یا کار سیٹ کی اجازت ہے","خاندانی سفر"
9,"کیا موسیقی کے آلات کیبن سامان کے طور پر لے جا سکتے ہیں؟",ur,baggage,departure,"{""item"":""musical instrument""}","چھوٹے موسیقی کے آلات جو اوور ہیڈ بن میں آ جائیں اجازت ہیں؛ بڑے آلات چیک کرنے ہوں گے یا اضافی سیٹ چاہیے","خاص اشیاء"
10,"سامان چیک ان کے لیے کتنی جلدی پہنچنا چاہیے؟",ur,baggage,departure,"{}","بین الاقوامی پروازوں سے کم از کم 3 گھنٹے پہلے اور ملکی پروازوں سے 2 گھنٹے پہلے پہنچیں","وقت کی تجویز"
