id,user_query,intent,airport,response
1,Islamabad Airport par land karne ke baad kya karna hota hai?,arrival_guidance,ISB,"Landing ke baad pehle Immigration, phir Baggage Claim, phir Customs aur phir Exit."
2,Immigration kahan hota hai ISB par?,arrival_guidance,ISB,"Immigration arrival gates ke baad hota hai, signs follow karein."
3,Immigration kahan hota hai ISB par?,arrival_guidance,ISB,"Immigration arrival gates ke baad hota hai, signs follow karein."
4,Baggage claim kahan hota hai ISB par?,arrival_guidance,ISB,Baggage claim Immigration ke baad hota hai. 'Baggage Claim' board follow karein.
5,Arrivals hall kahan hoti hai?,arrival_guidance,ISB,Arrivals hall Customs ke baad hoti hai.
6,Baggage claim kahan hota hai ISB par?,arrival_guidance,ISB,Baggage claim Immigration ke baad hota hai. 'Baggage Claim' board follow karein.
7,Airport se bahar kaise nikalna hota hai landing ke baad?,arrival_guidance,ISB,Customs clear karne ke baad 'Exit' signs follow karein.
8,Landing ke baad process kya hota hai?,arrival_guidance,ISB,Landing ke baad: Immigration → Baggage → Customs → Exit.
9,Baggage claim kahan hota hai ISB par?,arrival_guidance,ISB,Baggage claim Immigration ke baad hota hai. 'Baggage Claim' board follow karein.
10,Arrivals hall kahan hoti hai?,arrival_guidance,ISB,Arrivals hall Customs ke baad hoti hai.
11,Landing ke baad kahan jana hota hai?,arrival_guidance,ISB,"Landing ke baad Immigration ki taraf jaen, phir Baggage aur phir Exit."
12,Landing ke baad process kya hota hai?,arrival_guidance,ISB,Landing ke baad: Immigration → Baggage → Customs → Exit.
13,Arrivals hall kahan hoti hai?,arrival_guidance,ISB,Arrivals hall Customs ke baad hoti hai.
14,Arrivals hall kahan hoti hai?,arrival_guidance,ISB,Arrivals hall Customs ke baad hoti hai.
15,Customs check kahan hota hai?,arrival_guidance,ISB,Customs baggage claim ke baad hota hai.
16,Landing ke baad kahan jana hota hai?,arrival_guidance,ISB,"Landing ke baad Immigration ki taraf jaen, phir Baggage aur phir Exit."
17,Baggage claim kahan hota hai ISB par?,arrival_guidance,ISB,Baggage claim Immigration ke baad hota hai. 'Baggage Claim' board follow karein.
18,Airport se bahar kaise nikalna hota hai landing ke baad?,arrival_guidance,ISB,Customs clear karne ke baad 'Exit' signs follow karein.
19,Islamabad Airport par land karne ke baad kya karna hota hai?,arrival_guidance,ISB,"Landing ke baad pehle Immigration, phir Baggage Claim, phir Customs aur phir Exit."
20,Bag check kahan se karwana hota hai?,arrival_guidance,ISB,Bag check yaani baggage claim Immigration ke baad hota hai.
21,Customs check kahan hota hai?,arrival_guidance,ISB,Customs baggage claim ke baad hota hai.
22,Arrivals hall kahan hoti hai?,arrival_guidance,ISB,Arrivals hall Customs ke baad hoti hai.
23,Arrivals hall kahan hoti hai?,arrival_guidance,ISB,Arrivals hall Customs ke baad hoti hai.
24,Immigration kahan hota hai ISB par?,arrival_guidance,ISB,"Immigration arrival gates ke baad hota hai, signs follow karein."
25,Islamabad Airport par land karne ke baad kya karna hota hai?,arrival_guidance,ISB,"Landing ke baad pehle Immigration, phir Baggage Claim, phir Customs aur phir Exit."
26,Arrival steps kya hain Islamabad Airport par?,arrival_guidance,ISB,Arrival steps: Immigration → Baggage Claim → Customs → Exit.
27,Islamabad Airport par land karne ke baad kya karna hota hai?,arrival_guidance,ISB,"Landing ke baad pehle Immigration, phir Baggage Claim, phir Customs aur phir Exit."
28,Islamabad Airport par land karne ke baad kya karna hota hai?,arrival_guidance,ISB,"Landing ke baad pehle Immigration, phir Baggage Claim, phir Customs aur phir Exit."
29,Immigration kahan hota hai ISB par?,arrival_guidance,ISB,"Immigration arrival gates ke baad hota hai, signs follow karein."
30,Islamabad Airport par land karne ke baad kya karna hota hai?,arrival_guidance,ISB,"Landing ke baad pehle Immigration, phir Baggage Claim, phir Customs aur phir Exit."
31,Landing ke baad process kya hota hai?,arrival_guidance,ISB,Landing ke baad: Immigration → Baggage → Customs → Exit.
32,Landing ke baad process kya hota hai?,arrival_guidance,ISB,Landing ke baad: Immigration → Baggage → Customs → Exit.
33,Bag check kahan se karwana hota hai?,arrival_guidance,ISB,Bag check yaani baggage claim Immigration ke baad hota hai.
34,Baggage claim kahan hota hai ISB par?,arrival_guidance,ISB,Baggage claim Immigration ke baad hota hai. 'Baggage Claim' board follow karein.
