id,category,user_query,intent,airport,flight_number,origin_city,response,language
1,arrival_time,Arrival time کا سوال فلائٹ UL133 کے لیے؟,flight_information,اسلام آباد انٹرنیشنل ائیرپورٹ (ISB),UL133,دوحہ,فلائٹ UL133 جو دوحہ سے آرہی ہے متوقع طور پر 20:55 پر اسلام آباد انٹرنیشنل ائیرپورٹ (ISB) پر پہنچے گی۔ براہِ کرم آمد بورڈ دیکھیں۔,Urdu
2,arrival_time,Arrival time کا سوال فلائٹ EY826 کے لیے؟,flight_information,اسلام آباد انٹرنیشنل ائیرپورٹ (ISB),EY826,لندن,فلائٹ EY826 جو لندن سے آرہی ہے متوقع طور پر 01:31 پر اسلام آباد انٹرنیشنل ائیرپورٹ (ISB) پر پہنچے گی۔ براہِ کرم آمد بورڈ دیکھیں۔,Urdu
3,arrival_time,Arrival time کا سوال فلائٹ TK704 کے لیے؟,flight_information,اسلام آباد انٹرنیشنل ائیرپورٹ (ISB),TK704,دوحہ,فلائٹ TK704 جو دوحہ سے آرہی ہے متوقع طور پر 16:52 پر اسلام آباد انٹرنیشنل ائیرپورٹ (ISB) پر پہنچے گی۔ براہِ کرم آمد بورڈ دیکھیں۔,Urdu
4,arrival_time,Arrival time کا سوال فلائٹ UL588 کے لیے؟,flight_information,اسلام آباد انٹرنیشنل ائیرپورٹ (ISB),UL588,ابو ظہبی,فلائٹ UL588 جو ابو ظہبی سے آرہی ہے متوقع طور پر 19:01 پر اسلام آباد انٹرنیشنل ائیرپورٹ (ISB) پر پہنچے گی۔ براہِ کرم آمد بورڈ دیکھیں۔,Urdu
5,arrival_time,Arrival time کا سوال فلائٹ HM200 کے لیے؟,flight_information,اسلام آباد انٹرنیشنل ائیرپورٹ (ISB),HM200,لاہور,فلائٹ HM200 جو لاہور سے آرہی ہے متوقع طور پر 15:25 پر اسلام آباد انٹرنیشنل ائیرپورٹ (ISB) پر پہنچے گی۔ براہِ کرم آمد بورڈ دیکھیں۔,Urdu
6,arrival_time,Arrival time کا سوال فلائٹ UL550 کے لیے؟,flight_information,اسلام آباد انٹرنیشنل ائیرپورٹ (ISB),UL550,شارجہ,فلائٹ UL550 جو شارجہ سے آرہی ہے متوقع طور پر 21:41 پر اسلام آباد انٹرنیشنل ائیرپورٹ (ISB) پر پہنچے گی۔ براہِ کرم آمد بورڈ دیکھیں۔,Urdu
7,arrival_time,Arrival time کا سوال فلائٹ UL127 کے لیے؟,flight_information,اسلام آباد انٹرنیشنل ائیرپورٹ (ISB),UL127,دبئی,فلائٹ UL127 جو دبئی سے آرہی ہے متوقع طور پر 08:05 پر اسلام آباد انٹرنیشنل ائیرپورٹ (ISB) پر پہنچے گی۔ براہِ کرم آمد بورڈ دیکھیں۔,Urdu
8,arrival_time,Arrival time کا سوال فلائٹ EY158 کے لیے؟,flight_information,اسلام آباد انٹرنیشنل ائیرپورٹ (ISB),EY158,ابو ظہبی,فلائٹ EY158 جو ابو ظہبی سے آرہی ہے متوقع طور پر 14:45 پر اسلام آباد انٹرنیشنل ائیرپورٹ (ISB) پر پہنچے گی۔ براہِ کرم آمد بورڈ دیکھیں۔,Urdu
9,arrival_time,Arrival time کا سوال فلائٹ EY354 کے لیے؟,flight_information,اسلام آباد انٹرنیشنل ائیرپورٹ (ISB),EY354,دبئی,فلائٹ EY354 جو دبئی سے آرہی ہے متوقع طور پر 22:05 پر اسلام آباد انٹرنیشنل ائیرپورٹ (ISB) پر پہنچے گی۔ براہِ کرم آمد بورڈ دیکھیں۔,Urdu
10,arrival_time,Arrival time کا سوال فلائٹ PK163 کے لیے؟,flight_information,اسلام آباد انٹرنیشنل ائیرپورٹ (ISB),PK163,دوحہ,فلائٹ PK163 جو دوحہ سے آرہی ہے متوقع طور پر 03:14 پر اسلام آباد انٹرنیشنل ائیرپورٹ (ISB) پر پہنچے گی۔ براہِ کرم آمد بورڈ دیکھیں۔,Urdu
