#,User Query,Chatbot Response,Intent,Terminal,Language
1,Where is the PIA check-in counter?,The Pakistan International Airlines (PIA) check-in counters are located in Row C near Gate 4 of the departure hall.,Check_in_info,departure,English
2,What time does check-in open for international flights?,International check-in normally opens three hours before departure and closes one hour prior.,Check_in_info,departure,English
3,Can I check in online for Airblue?,"Yes, Airblue allows online check-in via their website or mobile app.",Check_in_info,departure,English
4,Where can I print my boarding pass?,You can print your boarding pass at self-service kiosks near the main entrance or request a printed copy from your airline’s desk.,Check_in_info,departure,English
5,Which row handles Serene Air check-in?,"Serene Air counters are in Row B, Counters 8-12 on the right side of the hall. ",Check_in_info,departure,English
6,What documents do I need for domestic check-in?,"For domestic flights, please carry your original CNIC and flight booking.",Check_in_info,departure,English
7,How early should I reach the airport for a domestic flight?,"Arrive at least two hours before departure to allow time for check-in, baggage tagging, and security scanning.",Check_in_info,departure,English
8,Is there a family or priority lane at check-in?,"Yes, families with children and elderly passengers may use the priority counter located beside Counter 5. ",Check_in_info,departure,English
9,Where do I pay for excess baggage?,Extra luggage payments can be made at your airline’s excess-baggage desk near Row D. Keep the receipt to show at baggage-drop.,Check_in_info,departure,English
10,Can I use my mobile boarding pass at security?,Absolutely! Mobile boarding passes are accepted at Islamabad Airport. Make sure the QR code is visible on your screen for scanning.,Check_in_info,departure,English
11,What is the hand-carry weight limit?,"Most airlines allow 7 kg of hand-carry per passenger, excluding laptops and small personal items. Oversized bags may be checked.",Check_in_info,departure,English
12,Is there a self-check-in kiosk available?,"Yes, self-check-in kiosks are located near Departure Hall B. You can print your boarding pass and baggage tags in under two minutes.",Check_in_info,departure,English
13,Where can I find baggage-wrapping service?,A 24-hour baggage-wrapping booth is available beside Gate 3. It provides protective film and labeling for your luggage.,Check_in_info,departure,English
14,How long does the check-in process usually take?,"On average, check-in takes 15 to 25 minutes depending on passenger traffic. Business-class counters are generally faster.",Check_in_info,departure,English
15,Which side is the Qatar Airways counter?,"Qatar Airways check-in is at Row A, Counters 1-6, facing the international section. Staff there assist with Doha and connecting flights.",Check_in_info,departure,English
16,Can I check in sports equipment?,"Yes, sports gear can be checked at the Oversized Baggage counter near Row D. Please ensure it’s packed securely to avoid damage.",Check_in_info,departure,English
17,What should I do if I forgot to print my ticket?,No worries! Show your e-ticket or CNIC at the airline desk and they will print a boarding pass for you.,Check_in_info,departure,English
18,Can I check in multiple bags?,"Yes, as long as your total checked weight stays within your airline’s limit. Extra kilograms may require a small fee.",Check_in_info,departure,English
19,Where can I weigh my luggage?,Weighing machines are installed near each airline’s counter and at the baggage-wrapping station.,Check_in_info,departure,English
20,Is vaccination proof still required for check-in?,Some international destinations still ask for vaccination certificates. Keep a digital or printed copy handy to avoid delays.,Check_in_info,departure,English
21,Can I upgrade to business class during check-in?,Upgrades depend on seat availability. You can request it at the counter or check online for promotional offers.,Check_in_info,departure,English
22,What happens if I reach after check-in closes?,"If the gate has closed, the airline cannot process your luggage. You may be rebooked on the next available flight subject to policy.",Check_in_info,departure,English
23,Is there a separate area for international passengers?,"Yes, international check-in rows (A and B) are located near immigration entry, clearly marked with blue signs.",Check_in_info,departure,English
24,Where can I find trolley service?,Trolleys are available near entrances and around all check-in rows. A refundable coin token is required at some stations.,Check_in_info,departure,English
25,Can I get fragile labels for my baggage?,"Yes, inform the counter staff and they will attach a “Fragile” tag to ensure careful handling.",Check_in_info,departure,English
26,Where can I collect flight information?,"Digital screens throughout the departure area display current flight status, gate numbers, and counter assignments.",Check_in_info,departure,English
27,Are check-in counters open 24 hours?,"Only for airlines with night operations, such as Qatar Airways or Emirates. Domestic counters open 3 hours before flights.",Check_in_info,departure,English
28,Can I drop my luggage after online check-in?,"Yes, proceed to the Baggage Drop counter labeled for online passengers. Keep your digital boarding pass ready.",Check_in_info,departure,English
29,Where is the Fast-Track service?,Fast-Track counters for premium passengers are beside the main check-in lanes near Row B. Access is through special passes.,Check_in_info,departure,English
30,What items are restricted in hand luggage?,"Sharp objects, liquids over 100 ml, and flammable items are not permitted. Place them in checked baggage to avoid confiscation.",Check_in_info,departure,English
31,How can I locate my airline counter quickly?,Look for row-wise digital boards showing airline names and counter numbers. Volunteers also assist passengers near entry points.,Check_in_info,departure,English
32,Can I use one counter for group check-in?,"Yes, group passengers may check in together if traveling under the same booking reference. Keep all documents ready.",Check_in_info,departure,English
33,Where can I change currency before check-in?,Currency-exchange desks are located near the main exit of the check-in hall. They operate 24 hours a day.,Check_in_info,departure,English
34,How do I know which gate to go to after check-in?,Your boarding pass lists the gate number. Confirm on airport screens as gates may change due to traffic.,Check_in_info,departure,English
35,Can I carry medicines in hand luggage?,"Yes, but liquids must be under 100 ml and prescribed medicines should have a doctor’s note if possible.",Check_in_info,departure,English
36,What should I do if my name is misspelled on the ticket?,Contact the airline counter immediately. Minor corrections can often be handled before check-in closure.,Check_in_info,departure,English
37,Is baggage wrapping mandatory?,It’s optional but recommended for fragile or high-value items to prevent tampering.,Check_in_info,departure,English
38,Where can I charge my phone before check-in?,Charging stations are available beside Row C and near Gate 2. Bring your own cable for convenience.,Check_in_info,departure,English
39,Can I check in without luggage?,"Yes, simply collect your boarding pass and proceed directly to security. Online check-in can save additional time.",Check_in_info,departure,English
40,Is there assistance for passengers with disabilities?,"Yes, wheelchairs and dedicated staff are available on request at Counter 1. Inform your airline in advance if possible.",Check_in_info,departure,English
41,How can I confirm if my flight is delayed before check-in?,Check the Flight Information Displays or ask the airline counter staff. Updates are announced over the PA system as well.,Check_in_info,departure,English
42,Can I check in my stroller for my baby?,"Yes, you may use it until security check; it will be tagged and returned at the gate after landing.",Check_in_info,departure,English
43,Where can I store my cabin bag temporarily?,"Temporary storage facilities are available beside Gate 3 for short durations, ideal for hand-carry items.",Check_in_info,departure,English
44,Are there lockers at the departure terminal?,Currently no public lockers; short-term baggage storage is managed through authorized counters only.,Check_in_info,departure,English
45,How do I reprint a lost boarding pass?,Visit your airline’s counter with CNIC or booking ID; they will reissue it instantly without extra charge.,Check_in_info,departure,English
46,Can someone accompany me to the check-in area?,Only ticketed passengers are allowed beyond the entrance. Visitors may wait in the public concourse outside.,Check_in_info,departure,English
47,Is there Wi-Fi at the check-in area?,"Yes, free airport Wi-Fi is available. Connect to “IIA-FreeNet” and accept terms on the browser page.",Check_in_info,departure,English
