id,query,language,intent,terminal,entities,expected_response,notes
1,"Qareeb tareen washroom kahan hai?",roman_ur,facilities,departure,"{}","Washroom Gate 3 aur Gate 8 ke qareeb departure lounge mein waqe hain","Common sawal"
2,"Kya airport par free WiFi hai?",roman_ur,facilities,departure,"{""service"":""WiFi""}","Ji haan, poore airport par free WiFi available hai. 'ISB_Airport_Free' network se connect hon","Connectivity query"
3,"Namaz ka kamra kahan mil sakta hai?",roman_ur,facilities,departure,"{""facility"":""prayer room""}","Namaz ke kamray doosri manzil par Gate 5 ke qareeb waqe hain mardon aur khawateen ke liye alag alag jagah ke sath","Religious facility"
4,"Kya departure lounge mein koi restaurant hai?",roman_ur,facilities,departure,"{""facility"":""restaurant""}","Ji haan, humare paas Gloria Jean's, Subway, KFC aur Taste of Pakistan restaurant mein traditional Pakistani khana hai","Dining options"
5,"Airport lounge kahan hai?",roman_ur,facilities,departure,"{""facility"":""lounge""}","Premium Lounge pehli manzil par Gate 6 ke qareeb waqe hai, lounge pass ya business class ticket ke sath accessible","Lounge access"
6,"Kya airport mein pharmacy hai?",roman_ur,facilities,departure,"{""facility"":""pharmacy""}","Ji haan, departure hall ke main entrance ke qareeb 24 ghante pharmacy hai","Medical facility"
7,"Main apna phone kahan charge kar sakta hoon?",roman_ur,facilities,departure,"{""service"":""charging""}","Charging stations tamam gate seating areas aur food court ke qareeb available hain","Power access"
8,"Kya departure terminal mein ATM hain?",roman_ur,facilities,departure,"{""facility"":""ATM""}","ATMs entrance, food court aur main departure hall mein waqe hain","Banking service"
9,"Main yaadgari cheezain kahan se khareed sakta hoon?",roman_ur,facilities,departure,"{""facility"":""shop""}","Souvenir shops departure lounge mein Gate 4 aur 7 ke qareeb waqe hain","Shopping query"
10,"Kya airport mein smoking area hai?",roman_ur,facilities,departure,"{""facility"":""smoking area""}","Ji haan, designated smoking areas departure lounge se accessible outdoor section mein available hain","Smoking policy"
11,"Information desk kahan hai?",roman_ur,facilities,departure,"{""facility"":""information""}","Information desks main entrance aur departure hall ke beech mein waqe hain","Help desk"
12,"Kya bachon ke liye changing facilities hain?",roman_ur,facilities,departure,"{""facility"":""baby changing""}","Baby changing stations tamam washrooms mein available hain aur Gate 3 ke qareeb dedicated nursing room hai","Family facility"
13,"Main coffee kahan se hasil kar sakta hoon?",roman_ur,facilities,departure,"{""facility"":""cafe""}","Gloria Jean's aur Espresso samait coffee shops food court area mein waqe hain","Beverage query"
14,"Kya currency exchange service hai?",roman_ur,facilities,departure,"{""service"":""currency exchange""}","Currency exchange counters main entrance ke qareeb aur departure lounge mein waqe hain","Financial service"
15,"Wheelchair accessible facilities kahan hain?",roman_ur,facilities,departure,"{""service"":""wheelchair""}","Wheelchair accessible washrooms aur ramps poore terminal mein available hain, aur wheelchairs information desk se request ki ja sakti hain","Accessibility"
16,"Kya koi duty-free shops hain?",roman_ur,facilities,departure,"{""facility"":""duty-free""}","Duty-free shops security ke baad departure lounge mein waqe hain jo cosmetics, perfumes aur electronics offer karti hain","Tax-free shopping"
17,"First aid center kahan hai?",roman_ur,facilities,departure,"{""facility"":""first aid""}","Medical aur first aid center ground floor par Gate 2 ke qareeb waqe hai","Emergency service"
18,"Kya bachon ka play area hai?",roman_ur,facilities,departure,"{""facility"":""play area""}","Ji haan, kids play zone departure lounge mein Gate 5 ke qareeb available hai","Child-friendly"
19,"Main apna samaan kahan store kar sakta hoon?",roman_ur,facilities,departure,"{""service"":""luggage storage""}","Left luggage storage facility fee ke iwaz main entrance ke qareeb available hai","Storage service"
20,"Kya airport mein bookstores hain?",roman_ur,facilities,departure,"{""facility"":""bookstore""}","Newspapers, magazines aur books offer karne wali bookshop Gate 6 ke qareeb waqe hai","Reading material"
21,"Business center kahan hai?",roman_ur,facilities,departure,"{""facility"":""business center""}","Internet, printing aur meeting rooms ke sath business center Premium Lounge mein available hai","Corporate facility"
22,"Kya main airport par travel insurance hasil kar sakta hoon?",roman_ur,facilities,departure,"{""service"":""travel insurance""}","Travel insurance counters check-in area ke qareeb available hain","Insurance service"
23,"Pani ke fountain kahan hain?",roman_ur,facilities,departure,"{""facility"":""water fountain""}","Water fountains aur refill stations tamam gate areas ke qareeb poore terminal mein waqe hain","Hydration"
24,"Kya baggage wrapping service hai?",roman_ur,facilities,departure,"{""service"":""baggage wrap""}","Baggage wrapping service check-in counters ke qareeb thori fee ke liye available hai","Packaging service"
25,"Main taxi service counter kahan se talash kar sakta hoon?",roman_ur,facilities,departure,"{""service"":""taxi""}","Taxi booking counters arrival area mein hain, lekin aap information desk se pooch sakte hain","Transport pre-booking"
26,"Kya koi kapron ki dukaanain hain?",roman_ur,facilities,departure,"{""facility"":""clothing store""}","Fashion aur accessories shops departure lounge shopping area mein waqe hain","Retail query"
27,"Lost and found office kahan hai?",roman_ur,facilities,departure,"{""facility"":""lost and found""}","Lost and found office departure hall mein main information desk ke qareeb hai","Lost items"
