id,category,user_query,intent,airport,response,language
1,immigration,Landing ke baad immigration kahan hai?,arrival_guidance,Islamabad International Airport (ISB),Landing ke baad barah-e-meherbani arrival signs follow kar ke immigration counters par jayen. Apna passport aur arrival card ready rakhen taake immigration officers check kar saken. Peak hours mein thoda waqt lag sakta hai; display screens par apna counter check karein.,Roman Urdu
2,immigration,Landing ke baad immigration kahan hai?,arrival_guidance,Islamabad International Airport (ISB),Landing ke baad barah-e-meherbani arrival signs follow kar ke immigration counters par jayen. Apna passport aur arrival card ready rakhen taake immigration officers check kar saken. Peak hours mein thoda waqt lag sakta hai; display screens par apna counter check karein.,Roman Urdu
3,immigration,International arrival par aam tor par immigration mein kitna waqt lagta hai?,arrival_guidance,Islamabad International Airport (ISB),Landing ke baad barah-e-meherbani arrival signs follow kar ke immigration counters par jayen. Apna passport aur arrival card ready rakhen taake immigration officers check kar saken. Peak hours mein thoda waqt lag sakta hai; display screens par apna counter check karein.,Roman Urdu
4,immigration,Immigration ke liye kaun se documents ready rakhne chahiye?,arrival_guidance,Islamabad International Airport (ISB),Landing ke baad barah-e-meherbani arrival signs follow kar ke immigration counters par jayen. Apna passport aur arrival card ready rakhen taake immigration officers check kar saken. Peak hours mein thoda waqt lag sakta hai; display screens par apna counter check karein.,Roman Urdu
5,immigration,International arrival par aam tor par immigration mein kitna waqt lagta hai?,arrival_guidance,Islamabad International Airport (ISB),Landing ke baad barah-e-meherbani arrival signs follow kar ke immigration counters par jayen. Apna passport aur arrival card ready rakhen taake immigration officers check kar saken. Peak hours mein thoda waqt lag sakta hai; display screens par apna counter check karein.,Roman Urdu
6,immigration,Landing ke baad immigration kahan hai?,arrival_guidance,Islamabad International Airport (ISB),Landing ke baad barah-e-meherbani arrival signs follow kar ke immigration counters par jayen. Apna passport aur arrival card ready rakhen taake immigration officers check kar saken. Peak hours mein thoda waqt lag sakta hai; display screens par apna counter check karein.,Roman Urdu
7,immigration,Landing ke baad immigration kahan hai?,arrival_guidance,Islamabad International Airport (ISB),Landing ke baad barah-e-meherbani arrival signs follow kar ke immigration counters par jayen. Apna passport aur arrival card ready rakhen taake immigration officers check kar saken. Peak hours mein thoda waqt lag sakta hai; display screens par apna counter check karein.,Roman Urdu
8,immigration,International arrival par aam tor par immigration mein kitna waqt lagta hai?,arrival_guidance,Islamabad International Airport (ISB),Landing ke baad barah-e-meherbani arrival signs follow kar ke immigration counters par jayen. Apna passport aur arrival card ready rakhen taake immigration officers check kar saken. Peak hours mein thoda waqt lag sakta hai; display screens par apna counter check karein.,Roman Urdu
9,immigration,Immigration ke liye kaun se documents ready rakhne chahiye?,arrival_guidance,Islamabad International Airport (ISB),Landing ke baad barah-e-meherbani arrival signs follow kar ke immigration counters par jayen. Apna passport aur arrival card ready rakhen taake immigration officers check kar saken. Peak hours mein thoda waqt lag sakta hai; display screens par apna counter check karein.,Roman Urdu
10,immigration,Immigration ke liye kaun se documents ready rakhne chahiye?,arrival_guidance,Islamabad International Airport (ISB),Landing ke baad barah-e-meherbani arrival signs follow kar ke immigration counters par jayen. Apna passport aur arrival card ready rakhen taake immigration officers check kar saken. Peak hours mein thoda waqt lag sakta hai; display screens par apna counter check karein.,Roman Urdu
11,immigration,International arrival par aam tor par immigration mein kitna waqt lagta hai?,arrival_guidance,Islamabad International Airport (ISB),Landing ke baad barah-e-meherbani arrival signs follow kar ke immigration counters par jayen. Apna passport aur arrival card ready rakhen taake immigration officers check kar saken. Peak hours mein thoda waqt lag sakta hai; display screens par apna counter check karein.,Roman Urdu
12,immigration,Immigration ke liye kaun se documents ready rakhne chahiye?,arrival_guidance,Islamabad International Airport (ISB),Landing ke baad barah-e-meherbani arrival signs follow kar ke immigration counters par jayen. Apna passport aur arrival card ready rakhen taake immigration officers check kar saken. Peak hours mein thoda waqt lag sakta hai; display screens par apna counter check karein.,Roman Urdu
13,immigration,International arrival par aam tor par immigration mein kitna waqt lagta hai?,arrival_guidance,Islamabad International Airport (ISB),Landing ke baad barah-e-meherbani arrival signs follow kar ke immigration counters par jayen. Apna passport aur arrival card ready rakhen taake immigration officers check kar saken. Peak hours mein thoda waqt lag sakta hai; display screens par apna counter check karein.,Roman Urdu
14,immigration,Immigration ke liye kaun se documents ready rakhne chahiye?,arrival_guidance,Islamabad International Airport (ISB),Landing ke baad barah-e-meherbani arrival signs follow kar ke immigration counters par jayen. Apna passport aur arrival card ready rakhen taake immigration officers check kar saken. Peak hours mein thoda waqt lag sakta hai; display screens par apna counter check karein.,Roman Urdu
15,immigration,Immigration ke liye kaun se documents ready rakhne chahiye?,arrival_guidance,Islamabad International Airport (ISB),Landing ke baad barah-e-meherbani arrival signs follow kar ke immigration counters par jayen. Apna passport aur arrival card ready rakhen taake immigration officers check kar saken. Peak hours mein thoda waqt lag sakta hai; display screens par apna counter check karein.,Roman Urdu
16,immigration,Immigration ke liye kaun se documents ready rakhne chahiye?,arrival_guidance,Islamabad International Airport (ISB),Landing ke baad barah-e-meherbani arrival signs follow kar ke immigration counters par jayen. Apna passport aur arrival card ready rakhen taake immigration officers check kar saken. Peak hours mein thoda waqt lag sakta hai; display screens par apna counter check karein.,Roman Urdu
17,immigration,Immigration ke liye kaun se documents ready rakhne chahiye?,arrival_guidance,Islamabad International Airport (ISB),Landing ke baad barah-e-meherbani arrival signs follow kar ke immigration counters par jayen. Apna passport aur arrival card ready rakhen taake immigration officers check kar saken. Peak hours mein thoda waqt lag sakta hai; display screens par apna counter check karein.,Roman Urdu
18,immigration,Landing ke baad immigration kahan hai?,arrival_guidance,Islamabad International Airport (ISB),Landing ke baad barah-e-meherbani arrival signs follow kar ke immigration counters par jayen. Apna passport aur arrival card ready rakhen taake immigration officers check kar saken. Peak hours mein thoda waqt lag sakta hai; display screens par apna counter check karein.,Roman Urdu
19,immigration,Landing ke baad immigration kahan hai?,arrival_guidance,Islamabad International Airport (ISB),Landing ke baad barah-e-meherbani arrival signs follow kar ke immigration counters par jayen. Apna passport aur arrival card ready rakhen taake immigration officers check kar saken. Peak hours mein thoda waqt lag sakta hai; display screens par apna counter check karein.,Roman Urdu
20,baggage,Agar mera bag missing ho jaye to kya karna chahiye?,arrival_guidance,Islamabad International Airport (ISB),Immigration clear karne ke baad baggage claim hall zameen ki manjil par hai jahan carousels numbered hain. Carousal number arrival screens par check karein. Agar bag delay ya missing ho to Carousel 5 ke paas Baggage Services Desk se rabta karein.,Roman Urdu
21,baggage,Agar mera bag missing ho jaye to kya karna chahiye?,arrival_guidance,Islamabad International Airport (ISB),Immigration clear karne ke baad baggage claim hall zameen ki manjil par hai jahan carousels numbered hain. Carousal number arrival screens par check karein. Agar bag delay ya missing ho to Carousel 5 ke paas Baggage Services Desk se rabta karein.,Roman Urdu
22,baggage,Agar mera bag missing ho jaye to kya karna chahiye?,arrival_guidance,Islamabad International Airport (ISB),Immigration clear karne ke baad baggage claim hall zameen ki manjil par hai jahan carousels numbered hain. Carousal number arrival screens par check karein. Agar bag delay ya missing ho to Carousel 5 ke paas Baggage Services Desk se rabta karein.,Roman Urdu
23,baggage,Mera saman kahan se collect karun?,arrival_guidance,Islamabad International Airport (ISB),Immigration clear karne ke baad baggage claim hall zameen ki manjil par hai jahan carousels numbered hain. Carousal number arrival screens par check karein. Agar bag delay ya missing ho to Carousel 5 ke paas Baggage Services Desk se rabta karein.,Roman Urdu
24,baggage,Flight GF111 ke liye konsa carousel hai?,arrival_guidance,Islamabad International Airport (ISB),Immigration clear karne ke baad baggage claim hall zameen ki manjil par hai jahan carousels numbered hain. Flight GF111 ke liye assigned carousel number arrival displays par nazar aayega. Agar bag delay ya missing ho to Carousel 5 ke paas Baggage Services Desk se rabta karein.,Roman Urdu
25,baggage,Mera saman kahan se collect karun?,arrival_guidance,Islamabad International Airport (ISB),Immigration clear karne ke baad baggage claim hall zameen ki manjil par hai jahan carousels numbered hain. Carousal number arrival screens par check karein. Agar bag delay ya missing ho to Carousel 5 ke paas Baggage Services Desk se rabta karein.,Roman Urdu
26,baggage,Flight HM938 ke liye konsa carousel hai?,arrival_guidance,Islamabad International Airport (ISB),Immigration clear karne ke baad baggage claim hall zameen ki manjil par hai jahan carousels numbered hain. Flight HM938 ke liye assigned carousel number arrival displays par nazar aayega. Agar bag delay ya missing ho to Carousel 5 ke paas Baggage Services Desk se rabta karein.,Roman Urdu
27,baggage,Agar mera bag missing ho jaye to kya karna chahiye?,arrival_guidance,Islamabad International Airport (ISB),Immigration clear karne ke baad baggage claim hall zameen ki manjil par hai jahan carousels numbered hain. Carousal number arrival screens par check karein. Agar bag delay ya missing ho to Carousel 5 ke paas Baggage Services Desk se rabta karein.,Roman Urdu
28,baggage,Flight EY925 ke liye konsa carousel hai?,arrival_guidance,Islamabad International Airport (ISB),Immigration clear karne ke baad baggage claim hall zameen ki manjil par hai jahan carousels numbered hain. Flight EY925 ke liye assigned carousel number arrival displays par nazar aayega. Agar bag delay ya missing ho to Carousel 5 ke paas Baggage Services Desk se rabta karein.,Roman Urdu
29,baggage,Mera saman kahan se collect karun?,arrival_guidance,Islamabad International Airport (ISB),Immigration clear karne ke baad baggage claim hall zameen ki manjil par hai jahan carousels numbered hain. Carousal number arrival screens par check karein. Agar bag delay ya missing ho to Carousel 5 ke paas Baggage Services Desk se rabta karein.,Roman Urdu
30,baggage,Mera saman kahan se collect karun?,arrival_guidance,Islamabad International Airport (ISB),Immigration clear karne ke baad baggage claim hall zameen ki manjil par hai jahan carousels numbered hain. Carousal number arrival screens par check karein. Agar bag delay ya missing ho to Carousel 5 ke paas Baggage Services Desk se rabta karein.,Roman Urdu
31,baggage,Mera saman kahan se collect karun?,arrival_guidance,Islamabad International Airport (ISB),Immigration clear karne ke baad baggage claim hall zameen ki manjil par hai jahan carousels numbered hain. Carousal number arrival screens par check karein. Agar bag delay ya missing ho to Carousel 5 ke paas Baggage Services Desk se rabta karein.,Roman Urdu
32,baggage,Mera saman kahan se collect karun?,arrival_guidance,Islamabad International Airport (ISB),Immigration clear karne ke baad baggage claim hall zameen ki manjil par hai jahan carousels numbered hain. Carousal number arrival screens par check karein. Agar bag delay ya missing ho to Carousel 5 ke paas Baggage Services Desk se rabta karein.,Roman Urdu
33,baggage,Flight UL548 ke liye konsa carousel hai?,arrival_guidance,Islamabad International Airport (ISB),Immigration clear karne ke baad baggage claim hall zameen ki manjil par hai jahan carousels numbered hain. Flight UL548 ke liye assigned carousel number arrival displays par nazar aayega. Agar bag delay ya missing ho to Carousel 5 ke paas Baggage Services Desk se rabta karein.,Roman Urdu
34,baggage,Flight EY434 ke liye konsa carousel hai?,arrival_guidance,Islamabad International Airport (ISB),Immigration clear karne ke baad baggage claim hall zameen ki manjil par hai jahan carousels numbered hain. Flight EY434 ke liye assigned carousel number arrival displays par nazar aayega. Agar bag delay ya missing ho to Carousel 5 ke paas Baggage Services Desk se rabta karein.,Roman Urdu
35,baggage,Flight HM659 ke liye konsa carousel hai?,arrival_guidance,Islamabad International Airport (ISB),Immigration clear karne ke baad baggage claim hall zameen ki manjil par hai jahan carousels numbered hain. Flight HM659 ke liye assigned carousel number arrival displays par nazar aayega. Agar bag delay ya missing ho to Carousel 5 ke paas Baggage Services Desk se rabta karein.,Roman Urdu
36,baggage,Flight BA534 ke liye konsa carousel hai?,arrival_guidance,Islamabad International Airport (ISB),Immigration clear karne ke baad baggage claim hall zameen ki manjil par hai jahan carousels numbered hain. Flight BA534 ke liye assigned carousel number arrival displays par nazar aayega. Agar bag delay ya missing ho to Carousel 5 ke paas Baggage Services Desk se rabta karein.,Roman Urdu
37,baggage,Mera saman kahan se collect karun?,arrival_guidance,Islamabad International Airport (ISB),Immigration clear karne ke baad baggage claim hall zameen ki manjil par hai jahan carousels numbered hain. Carousal number arrival screens par check karein. Agar bag delay ya missing ho to Carousel 5 ke paas Baggage Services Desk se rabta karein.,Roman Urdu
38,baggage,Mera saman kahan se collect karun?,arrival_guidance,Islamabad International Airport (ISB),Immigration clear karne ke baad baggage claim hall zameen ki manjil par hai jahan carousels numbered hain. Carousal number arrival screens par check karein. Agar bag delay ya missing ho to Carousel 5 ke paas Baggage Services Desk se rabta karein.,Roman Urdu
39,customs,Kya koi cheezein declare karna zaroori hoti hain?,arrival_guidance,Islamabad International Airport (ISB),Bag collect karne ke baad customs area mein green ya red channel follow karein. Declare karne wali items ke receipts saath rakhen aur officer ko dikhayen. Customs information counter se mazeed maloomat hasil karen agar zaroorat ho.,Roman Urdu
40,customs,Kya koi cheezein declare karna zaroori hoti hain?,arrival_guidance,Islamabad International Airport (ISB),Bag collect karne ke baad customs area mein green ya red channel follow karein. Declare karne wali items ke receipts saath rakhen aur officer ko dikhayen. Customs information counter se mazeed maloomat hasil karen agar zaroorat ho.,Roman Urdu
41,customs,Baggage hasil karne ke baad customs ka process kya hai?,arrival_guidance,Islamabad International Airport (ISB),Bag collect karne ke baad customs area mein green ya red channel follow karein. Declare karne wali items ke receipts saath rakhen aur officer ko dikhayen. Customs information counter se mazeed maloomat hasil karen agar zaroorat ho.,Roman Urdu
