Query,Language,Intent,Terminal,                                                                                                                                             Response
restroom kahan hai?,Roman Urdu,Facilities,Arrival,restroom Arrival terminal mein Gate 1 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
lounge kahan hai?,Roman Urdu,Facilities,Arrival,lounge Arrival terminal mein Gate 2 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
wifi kahan hai?,Roman Urdu,Facilities,Arrival,wifi Arrival terminal mein Gate 3 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
prayer room kahan hai?,Roman Urdu,Facilities,Arrival,prayer room Arrival terminal mein Gate 4 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
charging station kahan hai?,Roman Urdu,Facilities,Arrival,charging station Arrival terminal mein Gate 5 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
information desk kahan hai?,Roman Urdu,Facilities,Arrival,information desk Arrival terminal mein Gate 6 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
medical help kahan hai?,Roman Urdu,Facilities,Arrival,medical help Arrival terminal mein Gate 7 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
baby care room kahan hai?,Roman Urdu,Facilities,Arrival,baby care room Arrival terminal mein Gate 8 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
smoking area kahan hai?,Roman Urdu,Facilities,Arrival,smoking area Arrival terminal mein Gate 9 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
food court kahan hai?,Roman Urdu,Facilities,Arrival,food court Arrival terminal mein Gate 10 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
ATM kahan hai?,Roman Urdu,Facilities,Arrival,ATM Arrival terminal mein Gate 1 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
taxi stand kahan hai?,Roman Urdu,Facilities,Arrival,taxi stand Arrival terminal mein Gate 2 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
car rental kahan hai?,Roman Urdu,Facilities,Arrival,car rental Arrival terminal mein Gate 3 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
baggage trolley kahan hai?,Roman Urdu,Facilities,Arrival,baggage trolley Arrival terminal mein Gate 4 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
lost and found kahan hai?,Roman Urdu,Facilities,Arrival,lost and found Arrival terminal mein Gate 5 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
currency exchange kahan hai?,Roman Urdu,Facilities,Arrival,currency exchange Arrival terminal mein Gate 6 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
drinking water kahan hai?,Roman Urdu,Facilities,Arrival,drinking water Arrival terminal mein Gate 7 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
wheelchair service kahan hai?,Roman Urdu,Facilities,Arrival,wheelchair service Arrival terminal mein Gate 8 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
parking area kahan hai?,Roman Urdu,Facilities,Arrival,parking area Arrival terminal mein Gate 9 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
airport map kahan hai?,Roman Urdu,Facilities,Arrival,airport map Arrival terminal mein Gate 10 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
pharmacy kahan hai?,Roman Urdu,Facilities,Arrival,pharmacy Arrival terminal mein Gate 1 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
immigration counter kahan hai?,Roman Urdu,Facilities,Arrival,immigration counter Arrival terminal mein Gate 2 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
airline helpdesk kahan hai?,Roman Urdu,Facilities,Arrival,airline helpdesk Arrival terminal mein Gate 3 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
cafeteria kahan hai?,Roman Urdu,Facilities,Arrival,cafeteria Arrival terminal mein Gate 4 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
security office kahan hai?,Roman Urdu,Facilities,Arrival,security office Arrival terminal mein Gate 5 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
tourist information kahan hai?,Roman Urdu,Facilities,Arrival,tourist information Arrival terminal mein Gate 6 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
public transport area kahan hai?,Roman Urdu,Facilities,Arrival,public transport area Arrival terminal mein Gate 7 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
hotel booking desk kahan hai?,Roman Urdu,Facilities,Arrival,hotel booking desk Arrival terminal mein Gate 8 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
arrival waiting area kahan hai?,Roman Urdu,Facilities,Arrival,arrival waiting area Arrival terminal mein Gate 9 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
metro station kahan hai?,Roman Urdu,Facilities,Arrival,metro station Arrival terminal mein Gate 10 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
rest zone kahan hai?,Roman Urdu,Facilities,Arrival,rest zone Arrival terminal mein Gate 1 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
wifi helpdesk kahan hai?,Roman Urdu,Facilities,Arrival,wifi helpdesk Arrival terminal mein Gate 2 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
customer service kahan hai?,Roman Urdu,Facilities,Arrival,customer service Arrival terminal mein Gate 3 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
bank counter kahan hai?,Roman Urdu,Facilities,Arrival,bank counter Arrival terminal mein Gate 4 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
VIP lounge kahan hai?,Roman Urdu,Facilities,Arrival,VIP lounge Arrival terminal mein Gate 5 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
emergency exit kahan hai?,Roman Urdu,Facilities,Arrival,emergency exit Arrival terminal mein Gate 6 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
cloakroom kahan hai?,Roman Urdu,Facilities,Arrival,cloakroom Arrival terminal mein Gate 7 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
cleaning service kahan hai?,Roman Urdu,Facilities,Arrival,cleaning service Arrival terminal mein Gate 8 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
maintenance desk kahan hai?,Roman Urdu,Facilities,Arrival,maintenance desk Arrival terminal mein Gate 9 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
elevator kahan hai?,Roman Urdu,Facilities,Arrival,elevator Arrival terminal mein Gate 10 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
escalator kahan hai?,Roman Urdu,Facilities,Arrival,escalator Arrival terminal mein Gate 1 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
shuttle bus stop kahan hai?,Roman Urdu,Facilities,Arrival,shuttle bus stop Arrival terminal mein Gate 2 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
lost passport desk kahan hai?,Roman Urdu,Facilities,Arrival,lost passport desk Arrival terminal mein Gate 3 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
drinking fountain kahan hai?,Roman Urdu,Facilities,Arrival,drinking fountain Arrival terminal mein Gate 4 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
restaurant kahan hai?,Roman Urdu,Facilities,Arrival,restaurant Arrival terminal mein Gate 5 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
coffee shop kahan hai?,Roman Urdu,Facilities,Arrival,coffee shop Arrival terminal mein Gate 6 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
gift shop kahan hai?,Roman Urdu,Facilities,Arrival,gift shop Arrival terminal mein Gate 7 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
arrival hall kahan hai?,Roman Urdu,Facilities,Arrival,arrival hall Arrival terminal mein Gate 8 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
arrival exit kahan hai?,Roman Urdu,Facilities,Arrival,arrival exit Arrival terminal mein Gate 9 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
toilets kahan hai?,Roman Urdu,Facilities,Arrival,toilets Arrival terminal mein Gate 10 ke paas hai. 'Arrival Facilities' ke sign follow karein takay asaani se pohanch sakein. Agar na milay to staff se madad lein.
restroom kahan hai?,Roman Urdu,Facilities,Arrival,restroom Arrival area mein Gate 1 ke paas hai.
lounge kahan hai?,Roman Urdu,Facilities,Arrival,lounge Arrival area mein Gate 2 ke paas hai.
wifi kahan hai?,Roman Urdu,Facilities,Arrival,wifi Arrival area mein Gate 3 ke paas hai.
prayer room kahan hai?,Roman Urdu,Facilities,Arrival,prayer room Arrival area mein Gate 4 ke paas hai.
charging station kahan hai?,Roman Urdu,Facilities,Arrival,charging station Arrival area mein Gate 5 ke paas hai.
information desk kahan hai?,Roman Urdu,Facilities,Arrival,information desk Arrival area mein Gate 6 ke paas hai.
medical help kahan hai?,Roman Urdu,Facilities,Arrival,medical help Arrival area mein Gate 7 ke paas hai.
baby care room kahan hai?,Roman Urdu,Facilities,Arrival,baby care room Arrival area mein Gate 8 ke paas hai.
smoking area kahan hai?,Roman Urdu,Facilities,Arrival,smoking area Arrival area mein Gate 9 ke paas hai.
food court kahan hai?,Roman Urdu,Facilities,Arrival,food court Arrival area mein Gate 10 ke paas hai.
ATM kahan hai?,Roman Urdu,Facilities,Arrival,ATM Arrival area mein Gate 1 ke paas hai.
taxi stand kahan hai?,Roman Urdu,Facilities,Arrival,taxi stand Arrival area mein Gate 2 ke paas hai.
car rental kahan hai?,Roman Urdu,Facilities,Arrival,car rental Arrival area mein Gate 3 ke paas hai.
baggage trolley kahan hai?,Roman Urdu,Facilities,Arrival,baggage trolley Arrival area mein Gate 4 ke paas hai.
lost and found kahan hai?,Roman Urdu,Facilities,Arrival,lost and found Arrival area mein Gate 5 ke paas hai.
currency exchange kahan hai?,Roman Urdu,Facilities,Arrival,currency exchange Arrival area mein Gate 6 ke paas hai.
drinking water kahan hai?,Roman Urdu,Facilities,Arrival,drinking water Arrival area mein Gate 7 ke paas hai.
wheelchair service kahan hai?,Roman Urdu,Facilities,Arrival,wheelchair service Arrival area mein Gate 8 ke paas hai.
parking area kahan hai?,Roman Urdu,Facilities,Arrival,parking area Arrival area mein Gate 9 ke paas hai.
airport map kahan hai?,Roman Urdu,Facilities,Arrival,airport map Arrival area mein Gate 10 ke paas hai.
restroom kahan hai?,Roman Urdu,Facilities,Arrival,restroom Arrival area mein Gate 1 ke paas hai.
lounge kahan hai?,Roman Urdu,Facilities,Arrival,lounge Arrival area mein Gate 2 ke paas hai.
wifi kahan hai?,Roman Urdu,Facilities,Arrival,wifi Arrival area mein Gate 3 ke paas hai.
prayer room kahan hai?,Roman Urdu,Facilities,Arrival,prayer room Arrival area mein Gate 4 ke paas hai.
charging station kahan hai?,Roman Urdu,Facilities,Arrival,charging station Arrival area mein Gate 5 ke paas hai.
information desk kahan hai?,Roman Urdu,Facilities,Arrival,information desk Arrival area mein Gate 6 ke paas hai.
medical help kahan hai?,Roman Urdu,Facilities,Arrival,medical help Arrival area mein Gate 7 ke paas hai.
baby care room kahan hai?,Roman Urdu,Facilities,Arrival,baby care room Arrival area mein Gate 8 ke paas hai.
smoking area kahan hai?,Roman Urdu,Facilities,Arrival,smoking area Arrival area mein Gate 9 ke paas hai.
food court kahan hai?,Roman Urdu,Facilities,Arrival,food court Arrival area mein Gate 10 ke paas hai.
ATM kahan hai?,Roman Urdu,Facilities,Arrival,ATM Arrival area mein Gate 1 ke paas hai.
taxi stand kahan hai?,Roman Urdu,Facilities,Arrival,taxi stand Arrival area mein Gate 2 ke paas hai.
car rental kahan hai?,Roman Urdu,Facilities,Arrival,car rental Arrival area mein Gate 3 ke paas hai.
baggage trolley kahan hai?,Roman Urdu,Facilities,Arrival,baggage trolley Arrival area mein Gate 4 ke paas hai.
lost and found kahan hai?,Roman Urdu,Facilities,Arrival,lost and found Arrival area mein Gate 5 ke paas hai.
currency exchange kahan hai?,Roman Urdu,Facilities,Arrival,currency exchange Arrival area mein Gate 6 ke paas hai.
drinking water kahan hai?,Roman Urdu,Facilities,Arrival,drinking water Arrival area mein Gate 7 ke paas hai.
wheelchair service kahan hai?,Roman Urdu,Facilities,Arrival,wheelchair service Arrival area mein Gate 8 ke paas hai.
parking area kahan hai?,Roman Urdu,Facilities,Arrival,parking area Arrival area mein Gate 9 ke paas hai.
airport map kahan hai?,Roman Urdu,Facilities,Arrival,airport map Arrival area mein Gate 10 ke paas hai.
restroom kahan hai?,Roman Urdu,Facilities,Arrival,restroom Arrival area mein Gate 1 ke paas hai.
lounge kahan hai?,Roman Urdu,Facilities,Arrival,lounge Arrival area mein Gate 2 ke paas hai.
wifi kahan hai?,Roman Urdu,Facilities,Arrival,wifi Arrival area mein Gate 3 ke paas hai.
prayer room kahan hai?,Roman Urdu,Facilities,Arrival,prayer room Arrival area mein Gate 4 ke paas hai.
charging station kahan hai?,Roman Urdu,Facilities,Arrival,charging station Arrival area mein Gate 5 ke paas hai.
information desk kahan hai?,Roman Urdu,Facilities,Arrival,information desk Arrival area mein Gate 6 ke paas hai.
medical help kahan hai?,Roman Urdu,Facilities,Arrival,medical help Arrival area mein Gate 7 ke paas hai.
baby care room kahan hai?,Roman Urdu,Facilities,Arrival,baby care room Arrival area mein Gate 8 ke paas hai.
smoking area kahan hai?,Roman Urdu,Facilities,Arrival,smoking area Arrival area mein Gate 9 ke paas hai.
food court kahan hai?,Roman Urdu,Facilities,Arrival,food court Arrival area mein Gate 10 ke paas hai.
ATM kahan hai?,Roman Urdu,Facilities,Arrival,ATM Arrival area mein Gate 1 ke paas hai.
taxi stand kahan hai?,Roman Urdu,Facilities,Arrival,taxi stand Arrival area mein Gate 2 ke paas hai.
car rental kahan hai?,Roman Urdu,Facilities,Arrival,car rental Arrival area mein Gate 3 ke paas hai.
baggage trolley kahan hai?,Roman Urdu,Facilities,Arrival,baggage trolley Arrival area mein Gate 4 ke paas hai.
lost and found kahan hai?,Roman Urdu,Facilities,Arrival,lost and found Arrival area mein Gate 5 ke paas hai.
currency exchange kahan hai?,Roman Urdu,Facilities,Arrival,currency exchange Arrival area mein Gate 6 ke paas hai.
