id,user_query,intent,airport,flight_number,origin_city,arrival_time,flight_status,response,language
1,فلائٹ PK695 دبئی سے اسلام آباد کب پہنچے گی؟,flight_information,اسلام آباد (ISB),PK695,دبئی,21:51,لینڈ ہو گئی,فلائٹ PK695 دبئی سے متوقع طور پر 21:51 پر اسلام آباد پہنچے گی۔ صورتحال: لینڈ ہو گئی۔,Urdu
2,فلائٹ PK290 کی آمد کا وقت کیا ہے؟,flight_information,اسلام آباد (ISB),PK290,دبئی,12:16,تاخیر,فلائٹ PK290 دبئی سے متوقع طور پر 12:16 پر اسلام آباد پہنچے گی۔ صورتحال: تاخیر۔,Urdu
3,فلائٹ EY391 کی آمد کا وقت کیا ہے؟,flight_information,اسلام آباد (ISB),EY391,شارجہ,14:49,وقت پر,فلائٹ EY391 شارجہ سے متوقع طور پر 14:49 پر اسلام آباد پہنچے گی۔ صورتحال: وقت پر۔,Urdu
4,فلائٹ SV339 ابو ظہبی سے اسلام آباد کب پہنچے گی؟,flight_information,اسلام آباد (ISB),SV339,ابو ظہبی,10:00,وقت پر,فلائٹ SV339 ابو ظہبی سے متوقع طور پر 10:00 پر اسلام آباد پہنچے گی۔ صورتحال: وقت پر۔,Urdu
5,کیا فلائٹ PK696 استنبول سے تاخیر کا شکار ہے؟,flight_information,اسلام آباد (ISB),PK696,استنبول,14:03,وقت پر,فلائٹ PK696 استنبول سے متوقع طور پر 14:03 پر اسلام آباد پہنچے گی۔ صورتحال: وقت پر۔,Urdu
6,فلائٹ QR715 کی موجودہ صورتحال کیا ہے؟,flight_information,اسلام آباد (ISB),QR715,ریاض,01:50,وقت پر,فلائٹ QR715 ریاض سے متوقع طور پر 01:50 پر اسلام آباد پہنچے گی۔ صورتحال: وقت پر۔,Urdu
7,فلائٹ BA233 شارجہ سے اسلام آباد کب پہنچے گی؟,flight_information,اسلام آباد (ISB),BA233,شارجہ,18:27,لینڈ ہو گئی,فلائٹ BA233 شارجہ سے متوقع طور پر 18:27 پر اسلام آباد پہنچے گی۔ صورتحال: لینڈ ہو گئی۔,Urdu
8,فلائٹ EY392 استنبول سے اسلام آباد کب پہنچے گی؟,flight_information,اسلام آباد (ISB),EY392,استنبول,06:32,وقت پر,فلائٹ EY392 استنبول سے متوقع طور پر 06:32 پر اسلام آباد پہنچے گی۔ صورتحال: وقت پر۔,Urdu
9,کیا فلائٹ EY559 دبئی سے تاخیر کا شکار ہے؟,flight_information,اسلام آباد (ISB),EY559,دبئی,01:41,لینڈ ہو گئی,فلائٹ EY559 دبئی سے متوقع طور پر 01:41 پر اسلام آباد پہنچے گی۔ صورتحال: لینڈ ہو گئی۔,Urdu
10,کیا فلائٹ TK440 جدہ سے تاخیر کا شکار ہے؟,flight_information,اسلام آباد (ISB),TK440,جدہ,09:21,لینڈ ہو گئی,فلائٹ TK440 جدہ سے متوقع طور پر 09:21 پر اسلام آباد پہنچے گی۔ صورتحال: لینڈ ہو گئی۔,Urdu
11,فلائٹ TK583 کس وقت اسلام آباد اترے گی؟,flight_information,اسلام آباد (ISB),TK583,جدہ,21:40,تاخیر,فلائٹ TK583 جدہ سے متوقع طور پر 21:40 پر اسلام آباد پہنچے گی۔ صورتحال: تاخیر۔,Urdu
12,کیا فلائٹ QR607 استنبول سے تاخیر کا شکار ہے؟,flight_information,اسلام آباد (ISB),QR607,استنبول,02:13,لینڈ ہو گئی,فلائٹ QR607 استنبول سے متوقع طور پر 02:13 پر اسلام آباد پہنچے گی۔ صورتحال: لینڈ ہو گئی۔,Urdu
13,فلائٹ EY720 شارجہ سے اسلام آباد کب پہنچے گی؟,flight_information,اسلام آباد (ISB),EY720,شارجہ,02:33,لینڈ ہو گئی,فلائٹ EY720 شارجہ سے متوقع طور پر 02:33 پر اسلام آباد پہنچے گی۔ صورتحال: لینڈ ہو گئی۔,Urdu
14,فلائٹ QR874 جدہ سے اسلام آباد کب پہنچے گی؟,flight_information,اسلام آباد (ISB),QR874,جدہ,08:35,وقت پر,فلائٹ QR874 جدہ سے متوقع طور پر 08:35 پر اسلام آباد پہنچے گی۔ صورتحال: وقت پر۔,Urdu
15,فلائٹ PK647 ریاض سے اسلام آباد کب پہنچے گی؟,flight_information,اسلام آباد (ISB),PK647,ریاض,05:56,تاخیر,فلائٹ PK647 ریاض سے متوقع طور پر 05:56 پر اسلام آباد پہنچے گی۔ صورتحال: تاخیر۔,Urdu
16,فلائٹ TK927 کس وقت اسلام آباد اترے گی؟,flight_information,اسلام آباد (ISB),TK927,جدہ,04:32,تاخیر,فلائٹ TK927 جدہ سے متوقع طور پر 04:32 پر اسلام آباد پہنچے گی۔ صورتحال: تاخیر۔,Urdu
17,کیا فلائٹ EK643 جدہ سے تاخیر کا شکار ہے؟,flight_information,اسلام آباد (ISB),EK643,جدہ,14:30,لینڈ ہو گئی,فلائٹ EK643 جدہ سے متوقع طور پر 14:30 پر اسلام آباد پہنچے گی۔ صورتحال: لینڈ ہو گئی۔,Urdu
18,کیا فلائٹ PK796 دبئی سے تاخیر کا شکار ہے؟,flight_information,اسلام آباد (ISB),PK796,دبئی,18:05,تاخیر,فلائٹ PK796 دبئی سے متوقع طور پر 18:05 پر اسلام آباد پہنچے گی۔ صورتحال: تاخیر۔,Urdu
19,فلائٹ BA213 ریاض سے اسلام آباد کب پہنچے گی؟,flight_information,اسلام آباد (ISB),BA213,ریاض,14:01,وقت پر,فلائٹ BA213 ریاض سے متوقع طور پر 14:01 پر اسلام آباد پہنچے گی۔ صورتحال: وقت پر۔,Urdu
20,کیا فلائٹ TK738 لندن سے تاخیر کا شکار ہے؟,flight_information,اسلام آباد (ISB),TK738,لندن,09:07,لینڈ ہو گئی,فلائٹ TK738 لندن سے متوقع طور پر 09:07 پر اسلام آباد پہنچے گی۔ صورتحال: لینڈ ہو گئی۔,Urdu
