Query,Language,Intent,Terminal,Response
Where is the restroom?,English,Facilities,Arrival,"The restroom is located in the Arrival terminal near Gate 1. You can follow the signs for 'Arrival Facilities' to reach it easily. If you're unable to locate it, please ask an airport staff member for directions."
Where is the lounge?,English,Facilities,Arrival,"The lounge is located in the Arrival terminal near Gate 2. You can follow the signs for 'Arrival Facilities' to reach it easily. If you're unable to locate it, please ask an airport staff member for directions."
Where is the wifi?,English,Facilities,Arrival,"The wifi is located in the Arrival terminal near Gate 3. You can follow the signs for 'Arrival Facilities' to reach it easily. If you're unable to locate it, please ask an airport staff member for directions."
Where is the prayer room?,English,Facilities,Arrival,"The prayer room is located in the Arrival terminal near Gate 4. You can follow the signs for 'Arrival Facilities' to reach it easily. If you're unable to locate it, please ask an airport staff member for directions."
Where is the charging station?,English,Facilities,Arrival,"The charging station is located in the Arrival terminal near Gate 5. You can follow the signs for 'Arrival Facilities' to reach it easily. If you're unable to locate it, please ask an airport staff member for directions."
Where is the information desk?,English,Facilities,Arrival,"The information desk is located in the Arrival terminal near Gate 6. You can follow the signs for 'Arrival Facilities' to reach it easily. If you're unable to locate it, please ask an airport staff member for directions."
Where is the medical help?,English,Facilities,Arrival,"The medical help is located in the Arrival terminal near Gate 7. You can follow the signs for 'Arrival Facilities' to reach it easily. If you're unable to locate it, please ask an airport staff member for directions."
Where is the baby care room?,English,Facilities,Arrival,"The baby care room is located in the Arrival terminal near Gate 8. You can follow the signs for 'Arrival Facilities' to reach it easily. If you're unable to locate it, please ask an airport staff member for directions."
Where is the smoking area?,English,Facilities,Arrival,"The smoking area is located in the Arrival terminal near Gate 9. You can follow the signs for 'Arrival Facilities' to reach it easily. If you're unable to locate it, please ask an airport staff member for directions."
Where is the food court?,English,Facilities,Arrival,"The food court is located in the Arrival terminal near Gate 10. You can follow the signs for 'Arrival Facilities' to reach it easily. If you're unable to locate it, please ask an airport staff member for directions."
Where is the ATM?,English,Facilities,Arrival,"The ATM is located in the Arrival terminal near Gate 1. You can follow the signs for 'Arrival Facilities' to reach it easily. If you're unable to locate it, please ask an airport staff member for directions."
Where is the taxi stand?,English,Facilities,Arrival,"The taxi stand is located in the Arrival terminal near Gate 2. You can follow the signs for 'Arrival Facilities' to reach it easily. If you're unable to locate it, please ask an airport staff member for directions."
Where is the car rental?,English,Facilities,Arrival,"The car rental is located in the Arrival terminal near Gate 3. You can follow the signs for 'Arrival Facilities' to reach it easily. If you're unable to locate it, please ask an airport staff member for directions."
Where is the baggage trolley?,English,Facilities,Arrival,"The baggage trolley is located in the Arrival terminal near Gate 4. You can follow the signs for 'Arrival Facilities' to reach it easily. If you're unable to locate it, please ask an airport staff member for directions."
Where is the lost and found?,English,Facilities,Arrival,"The lost and found is located in the Arrival terminal near Gate 5. You can follow the signs for 'Arrival Facilities' to reach it easily. If you're unable to locate it, please ask an airport staff member for directions."
Where is the currency exchange?,English,Facilities,Arrival,"The currency exchange is located in the Arrival terminal near Gate 6. You can follow the signs for 'Arrival Facilities' to reach it easily. If you're unable to locate it, please ask an airport staff member for directions."
Where is the drinking water?,English,Facilities,Arrival,"The drinking water is located in the Arrival terminal near Gate 7. You can follow the signs for 'Arrival Facilities' to reach it easily. If you're unable to locate it, please ask an airport staff member for directions."
Where is the wheelchair service?,English,Facilities,Arrival,"The wheelchair service is located in the Arrival terminal near Gate 8. You can follow the signs for 'Arrival Facilities' to reach it easily. If you're unable to locate it, please ask an airport staff member for directions."
Where is the parking area?,English,Facilities,Arrival,"The parking area is located in the Arrival terminal near Gate 9. You can follow the signs for 'Arrival Facilities' to reach it easily. If you're unable to locate it, please ask an airport staff member for directions."
Where is the airport map?,English,Facilities,Arrival,"The airport map is located in the Arrival terminal near Gate 10. You can follow the signs for 'Arrival Facilities' to reach it easily. If you're unable to locate it, please ask an airport staff member for directions."
