id,user_query,intent,airport,flight_number,origin_city,arrival_time,flight_status,response,language
1,Kya flight BA619 Sharjah se delay hai?,flight_information,ISB,BA619,Sharjah,12:03,Delayed,Flight BA619 Sharjah se 12:03 par ISB aayegi. Status: Delayed.,Roman Urdu
2,Flight PK287 kis time Islamabad land kare gi?,flight_information,ISB,PK287,Sharjah,04:10,Landed,Flight PK287 Sharjah se 04:10 par ISB aayegi. Status: Landed.,Roman Urdu
3,Flight PK783 Dubai se ISB kab pohanchay gi?,flight_information,ISB,PK783,Dubai,05:23,On-Time,Flight PK783 Dubai se 05:23 par ISB aayegi. Status: On-Time.,Roman Urdu
4,Flight EK847 kis time Islamabad land kare gi?,flight_information,ISB,EK847,Dubai,12:03,Landed,Flight EK847 Dubai se 12:03 par ISB aayegi. Status: Landed.,Roman Urdu
5,Flight EK120 kis time Islamabad land kare gi?,flight_information,ISB,EK120,Jeddah,22:13,Delayed,Flight EK120 Jeddah se 22:13 par ISB aayegi. Status: Delayed.,Roman Urdu
6,Kya flight EY647 Jeddah se delay hai?,flight_information,ISB,EY647,Jeddah,22:06,Delayed,Flight EY647 Jeddah se 22:06 par ISB aayegi. Status: Delayed.,Roman Urdu
7,Flight TK385 Lahore se ISB kab pohanchay gi?,flight_information,ISB,TK385,Lahore,05:16,Delayed,Flight TK385 Lahore se 05:16 par ISB aayegi. Status: Delayed.,Roman Urdu
8,Flight QR976 Jeddah se ISB kab pohanchay gi?,flight_information,ISB,QR976,Jeddah,20:45,Landed,Flight QR976 Jeddah se 20:45 par ISB aayegi. Status: Landed.,Roman Urdu
9,Flight BA234 kis time Islamabad land kare gi?,flight_information,ISB,BA234,Lahore,10:26,Landed,Flight BA234 Lahore se 10:26 par ISB aayegi. Status: Landed.,Roman Urdu
10,Flight QR776 Sharjah se ISB kab pohanchay gi?,flight_information,ISB,QR776,Sharjah,02:21,On-Time,Flight QR776 Sharjah se 02:21 par ISB aayegi. Status: On-Time.,Roman Urdu
11,Kya flight BA162 Doha se delay hai?,flight_information,ISB,BA162,Doha,15:16,Delayed,Flight BA162 Doha se 15:16 par ISB aayegi. Status: Delayed.,Roman Urdu
12,Flight SV804 kis time Islamabad land kare gi?,flight_information,ISB,SV804,Istanbul,16:45,Delayed,Flight SV804 Istanbul se 16:45 par ISB aayegi. Status: Delayed.,Roman Urdu
13,Flight PK745 Riyadh se ISB kab pohanchay gi?,flight_information,ISB,PK745,Riyadh,03:22,Delayed,Flight PK745 Riyadh se 03:22 par ISB aayegi. Status: Delayed.,Roman Urdu
