#,Query,Chatbot Response,Intent,Terminal,language
1,Mera check-in counter kahan hai?,"Apni airline ke check-in counter pe chalein, departure hall mein boards lage hue hain.",Check_in_info,departure,roman
2,PIA ka counter kis row mein hai?,PIA ka counter Row C mein Gate 4 ke paas hai.,Check_in_info,departure,roman
3,Serene Air ka check-in kahan hota hai?,"Serene Air ka counter Row B mein hai, staff wahan maujood hota hai.",Check_in_info,departure,roman
4,Kya online check-in ke baad bag drop kar sakta hoon?,"Haan, “Online Check-In” likhe counter pe bag jama kar dein.",Check_in_info,departure,roman
5,Mobile boarding pass chalega ya print zaroori hai?,"Mobile boarding pass chal jata hai, print optional hai.",Check_in_info,departure,roman
6,Check-in kab khulta hai?,International flights ke liye 3 ghante pehle aur domestic ke liye 2 ghante pehle khulta hai.,Check_in_info,departure,roman
7,Check-in kab band hota hai?,Domestic flights ke liye 45 minutes pehle aur international ke liye 1 ghanta pehle band hota hai.,Check_in_info,departure,roman
8,Kya Islamabad Airport pe self check-in machine hai?,"Haan, hall B ke entrance pe self check-in kiosks lagi hui hain.",Check_in_info,departure,roman
9,Boarding pass kahan milta hai?,Airline ke counter se check-in complete karne ke baad milta hai.,Check_in_info,departure,roman
10,Extra baggage ka paisa kahan jama hota hai?,Row D ke paas Extra Baggage desk pe payment hoti hai.,Check_in_info,departure,roman
11,Kya families ke liye alag counter hota hai?,"Haan, families aur bachon ke liye priority lane hoti hai.",Check_in_info,departure,roman
12,Special assistance passengers kahan jaate hain?,Counter number 1 special assistance passengers ke liye hai.,Check_in_info,departure,roman
13,Fast track check-in kya hota hai?,Ye service business class ya premium passengers ke liye hoti hai.,Check_in_info,departure,roman
14,Kya do bags check-in kar sakta hoon?,"Haan, agar total weight airline limit ke andar ho to.",Check_in_info,departure,roman
15,Hand carry ka maximum weight kitna hota hai?,"Normally 7 kg tak allowed hota hai, airline se confirm kar lein.",Check_in_info,departure,roman
16,Baggage wrapping kahan hoti hai?,Gate 3 ke paas wrapping service available hai.,Check_in_info,departure,roman
17,Kya ek din pehle bag drop kar sakta hoon?,"Nahi, sirf flight ke din hi bag drop hota hai.",Check_in_info,departure,roman
