"id","query","language","intent","terminal","entities","expected_response","notes"
"1","Airport mein WiFi ka password kya hai?","roman","facilities","departure","{""service"":""WiFi""}","Nahi, Islamabad International Airport ka free WiFi network khula hai aur kisi password ki zaroorat nahi hai. Aap asaani se 'ISB_Airport_Free' network se connect ho sakte hain jo poore terminal mein available hai. Connection ke liye sirf apne device ki WiFi settings kholein, available networks ki list mein ISB_Airport_Free talash karein, aur us se connect hone ke liye us par tap karein. Kuch suratoon mein, aap ko ek saada terms & conditions ke page par bheja ja sakta hai jahan aap ko usage ki shartein qubool karni hongi is se pehle ke internet tak rasai faal ho. Yeh network bunyadi web browsing, email, social media, aur messaging apps ke liye munasib raftaar faraham karta hai. Connection ka waqt aam tor par 3-4 ghantay tak mahfooz rehta hai, phir aap ko dobara connect karna par sakta hai. Agar aap ko connection mein koi masla aata hai, to information desk par madad ke liye poochein jo technical support ya alternative WiFi options faraham kar sakte hain.","Free WiFi"
"2","Kya airport mein namaz ki jagah hai?","roman","facilities","departure","{""facility"":""prayer room"",""religious"":""muslim""}","Ji haan, Islamabad International Airport mein dedicated namaz ke kamrayموجود hain jo 24/7 khulay hain tamam musalmanon ke liye. Yeh specially designed prayer facilities doosri manzil par Gate 5 ke qareeb waqe hain. Namaz ke kamray alag alag sections mein taqseem hain mardon aur aurton ke liye, har section mein proper wuzu ki suholiyat hai. Har kamra qibla ki taraf rukh kiya gaya hai aur saaf carpet se muffarash hai. Additional amenities mein shamil hain: Quran shareef ki copies, namaz ke mats agar zaroorat ho, clock jis mein namaz ke auqat dikhai dete hain, aur AC ya heating system comfortable temperature ke liye. Wuzu area mein paani ki suholiyat hai aur towels ya tissues available hain. Yeh kamray shanti aur privacy faraham karte hain takay aap apni namaz ada kar sakein. Agar aap ko namaz ke kamray dhoondhne mein mushkil ho rahi hai, to kisi bhi airport staff member se poochein ya signage follow karein jo clearly marked hai.","Prayer facilities"
"3","Kahan se foreign currency exchange kar sakta hoon?","roman","facilities","departure","{""service"":""currency exchange"",""facility"":""forex""}","Currency exchange counters Islamabad International Airport mein multiple locations par available hain. Main exchange counter arrival hall mein baggage claim area ke qareeb waqe hai jahan international passengers apna foreign currency Pakistani Rupees mein convert kar sakte hain. Departure terminal mein bhi currency exchange services hain security checkpoint se pehle aur baad mein dono jagah. Yeh counters aam tor par subah 6 bajay se raat 11 bajay tak khulay rehtay hain, lekin timings flight schedules ke mutabiq badal sakti hain. Exchange rates market rates ke qareeb hote hain lekin thoda commission charge kiya jata hai. Commonly exchanged currencies mein shamil hain: US Dollar, Euro, British Pound, Saudi Riyal, UAE Dirham, aur doosri major currencies. Exchange karte waqt apna passport lana na bhoolein kyunki identification zaruri hai khas tor par bara amounts ke liye. Rates ka comparison karne ke liye, aap exchange counter par pehle rates pooch sakte hain aur decision le sakte hain. Pakistani Rupees ko foreign currency mein wapas badalna bhi mumkin hai, lekin is ke liye original exchange receipt zaruri ho sakti hai.","Currency exchange"
"4","Airport lounge mein kaise ja sakte hain?","roman","facilities","departure","{""facility"":""lounge"",""service"":""premium""}","Islamabad International Airport mein premium lounges tak rasai hasil karne ke kai tariqay hain. Gate 7 ke qareeb waqe main lounge entry ke liye yeh options hain: Business ya First Class ticket holders automatically qualified hain airport lounges ke liye, frequent flyer program ke elite members jo qualifying status rakhte hain free access hasil kar sakte hain, Priority Pass membership holders apna card dikha kar enter ho sakte hain, aur day passes airport par hi purchase kiye ja sakte hain agar seats available hon. Day pass ka kharcha aam tor par PKR 3,000-5,000 ke darmiyan hota hai per person. Lounge facilities mein yeh shamil hain: complimentary food aur beverages including hot meals, snacks, tea, coffee, aur soft drinks, comfortable seating arrangements, free high-speed WiFi, business center with computers aur printing facilities, shower facilities, TV aur entertainment options, aur newspapers aur magazines. Lounge mein reh kar aap ek shanti aur aram deh mahol mein apne flight ka intezar kar sakte hain door from the crowded terminal. Kuch credit cards bhi lounge access provide karte hain, to apne card benefits check karein.","Lounge access"
"5","Kya mobile phone charging stations hain?","roman","facilities","departure","{""facility"":""charging station""}","Ji haan, Islamabad International Airport mein multiple mobile phone charging stations aur facilities available hain poore terminal mein. Free charging stations kai locations par installed hain including: gate seating areas mein jahan dedicated charging kiosks hain multiple USB ports aur power outlets ke saath, food court area mein jahan tables ke qareeb outlets hain, waiting lounges mein, aur main departure hall mein. Kai modern seating areas mein built-in USB ports aur power sockets directly chairs mein hi embedded hain, jo convenient charging ko bahut asaan banate hain. Premium lounges mein wireless charging pads aur zyada charging stations available hain. Agar aap ko charging cable chahiye, kuch convenience stores airport mein charging cables aur portable power banks bhi frokhaat karte hain. Meherbani kar ke dhyan rakhein ke apne devices ko charging stations par unattended na chhodein kyunki theft ho sakti hai. Apne phone par nazar rakhein ya usse pocket mein rakhen jab charge ho raha ho. Agar sabhi charging stations busy hain, to aap restaurants ya cafes mein bhi outlets use kar sakte hain apne khane ke sath.","Charging facilities"
"6","Airport mein ATM machine kahan hai?","roman","facilities","departure","{""facility"":""ATM""}","ATM machines Islamabad International Airport mein kai locations par available hain convenience ke liye. Aap ko ATMs milenge: main entrance ke qareeb arrival aur departure areas mein, food court ke vicinity mein jahan log shopping ya khana khaate waqt cash ki zaroorat mehsoos karte hain, aur central departure hall mein security checkpoint se pehle. Yeh ATMs Pakistan ke major banks dwara operate kiye jate hain jaise Habib Bank Limited (HBL), National Bank of Pakistan, MCB, aur Allied Bank. ATMs se aap: Pakistani Rupees withdraw kar sakte hain, account balance check kar sakte hain, aur basic banking transactions perform kar sakte hain. Domestic cards ke liye, yeh services aam tor par free ya minimal fee ke sath hain. International card holders (Visa, Mastercard, American Express, Union Pay) bhi in ATMs se withdrawal kar sakte hain, lekin foreign transaction fees apply ho sakti hain jo aap ke home bank dwara charge ki jati hain. Withdrawal limits typically PKR 25,000-50,000 per transaction hain, jo aap ke bank aur card type par depend karta hai. Security ke liye, ATMs CCTV surveillance ke nichay hain aur 24/7 available hain.","ATM locations"
"7","Kya wheelchair service available hai?","roman","facilities","departure","{""service"":""wheelchair"",""accessibility"":""mobility""}","Ji haan, bilkul! Wheelchair service Islamabad International Airport par free of charge available hai tamam passengers ke liye jo mobility assistance chahte hain. Yeh service available hai for: elderly passengers, disabled travelers, passengers with temporary injuries, aur koi bhi jo walking mein difficulty mehsoos karta ho. Wheelchair request karne ke liye: advance mein apni airline ko inform karein booking ke waqt ya kam az kam 48 ghantay flight se pehle, ya arrival par airport ke information desk par request karein jo immediately arrange kar dein ge. Trained staff members wheelchair push karte hain aur passengers ko: entry se check-in counter tak, security screening tak, boarding gate tak, aur zaroorat parne par aircraft door tak assist karte hain. Service arrival par bhi available hai aircraft se baggage claim aur exit tak. Additional assistance jaise ke boarding/de-boarding ke liye special equipment bhi request ki ja sakti hai agar severe mobility issues hain. Yeh tamam services free hain, lekin agar aap chahain to staff member ko tip de sakte hain appreciation ke tor par. Service high season ya busy times mein thodi delay ho sakti hai, isliye advance request ki tavsiya di jati hai.","Wheelchair assistance"
"8","Airport mein first aid ya medical facility kahan hai?","roman","facilities","departure","{""facility"":""medical center"",""service"":""healthcare""}","Islamabad International Airport mein comprehensive medical center Gate 2 ke qareeb waqe hai jo 24/7 khula rehta hai. Yeh fully equipped medical facility emergency situations aur routine medical needs dono ko handle karti hai. Medical center mein available services: qualified doctors aur paramedics jo immediate medical attention provide karte hain, basic medical equipment jaise blood pressure monitors, thermometers, aur first aid supplies, emergency medications ka stock, minor injury treatment jaise cuts, bruises, sprains, illness evaluation aur initial treatment, aur ambulance services ka immediate contact serious emergencies ke liye. Common situations jahan passengers medical center ka rujoo karte hain: travel sickness, headaches ya fever, blood pressure issues, diabetic emergencies, minor accidents ya falls, allergic reactions, aur anxiety ya panic attacks. Medical staff multilingual hai aur Urdu, English, aur kuch regional languages bol sakta hai. Service basic consultation ke liye aam tor par free hai, lekin medications ya specialized treatment ke liye charge ho sakta hai. Agar aap ko chronic medical condition hai aur regular medications lete hain, to apni medicines carry through karna na bhoolein with proper prescriptions. Airport security aur information desk staff basic first aid mein bhi trained hain aur immediate help provide kar sakte hain medical center tak pahunchne tak.","Medical services"
"9","Kya bachon ke liye play area hai?","roman","facilities","departure","{""facility"":""kids play area"",""passenger"":""children""}","Ji haan, Islamabad International Airport mein dedicated kids play area hai jo Gate 5 ke qareeb waqe hai specifically 2-10 saal ke bachon ke liye designed. Yeh bright aur colorful play zone safe aur entertaining environment provide karta hai families ke liye jo apni flight ka intezar kar rahe hain. Play area mein included hain: climbing structures jo age-appropriate aur safe hain, slides aur tunnels exploration ke liye, interactive games aur activities jo cognitive development ko promote karti hain, soft play equipment chhote bachon ke liye, aur seating area parents ke liye jahan wo apne bachon par nazar rakh sakte hain. Safety features include: padded flooring cushioning falls ke liye, rounded edges tamam equipment par, regular cleaning aur sanitization, aur security staff ki presence area ke qareeb. Play area usually 6 AM se 10 PM tak khula rehta hai, lekin hours vary kar sakte hain. Area mein entry free hai aur no reservation required. Parents ya guardians ka supervision zaruri hai bachon ke sath. Busy times par, especially weekends ya holidays par, area crowded ho sakta hai to off-peak hours mein jana better experience de sakta hai. Adjacent area mein benches aur charging points bhi hain parents ke liye. Agar aap ka bacha restless ho raha hai long wait ke doran, yeh play area perfect solution hai unhe entertain karne ka.","Kids facilities"
"10","Restroom facilities kahan hain?","roman","facilities","departure","{""facility"":""restroom"",""service"":""toilet""}","Restrooms (washrooms/toilets) Islamabad International Airport ke poore terminal mein conveniently located hain aur clearly marked signage ke sath. Aap ko restrooms milenge: har gate area ke qareeb takay passengers jaldi access kar sakein, food court aur dining areas ke vicinity mein, main departure aur arrival halls mein, aur security checkpoint se pehle aur baad mein. Facilities include: separate men's aur women's restrooms, family restrooms jo spacious hain aur parents ko chhote bachon ke sath accommodate karte hain baby changing stations ke sath, accessible restrooms specially designed for disabled passengers with wheelchair-friendly stalls, prayer/ablution facilities kuch washrooms mein Muslim passengers ke liye, aur regular cleaning aur maintenance jo hygiene ensure karta hai. Restrooms mein available amenities: flush toilets (mostly western style, kuch squat toilets bhi), wash basins with running water, soap dispensers, hand dryers ya paper towels, aur mirrors. Peak hours mein restrooms busy ho sakte hain, to agar time hai to less crowded areas mein washrooms try karein. Agar koi maintenance issue hai ya cleanliness concern, to nearest information desk ya staff member ko inform karein. Signage follow karein jo restrooms ki direction indicate karta hai - usually male symbol for men, female symbol for women, aur wheelchair symbol for accessible facilities.","Restroom locations"
