"id","query","language","intent","terminal","entities","expected_response","notes"
"1","قریب ترین بیت الخلاء کہاں ہے؟","ur","facilities","departure","{}","بیت الخلاء گیٹ 3 اور گیٹ 8 کے قریب روانگی لاؤنج میں واقع ہیں","عام سوال"
"2","کیا ہوائی اڈے پر مفت وائی فائی ہے؟","ur","facilities","departure","{""service"":""WiFi""}","جی ہاں، پورے ہوائی اڈے پر مفت وائی فائی دستیاب ہے۔ 'ISB_Airport_Free' نیٹ ورک سے منسلک ہوں","کنیکٹیویٹی کا سوال"
"3","نماز کا کمرہ کہاں مل سکتا ہے؟","ur","facilities","departure","{""facility"":""prayer room""}","نماز کے کمرے دوسری منزل پر گیٹ 5 کے قریب واقع ہیں مردوں اور خواتین کے لیے الگ الگ جگہوں کے ساتھ","مذہبی سہولت"
"4","کیا روانگی لاؤنج میں کوئی ریستوراں ہے؟","ur","facilities","departure","{""facility"":""restaurant""}","جی ہاں، ہمارے پاس گلوریا جینز، سب وے، کے ایف سی، اور ٹیسٹ آف پاکستان ریستوراں میں روایتی پاکستانی کھانے ہیں","کھانے کے اختیارات"
"5","ائیرپورٹ لاؤنج کہاں ہے؟","ur","facilities","departure","{""facility"":""lounge""}","پریمیم لاؤنج پہلی منزل پر گیٹ 6 کے قریب واقع ہے، لاؤنج پاس یا بزنس کلاس ٹکٹ کے ساتھ قابل رسائی","لاؤنج تک رسائی"
"6","کیا ہوائی اڈے میں فارمیسی ہے؟","ur","facilities","departure","{""facility"":""pharmacy""}","جی ہاں، روانگی ہال کے مرکزی دروازے کے قریب 24 گھنٹے فارمیسی ہے","طبی سہولت"
"7","میں اپنا فون کہاں چارج کر سکتا ہوں؟","ur","facilities","departure","{""service"":""charging""}","چارجنگ اسٹیشن تمام گیٹ بیٹھنے کے علاقوں اور فوڈ کورٹ کے قریب دستیاب ہیں","بجلی کی رسائی"
"8","کیا روانگی ٹرمینل میں اے ٹی ایم ہیں؟","ur","facilities","departure","{""facility"":""ATM""}","اے ٹی ایم داخلی دروازے، فوڈ کورٹ اور مرکزی روانگی ہال میں واقع ہیں","بینکنگ سروس"
"9","میں یادگاری چیزیں کہاں سے خرید سکتا ہوں؟","ur","facilities","departure","{""facility"":""shop""}","یادگاری کی دکانیں روانگی لاؤنج میں گیٹ 4 اور 7 کے قریب واقع ہیں","خریداری کا سوال"
"10","کیا ہوائی اڈے میں سگریٹ نوشی کا علاقہ ہے؟","ur","facilities","departure","{""facility"":""smoking area""}","جی ہاں، مخصوص سگریٹ نوشی کے علاقے روانگی لاؤنج سے قابل رسائی بیرونی حصے میں دستیاب ہیں","سگریٹ نوشی کی پالیسی"
"11","انفارمیشن ڈیسک کہاں ہے؟","ur","facilities","departure","{""facility"":""information""}","انفارمیشن ڈیسک مرکزی دروازے اور روانگی ہال کے وسط میں واقع ہیں","مدد کا ڈیسک"
"12","کیا بچوں کے لیے تبدیلی کی سہولیات ہیں؟","ur","facilities","departure","{""facility"":""baby changing""}","بچوں کی تبدیلی کے اسٹیشن تمام بیت الخلاؤں میں دستیاب ہیں اور گیٹ 3 کے قریب مخصوص نرسنگ روم ہے","خاندانی سہولت"
"13","میں کافی کہاں سے حاصل کر سکتا ہوں؟","ur","facilities","departure","{""facility"":""cafe""}","گلوریا جینز اور ایسپریسو سمیت کافی کی دکانیں فوڈ کورٹ کے علاقے میں واقع ہیں","مشروبات کا سوال"
"14","کیا کرنسی ایکسچینج کی سروس ہے؟","ur","facilities","departure","{""service"":""currency exchange""}","کرنسی ایکسچینج کاؤنٹر مرکزی دروازے کے قریب اور روانگی لاؤنج میں واقع ہیں","مالیاتی خدمت"
"15","وہیل چیئر کی قابل رسائی سہولیات کہاں ہیں؟","ur","facilities","departure","{""service"":""wheelchair""}","وہیل چیئر کے قابل رسائی بیت الخلاء اور ریمپ پورے ٹرمینل میں دستیاب ہیں، اور وہیل چیئر انفارمیشن ڈیسک سے طلب کی جا سکتی ہیں","رسائی"
"16","کیا کوئی ڈیوٹی فری دکانیں ہیں؟","ur","facilities","departure","{""facility"":""duty-free""}","ڈیوٹی فری دکانیں سیکیورٹی کے بعد روانگی لاؤنج میں واقع ہیں جو کاسمیٹکس، عطر اور الیکٹرانکس پیش کرتی ہیں","ٹیکس سے پاک خریداری"
"17","فرسٹ ایڈ سینٹر کہاں ہے؟","ur","facilities","departure","{""facility"":""first aid""}","طبی اور فرسٹ ایڈ سینٹر گراؤنڈ فلور پر گیٹ 2 کے قریب واقع ہے","ہنگامی سروس"
"18","کیا بچوں کا کھیل کا علاقہ ہے؟","ur","facilities","departure","{""facility"":""play area""}","جی ہاں، بچوں کا کھیل کا زون روانگی لاؤنج میں گیٹ 5 کے قریب دستیاب ہے","بچوں کے لیے دوستانہ"
"19","میں اپنا سامان کہاں محفوظ کر سکتا ہوں؟","ur","facilities","departure","{""service"":""luggage storage""}","سامان محفوظ کرنے کی سہولت فیس کے عوض مرکزی دروازے کے قریب دستیاب ہے","ذخیرہ کی خدمت"
"20","کیا ہوائی اڈے میں کتب خانے ہیں؟","ur","facilities","departure","{""facility"":""bookstore""}","اخبارات، رسالے اور کتابوں کی پیشکش کرنے والی کتابوں کی دکان گیٹ 6 کے قریب واقع ہے","پڑھنے کا مواد"
"21","بزنس سینٹر کہاں ہے؟","ur","facilities","departure","{""facility"":""business center""}","انٹرنیٹ، پرنٹنگ اور میٹنگ رومز کے ساتھ بزنس سینٹر پریمیم لاؤنج میں دستیاب ہے","کارپوریٹ سہولت"
"22","کیا میں ہوائی اڈے پر سفری انشورنس حاصل کر سکتا ہوں؟","ur","facilities","departure","{""service"":""travel insurance""}","سفری انشورنس کاؤنٹر چیک ان کے علاقے کے قریب دستیاب ہیں","انشورنس کی خدمت"
"23","پانی کے فوارے کہاں ہیں؟","ur","facilities","departure","{""facility"":""water fountain""}","پانی کے فوارے اور دوبارہ بھرنے کے اسٹیشن تمام گیٹ علاقوں کے قریب پورے ٹرمینل میں واقع ہیں","ہائیڈریشن"
"24","کیا سامان لپیٹنے کی سروس ہے؟","ur","facilities","departure","{""service"":""baggage wrap""}","سامان لپیٹنے کی سروس چیک ان کاؤنٹر کے قریب تھوڑی فیس کے لیے دستیاب ہے","پیکیجنگ سروس"
"25","میں ٹیکسی سروس کاؤنٹر کہاں سے تلاش کر سکتا ہوں؟","ur","facilities","departure","{""service"":""taxi""}","ٹیکسی بکنگ کاؤنٹر آمد کے علاقے میں ہیں، لیکن آپ انفارمیشن ڈیسک سے پوچھ سکتے ہیں","ٹرانسپورٹ کی پیشگی بکنگ"
"26","کیا کوئی کپڑوں کی دکانیں ہیں؟","ur","facilities","departure","{""facility"":""clothing store""}","فیشن اور لوازمات کی دکانیں روانگی لاؤنج کی خریداری کے علاقے میں واقع ہیں","خوردہ سوال"
"27","گمشدہ اور ملی اشیاء کا دفتر کہاں ہے؟","ur","facilities","departure","{""facility"":""lost and found""}","گمشدہ اور ملی اشیاء کا دفتر روانگی ہال میں مرکزی انفارمیشن ڈیسک کے قریب ہے","گمشدہ اشیاء"
"28","کیا وی آئی پی ملاقات اور استقبال کی سروس ہے؟","ur","facilities","departure","{""service"":""VIP service""}","وی آئی پی ملاقات اور استقبال کی خدمات پی اے اے کے ساتھ پیشگی بکنگ کے ذریعے دستیاب ہیں","پریمیم سروس"
"29","میں سم کارڈ کہاں سے خرید سکتا ہوں؟","ur","facilities","departure","{""facility"":""SIM card shop""}","موبائل فون سم کارڈز داخلی دروازے کے قریب ٹیلی کام کی دکانوں پر دستیاب ہیں","رابطے"
"30","کیا ہوائی اڈے کے قریب کوئی ہوٹل ہیں؟","ur","facilities","departure","{""facility"":""hotel""}","ہوائی اڈے کے ہوٹل اور قریبی رہائش انفارمیشن ڈیسک یا بکنگ کاؤنٹر کے ذریعے مل سکتی ہے","رہائش کا سوال"
"31","جوتے صاف کرنے کی سروس کہاں ہے؟","ur","facilities","departure","{""service"":""shoeshine""}","جوتے صاف کرنے کے اسٹینڈ روانگی لاؤنج میں پریمیم دکانوں کے قریب دستیاب ہیں","ذاتی سروس"
"32","کیا میں مفت انٹرنیٹ استعمال کر سکتا ہوں؟","ur","facilities","departure","{""service"":""internet""}","جی ہاں، پورے میں مفت وائی فائی دستیاب ہے؛ انٹرنیٹ کیوسک بزنس سینٹر میں ہیں","ویب تک رسائی"
"33","عوامی ٹیلی فون کہاں ہیں؟","ur","facilities","departure","{""facility"":""telephone""}","عوامی ٹیلی فون بوتھ داخلی دروازے کے قریب اور روانگی لاؤنج میں واقع ہیں","مواصلات"
"34","کیا ہوائی اڈے پر پوسٹ آفس ہے؟","ur","facilities","departure","{""facility"":""post office""}","کاروباری اوقات کے دوران مرکزی دروازے کے قریب ایک چھوٹا پوسٹل سروس کاؤنٹر دستیاب ہے","ڈاک خانے کی خدمت"
"35","انتظار کے دوران میں ٹی وی کہاں دیکھ سکتا ہوں؟","ur","facilities","departure","{""facility"":""TV area""}","خبریں اور پرواز کی معلومات دکھانے والی ٹی وی اسکرین تمام گیٹ بیٹھنے کے علاقوں میں ہیں","تفریح"
"36","کیا کوئی مساج کی خدمات ہیں؟","ur","facilities","departure","{""service"":""massage""}","کرسی مساج کی خدمات پریمیم لاؤنج میں دستیاب ہیں","آرام کی خدمت"
"37","کسٹمر سروس سینٹر کہاں ہے؟","ur","facilities","departure","{""facility"":""customer service""}","کسٹمر سروس اور شکایت کا دفتر مرکزی روانگی ہال میں واقع ہے","معاونت کا ڈیسک"
"38","کیا میں اسنیکس اور مشروبات خرید سکتا ہوں؟","ur","facilities","departure","{""facility"":""convenience store""}","اسنیکس اور مشروبات فروخت کرنے والی سہولت کی دکانیں تمام گیٹ کلسٹروں کے قریب ہیں","فوری خریداری"
"39","لفٹ اور ایسکلیٹر کہاں ہیں؟","ur","facilities","departure","{""facility"":""elevator""}","لفٹ اور ایسکلیٹر ٹرمینل کے دونوں سروں پر واقع ہیں جو تمام منزلوں کو جوڑتے ہیں","عمودی نقل و حمل"
"40","کیا صحت کی جانچ کا علاقہ ہے؟","ur","facilities","departure","{""facility"":""health screening""}","صحت کی جانچ اور درجہ حرارت کی جانچ کے اسٹیشن داخلی دروازے اور سیکیورٹی کے بعد ہیں","کووڈ اقدامات"
"41","میں اپنا بورڈنگ پاس کہاں پرنٹ کر سکتا ہوں؟","ur","facilities","departure","{""service"":""printing""}","بورڈنگ پاس پرنٹ کرنے کے لیے سیلف سروس کیوسک چیک ان کاؤنٹر کے قریب ہیں","چیک ان سروس"
"42","کیا کوئی لگژری برانڈ کی دکانیں ہیں؟","ur","facilities","departure","{""facility"":""luxury shop""}","لگژری اور پریمیم برانڈ اسٹورز سیکیورٹی کے بعد ڈیوٹی فری علاقے میں ہیں","اعلیٰ درجے کی خریداری"
"43","ایئر لائن ٹکٹ آفس کہاں ہے؟","ur","facilities","departure","{""facility"":""ticket office""}","ایئر لائن ٹکٹ کاؤنٹر اور دفاتر چیک ان کے علاقے میں ہیں","ٹکٹنگ"
"44","کیا میں اپنے جوتے مرمت کروا سکتا ہوں؟","ur","facilities","departure","{""service"":""shoe repair""}","فوری جوتے کی مرمت کی خدمات کبھی کبھار جوتے صاف کرنے کے اسٹینڈ کے قریب دستیاب ہیں","مرمت کی خدمت"
"45","وینڈنگ مشینیں کہاں ہیں؟","ur","facilities","departure","{""facility"":""vending machine""}","اسنیکس اور مشروبات کے لیے وینڈنگ مشینیں پورے ٹرمینل میں واقع ہیں","خودکار خدمت"
"46","کیا ماؤں کے لیے نرسری روم ہے؟","ur","facilities","departure","{""facility"":""nursery""}","رازداری اور سہولیات کے ساتھ گیٹ 3 کے قریب ایک مخصوص ماں اور بچے کا کمرہ دستیاب ہے","زچگی کی دیکھ بھال"
"47","میں پرواز کی معلومات کے ڈسپلے کہاں سے تلاش کر سکتا ہوں؟","ur","facilities","departure","{""facility"":""display board""}","پرواز کی معلومات کی ڈسپلے اسکرین پورے ٹرمینل اور تمام گیٹس پر ہیں","پرواز کی معلومات"
"48","کیا کوئی زیورات کی دکانیں ہیں؟","ur","facilities","departure","{""facility"":""jewelry shop""}","زیورات اور لوازمات کی دکانیں روانگی کی خریداری کے علاقے میں ہیں","لگژری آئٹمز"
"49","شکایت اور رائے کا باکس کہاں ہے؟","ur","facilities","departure","{""facility"":""feedback""}","رائے کے فارم اور شکایت کے باکس کسٹمر سروس ڈیسک اور انفارمیشن کاؤنٹر پر ہیں","مسافر کی رائے"
"50","کیا میں اپنے کریڈٹ کارڈ سے وی آئی پی لاؤنج تک رسائی حاصل کر سکتا ہوں؟","ur","facilities","departure","{""facility"":""lounge"",""payment"":""credit card""}","کچھ پریمیم کریڈٹ کارڈز مفت لاؤنج تک رسائی فراہم کرتے ہیں؛ لاؤنج ریسیپشن سے چیک کریں","کارڈ کے فوائد"
"89","بین الاقوامی برقی آؤٹ لیٹ کے لیے اڈاپٹر کہاں مل سکتے ہیں؟","ur","facilities","departure","{""item"":""electrical adapter"",""service"":""power""}","بین الاقوامی برقی آؤٹ لیٹ اڈاپٹر اور سفری کنورٹر اسلام آباد انٹرنیشنل ایئرپورٹ میں کئی مقامات پر دستیاب ہیں۔ آپ یہ ضروری سفری لوازمات یہاں خرید سکتے ہیں: مرکزی دروازے کے قریب الیکٹرانکس اور فون لوازمات کی دکانیں، گیٹ کلسٹرز کے قریب سہولت اسٹورز جو بنیادی سفری اڈاپٹر رکھتی ہیں، روانگی لاؤنج میں ڈیوٹی فری دکانیں جو عام طور پر پریمیم یونیورسل اڈاپٹر رکھتی ہیں، اور یادگاری دکانیں جو کبھی کبھار سفری لوازمات کے حصوں میں اڈاپٹر شامل کرتی ہیں۔ پاکستان ٹائپ سی اور ٹائپ ڈی برقی آؤٹ لیٹ 230V وولٹیج اور 50Hz فریکوئنسی کے ساتھ استعمال کرتا ہے۔ اگر آپ مختلف برقی معیارات والے ممالک سے سفر کر رہے ہیں تو آپ کو ایک اڈاپٹر کی ضرورت ہوگی۔ یونیورسل سفری اڈاپٹر جو متعدد ممالک میں کام کرتے ہیں عام طور پر ایئرپورٹ پر 1,500-3,000 روپے میں دستیاب ہیں۔ اگر آپ اڈاپٹر لانا بھول گئے اور فوری طور پر آلات چارج کرنے کی ضرورت ہے، تو پریمیم لاؤنج اور کچھ بین الاقوامی ایئرلائنز کے گیٹس میں یونیورسل آؤٹ لیٹ یا قرضے کے اڈاپٹر دستیاب ہو سکتے ہیں۔","سفری اڈاپٹر"
"90","روایتی پاکستانی چائے خریدنے کی جگہ ہے؟","ur","facilities","departure","{""facility"":""food shop"",""item"":""tea""}","جی ہاں، روایتی پاکستانی چائے اور چائے کی مصنوعات اسلام آباد انٹرنیشنل ایئرپورٹ کے روانگی ٹرمینل میں متعدد مقامات پر دستیاب ہیں۔ آپ پیکیج شدہ پاکستانی چائے یہاں خرید سکتے ہیں: گیٹس 4 اور 7 کے قریب یادگاری دکانیں جو تحائف کے لیے بہترین گفٹ پیکیج شدہ روایتی چائے کی اقسام پیش کرتی ہیں، پورے ٹرمینل میں سہولت اسٹورز جو مقبول پاکستانی چائے کے برانڈز کو آسان سائز میں رکھتی ہیں، ڈیوٹی فری دکانیں جو کبھی کبھار پریمیم پاکستانی چائے کے تحفہ سیٹ رکھتی ہیں، اور فوڈ کورٹ کے علاقے کے قریب تحفہ کی دکانیں۔ دستیاب چائے کی اقسام عام طور پر شامل ہیں: روایتی سیاہ چائے، کشمیری کہوا، سبز چائے کی اقسام، الائچی کے ذائقے والی چائے، اور خصوصی جڑی بوٹیوں کی چائے۔ پیکیج شدہ چائے مختلف فارمیٹس میں دستیاب ہیں بشمول ڈھیلی پتی کی چائے، چائے کے بیگ، اور کبھی کبھار روایتی چائے مسالہ۔ قیمتیں معیاری پیکجز کے لیے 200-500 روپے سے لے کر پریمیم گفٹ سیٹس کے لیے 1,000-2,000 روپے تک ہیں۔","چائے کی مصنوعات"
"91","بصری طور پر معذور مسافروں کے لیے مدد مل سکتی ہے؟","ur","facilities","departure","{""service"":""accessibility"",""disability"":""visual""}","جی ہاں، اسلام آباد انٹرنیشنل ایئرپورٹ بصری طور پر معذور مسافروں کے لیے جامع مدد کی خدمات فراہم کرتا ہے۔ یہ خدمات یہاں درخواست کی جا سکتی ہیں: مرکزی دروازے پر مدد کا ڈیسک، جب آپ چیک ان کریں تو ایئرلائن چیک ان کاؤنٹرز پر، یا اپنی ایئرلائن سے کم از کم 48 گھنٹے پہلے رابطہ کرکے۔ ایئرپورٹ تربیت یافتہ اہلکار فراہم کرتا ہے جو داخلے سے چیک ان، سیکیورٹی اسکریننگ، بورڈنگ گیٹ تک اور ہوائی جہاز پر اسکارٹ فراہم کرتے ہیں۔ خدمات میں ماحول کی زبانی تفصیل، جسمانی رہنمائی، کاغذی کارروائی اور فارمز میں مدد، سیکیورٹی کے طریقہ کار میں مدد، اور محفوظ بورڈنگ کو یقینی بنانا شامل ہے۔ گائیڈ کتوں کو بین الاقوامی ہوا بازی رسائی کے معیارات کے مطابق پورے ایئرپورٹ اور ہوائی جہاز پر اجازت ہے۔ ایئرپورٹ کی ترتیب میں راستے تلاش کرنے میں مدد کے لیے اہم علاقوں میں ٹیکٹائل پیونگ شامل ہے۔","بصری معذوری کی معاونت"
"92","گھر لے جانے کے لیے پاکستانی مصالحے کہاں مل سکتے ہیں؟","ur","facilities","departure","{""facility"":""spice shop"",""item"":""food products""}","پاکستانی مصالحے اور کھانا پکانے کی مصنوعات بہترین تحائف بناتی ہیں اور روانگی ٹرمینل میں متعدد مقامات پر دستیاب ہیں۔ یادگاری دکانیں اور تحفہ کی اسٹورز گیٹس 4 اور 7 کے قریب پرکشش پیکیج شدہ مصالحوں کے مجموعے رکھتی ہیں بشمول: گرم مسالہ، پوری اور پسی ہوئی مرچیں جیسے زیرہ، دھنیا، ہلدی، لال مرچ پاؤڈر، بریانی مسالہ مکس، نہاری مسالے کا مکس، کڑاہی مسالہ، چاٹ مسالہ، اور خصوصی اشیاء جیسے خشک میتھی کے پتے۔ بہت سی خوبصورتی سے سجائی ہوئی پیکیجوں میں آتی ہیں جو تحائف یا ذاتی استعمال کے لیے موزوں ہیں۔ سہولت اسٹورز بھی چھوٹی مقدار میں بنیادی کھانا پکانے کے مصالحے رکھتی ہیں۔ قیمتیں انفرادی مصالحے کے پیکٹوں کے لیے 300-500 روپے سے لے کر متعدد مصالحوں پر مشتمل پریمیم گفٹ سیٹس کے لیے 1,500-3,000 روپے تک ہیں۔ کچھ دکانیں دیگر پاکستانی کھانے کی مصنوعات بھی فروخت کرتی ہیں جیسے باسمتی چاول، خشک میوہ جات، روایتی مٹھائیاں، اور خصوصی اجزاء۔","مصالحے کی خریداری"
"93","سماعت کی مدد یا اشاروں کی زبان کی معاونت ہے؟","ur","facilities","departure","{""service"":""accessibility"",""disability"":""hearing""}","اسلام آباد انٹرنیشنل ایئرپورٹ سماعت سے محروم مسافروں کے لیے خدمات بہتر بنانے کی کوشش کر رہا ہے، حالانکہ خصوصی معاونت کچھ بین الاقوامی ایئرپورٹس کے مقابلے میں زیادہ محدود ہو سکتی ہے۔ دستیاب مدد میں شامل ہے: انفارمیشن ڈیسک اور کسٹمر سروس کاؤنٹر جہاں عملہ تحریری نوٹوں کے ذریعے بات چیت کر سکتا ہے، پورے ٹرمینل میں بصری ڈسپلے بورڈ جو پرواز کی معلومات، گیٹ اسائنمنٹس، اور اہم اعلانات دکھاتے ہیں، ایئرپورٹ کی موبائل ایپ اور ویب سائٹ کے ذریعے متن پر مبنی معلومات، اور خصوصی مدد جو ایئرلائنز کے ذریعے پیشگی انتظام کی جا سکتی ہے۔ بہرے یا کم سنائی دینے والے مسافروں کے لیے، یہ انتہائی تجویز کیا جاتا ہے کہ: اپنی پرواز بک کرتے وقت خصوصی مدد کی درخواست کریں، اپنی ضروریات کے بارے میں ایئرلائن کو مطلع کریں تاکہ وہ مناسب معاونت کا انتظام کر سکیں۔","سماعت کی مدد"
