id,user_query,intent,airport,flight_number,origin_city,arrival_time,flight_status,response
1,What time does flight BA168 land at Islamabad Airport?,flight_information,ISB,BA168,Istanbul,18:12,On-Time,Flight BA168 from Istanbul is scheduled to arrive at 18:12 and is currently On-Time.
2,What is the current status of flight QR299?,flight_information,ISB,QR299,Riyadh,20:53,On-Time,Flight QR299 from Riyadh is scheduled to arrive at 20:53 and is currently On-Time.
3,Is flight BA460 from Lahore delayed?,flight_information,ISB,BA460,Lahore,23:51,Landed,Flight BA460 from Lahore is scheduled to arrive at 23:51 and is currently Landed.
4,What is the arrival schedule for flight EY695?,flight_information,ISB,EY695,Abu Dhabi,16:07,Landed,Flight EY695 from Abu Dhabi is scheduled to arrive at 16:07 and is currently Landed.
5,What is the arrival schedule for flight TK761?,flight_information,ISB,TK761,Riyadh,09:01,Delayed,Flight TK761 from Riyadh is scheduled to arrive at 09:01 and is currently Delayed.
6,What is the arrival schedule for flight QR645?,flight_information,ISB,QR645,London,04:01,Landed,Flight QR645 from London is scheduled to arrive at 04:01 and is currently Landed.
7,What is the current status of flight EY683?,flight_information,ISB,EY683,Riyadh,09:16,Delayed,Flight EY683 from Riyadh is scheduled to arrive at 09:16 and is currently Delayed.
8,What is the current status of flight SV356?,flight_information,ISB,SV356,Abu Dhabi,04:42,Delayed,Flight SV356 from Abu Dhabi is scheduled to arrive at 04:42 and is currently Delayed.
9,What is the current status of flight TK551?,flight_information,ISB,TK551,Karachi,15:52,Landed,Flight TK551 from Karachi is scheduled to arrive at 15:52 and is currently Landed.
10,What is the current status of flight TK787?,flight_information,ISB,TK787,Riyadh,08:01,Delayed,Flight TK787 from Riyadh is scheduled to arrive at 08:01 and is currently Delayed.
11,What is the current status of flight EY155?,flight_information,ISB,EY155,Sharjah,11:31,Delayed,Flight EY155 from Sharjah is scheduled to arrive at 11:31 and is currently Delayed.
12,Can you tell me the arrival time for flight EK373?,flight_information,ISB,EK373,Karachi,11:47,Landed,Flight EK373 from Karachi is scheduled to arrive at 11:47 and is currently Landed.
13,What is the current status of flight EK476?,flight_information,ISB,EK476,Sharjah,04:35,On-Time,Flight EK476 from Sharjah is scheduled to arrive at 04:35 and is currently On-Time.
