id,user_query,intent,airport,flight_number,origin_city,arrival_time,flight_status,response,language
1,When will flight EY380 from Sharjah arrive?,flight_information,ISB,EY380,Sharjah,02:01,Delayed,Flight EY380 from Sharjah will arrive at 02:01. Status: Delayed.,English
2,What time will flight EY713 land in Islamabad?,flight_information,ISB,EY713,Jeddah,13:59,On-Time,Flight EY713 from Jeddah will arrive at 13:59. Status: On-Time.,English
3,What time will flight BA782 land in Islamabad?,flight_information,ISB,BA782,Lahore,04:38,Delayed,Flight BA782 from Lahore will arrive at 04:38. Status: Delayed.,English
4,When will flight BA758 from Doha arrive?,flight_information,ISB,BA758,Doha,08:16,Landed,Flight BA758 from Doha will arrive at 08:16. Status: Landed.,English
5,What time will flight SV628 land in Islamabad?,flight_information,ISB,SV628,Doha,06:23,Landed,Flight SV628 from Doha will arrive at 06:23. Status: Landed.,English
6,When will flight BA456 from Dubai arrive?,flight_information,ISB,BA456,Dubai,06:36,Landed,Flight BA456 from Dubai will arrive at 06:36. Status: Landed.,English
7,When will flight EK593 from Sharjah arrive?,flight_information,ISB,EK593,Sharjah,19:58,Delayed,Flight EK593 from Sharjah will arrive at 19:58. Status: Delayed.,English
8,When will flight EY718 from Doha arrive?,flight_information,ISB,EY718,Doha,20:32,Delayed,Flight EY718 from Doha will arrive at 20:32. Status: Delayed.,English
9,Is flight EK940 from Dubai delayed?,flight_information,ISB,EK940,Dubai,03:51,Delayed,Flight EK940 from Dubai will arrive at 03:51. Status: Delayed.,English
10,When will flight EK729 from Riyadh arrive?,flight_information,ISB,EK729,Riyadh,00:05,Landed,Flight EK729 from Riyadh will arrive at 00:05. Status: Landed.,English
11,Is flight PK747 from Riyadh delayed?,flight_information,ISB,PK747,Riyadh,00:58,Landed,Flight PK747 from Riyadh will arrive at 00:58. Status: Landed.,English
12,When will flight QR703 from Karachi arrive?,flight_information,ISB,QR703,Karachi,23:27,Landed,Flight QR703 from Karachi will arrive at 23:27. Status: Landed.,English
13,When will flight TK439 from London arrive?,flight_information,ISB,TK439,London,08:40,Delayed,Flight TK439 from London will arrive at 08:40. Status: Delayed.,English
14,What time will flight EK948 land in Islamabad?,flight_information,ISB,EK948,Sharjah,13:55,On-Time,Flight EK948 from Sharjah will arrive at 13:55. Status: On-Time.,English
