id,category,user_query,intent,airport,response,language
1,immigration,What documents do I need to present at immigration on arrival?,arrival_guidance,Islamabad International Airport (ISB),"Upon arrival, please follow the clearly marked signs to the immigration counters for passport and visa checks. Have your passport, completed arrival card, and any supporting documents ready for inspection by immigration officers. Processing time may vary; allow extra time during peak hours and refer to digital queue displays for your counter number.",English
2,immigration,How long does immigration usually take for international flights?,arrival_guidance,Islamabad International Airport (ISB),"Upon arrival, please follow the clearly marked signs to the immigration counters for passport and visa checks. Have your passport, completed arrival card, and any supporting documents ready for inspection by immigration officers. Processing time may vary; allow extra time during peak hours and refer to digital queue displays for your counter number.",English
3,immigration,Where do I go for immigration after landing at ISB?,arrival_guidance,Islamabad International Airport (ISB),"Upon arrival, please follow the clearly marked signs to the immigration counters for passport and visa checks. Have your passport, completed arrival card, and any supporting documents ready for inspection by immigration officers. Processing time may vary; allow extra time during peak hours and refer to digital queue displays for your counter number.",English
4,immigration,What documents do I need to present at immigration on arrival?,arrival_guidance,Islamabad International Airport (ISB),"Upon arrival, please follow the clearly marked signs to the immigration counters for passport and visa checks. Have your passport, completed arrival card, and any supporting documents ready for inspection by immigration officers. Processing time may vary; allow extra time during peak hours and refer to digital queue displays for your counter number.",English
5,immigration,What documents do I need to present at immigration on arrival?,arrival_guidance,Islamabad International Airport (ISB),"Upon arrival, please follow the clearly marked signs to the immigration counters for passport and visa checks. Have your passport, completed arrival card, and any supporting documents ready for inspection by immigration officers. Processing time may vary; allow extra time during peak hours and refer to digital queue displays for your counter number.",English
6,immigration,Where do I go for immigration after landing at ISB?,arrival_guidance,Islamabad International Airport (ISB),"Upon arrival, please follow the clearly marked signs to the immigration counters for passport and visa checks. Have your passport, completed arrival card, and any supporting documents ready for inspection by immigration officers. Processing time may vary; allow extra time during peak hours and refer to digital queue displays for your counter number.",English
7,immigration,What documents do I need to present at immigration on arrival?,arrival_guidance,Islamabad International Airport (ISB),"Upon arrival, please follow the clearly marked signs to the immigration counters for passport and visa checks. Have your passport, completed arrival card, and any supporting documents ready for inspection by immigration officers. Processing time may vary; allow extra time during peak hours and refer to digital queue displays for your counter number.",English
8,immigration,How long does immigration usually take for international flights?,arrival_guidance,Islamabad International Airport (ISB),"Upon arrival, please follow the clearly marked signs to the immigration counters for passport and visa checks. Have your passport, completed arrival card, and any supporting documents ready for inspection by immigration officers. Processing time may vary; allow extra time during peak hours and refer to digital queue displays for your counter number.",English
9,immigration,What documents do I need to present at immigration on arrival?,arrival_guidance,Islamabad International Airport (ISB),"Upon arrival, please follow the clearly marked signs to the immigration counters for passport and visa checks. Have your passport, completed arrival card, and any supporting documents ready for inspection by immigration officers. Processing time may vary; allow extra time during peak hours and refer to digital queue displays for your counter number.",English
10,immigration,Where do I go for immigration after landing at ISB?,arrival_guidance,Islamabad International Airport (ISB),"Upon arrival, please follow the clearly marked signs to the immigration counters for passport and visa checks. Have your passport, completed arrival card, and any supporting documents ready for inspection by immigration officers. Processing time may vary; allow extra time during peak hours and refer to digital queue displays for your counter number.",English
11,immigration,What documents do I need to present at immigration on arrival?,arrival_guidance,Islamabad International Airport (ISB),"Upon arrival, please follow the clearly marked signs to the immigration counters for passport and visa checks. Have your passport, completed arrival card, and any supporting documents ready for inspection by immigration officers. Processing time may vary; allow extra time during peak hours and refer to digital queue displays for your counter number.",English
12,immigration,Where do I go for immigration after landing at ISB?,arrival_guidance,Islamabad International Airport (ISB),"Upon arrival, please follow the clearly marked signs to the immigration counters for passport and visa checks. Have your passport, completed arrival card, and any supporting documents ready for inspection by immigration officers. Processing time may vary; allow extra time during peak hours and refer to digital queue displays for your counter number.",English
13,immigration,What documents do I need to present at immigration on arrival?,arrival_guidance,Islamabad International Airport (ISB),"Upon arrival, please follow the clearly marked signs to the immigration counters for passport and visa checks. Have your passport, completed arrival card, and any supporting documents ready for inspection by immigration officers. Processing time may vary; allow extra time during peak hours and refer to digital queue displays for your counter number.",English
14,immigration,What documents do I need to present at immigration on arrival?,arrival_guidance,Islamabad International Airport (ISB),"Upon arrival, please follow the clearly marked signs to the immigration counters for passport and visa checks. Have your passport, completed arrival card, and any supporting documents ready for inspection by immigration officers. Processing time may vary; allow extra time during peak hours and refer to digital queue displays for your counter number.",English
