Query,Language,Intent,Terminal,Response
بیگیج بیلٹ کہاں ہے؟,Urdu,Baggage,Arrival,بیگیج بیلٹ آمد کے بیگیج ایریا میں بیلٹ 1 کے قریب ہے۔
گم شدہ سامان کہاں ہے؟,Urdu,Baggage,Arrival,گم شدہ سامان آمد کے بیگیج ایریا میں بیلٹ 2 کے قریب ہے۔
زیادہ سائز کا بیگ کہاں ہے؟,Urdu,Baggage,Arrival,زیادہ سائز کا بیگ آمد کے بیگیج ایریا میں بیلٹ 3 کے قریب ہے۔
بیگیج کلیم کہاں ہے؟,Urdu,Baggage,Arrival,بیگیج کلیم آمد کے بیگیج ایریا میں بیلٹ 4 کے قریب ہے۔
ٹرالی کہاں ہے؟,Urdu,Baggage,Arrival,ٹرالی آمد کے بیگیج ایریا میں بیلٹ 5 کے قریب ہے۔
بیگیج ریپنگ کہاں ہے؟,Urdu,Baggage,Arrival,بیگیج ریپنگ آمد کے بیگیج ایریا میں بیلٹ 6 کے قریب ہے۔
خراب بیگ کہاں ہے؟,Urdu,Baggage,Arrival,خراب بیگ آمد کے بیگیج ایریا میں بیلٹ 7 کے قریب ہے۔
گم بیگ کہاں ہے؟,Urdu,Baggage,Arrival,گم بیگ آمد کے بیگیج ایریا میں بیلٹ 8 کے قریب ہے۔
بیگیج انکوائری ڈیسک کہاں ہے؟,Urdu,Baggage,Arrival,بیگیج انکوائری ڈیسک آمد کے بیگیج ایریا میں بیلٹ 1 کے قریب ہے۔
بیگ رکھنے کی جگہ کہاں ہے؟,Urdu,Baggage,Arrival,بیگ رکھنے کی جگہ آمد کے بیگیج ایریا میں بیلٹ 2 کے قریب ہے۔
ترجیحی بیگیج کہاں ہے؟,Urdu,Baggage,Arrival,ترجیحی بیگیج آمد کے بیگیج ایریا میں بیلٹ 3 کے قریب ہے۔
بیگیج وزن کی حد کہاں ہے؟,Urdu,Baggage,Arrival,بیگیج وزن کی حد آمد کے بیگیج ایریا میں بیلٹ 4 کے قریب ہے۔
بیگیج میں تاخیر کہاں ہے؟,Urdu,Baggage,Arrival,بیگیج میں تاخیر آمد کے بیگیج ایریا میں بیلٹ 5 کے قریب ہے۔
کسٹمز ایریا کہاں ہے؟,Urdu,Baggage,Arrival,کسٹمز ایریا آمد کے بیگیج ایریا میں بیلٹ 6 کے قریب ہے۔
