Query,Language,Intent,Terminal,Response
Mein apna saman kahan se collect karun?,ro,Find_Baggage_Belt,Arrival,Meherbani karke apne baggage belt number ke liye flight information screens check karein. Woh arrival hall mein lagi hui hain.
Kya aap flight QR604 ke liye belt bata sakte hain?,ro,Find_Baggage_Belt,Arrival,Meherbani karke apne baggage belt number ke liye flight information screens check karein. Woh arrival hall mein lagi hui hain.
Saman wasool karne ki jagah?,ro,Find_Baggage_Belt,Arrival,Baggage claim area immigration se guzarnay ke foran baad hai. Meherbani karke nishaniyon ko dekhein.
London ki flight ka saman kis belt par ayega?,ro,Find_Baggage_Belt,Arrival,Flight ke liye makhsoos belt ki maloomat carousel ke upar lagi screens par dikhai jati hain. Meherbani karke apna flight number talash karein.
Hamare suitcase kahan se niklenge?,ro,Find_Baggage_Belt,Arrival,Aap ke suitcase aap ki flight ke liye makhsoos belt par ayenge. Sahi number ke liye information screens check karein.
Mujhe apne saman ka belt number janna hai.,ro,Find_Baggage_Belt,Arrival,Meherbani karke apne baggage belt number ke liye flight information screens check karein. Woh arrival hall mein lagi hui hain.
Kya saman ke belt dikhane wali koi screen hai?,ro,Find_Baggage_Belt,Arrival,"Jee haan, flight information display screens poore arrival hall mein maujood hain jo saman ke belt ki tafseelat dikhati hain."
"Meri flight land kar gayi hai, bags kahan hain?",ro,Find_Baggage_Belt,Arrival,Aap ka saman jald hi makhsoos belt par aa jayega. Sahi belt number ke liye screens check karein.
Mera suitcase nahi aya.,ro,Report_Lost_Baggage,Arrival,"Mujhe yeh sun kar afsos hua. Fori madad ke liye, please Baggage Services counter par jayen. Woh aapki report darj karne mein madad karenge."
Mujhe apna bag nahi mil raha.,ro,Report_Lost_Baggage,Arrival,"Agar aapka bag belt par nahi hai, to please iski gumshudgi ki itla dene ke liye Baggage Services office jayen."
Agar mera saman gum ho jaye to main kya karun?,ro,Report_Lost_Baggage,Arrival,"Kisi bhi gumshuda saman ke liye, foran Baggage Services counter par staff se rabta karein."
Conveyor belt khali hai lekin mera bag yahan nahi hai.,ro,Report_Lost_Baggage,Arrival,"Mujhe yeh sun kar afsos hua. Fori madad ke liye, please Baggage Services counter par jayen. Woh aapki report darj karne mein madad karenge."
Gumshuda suitcase ke baray mein kis se baat karun?,ro,Report_Lost_Baggage,Arrival,Baggage Services desk gumshuda suitcase ki itla dene ke liye sahi jagah hai. Meherbani karke apni luggage tag ki raseed tayyar rakhein.
Flight EK201 se mera bag gum ho gaya hai.,ro,Report_Lost_Baggage,Arrival,Meherbani karke flight EK201 se apne gumshuda bag ki report darj karwane ke liye Baggage Services counter par jayen.
Main gumshuda bag ki report kaise darj karwaun?,ro,Report_Lost_Baggage,Arrival,Baggage Services counter par staff aap ko gumshuda saman ki report darj karne ke liye ek form dega.
Mera suitcase kharab ho gaya hai.,ro,Report_Damaged_Baggage,Arrival,Meherbani karke kisi bhi kharab saman ki itla airport se nikalne se pehle Baggage Services counter par dein. Woh daway ke amal mein aapki madad karenge.
Mere bag ka wheel toot gaya hai.,ro,Report_Damaged_Baggage,Arrival,Mujhe is par afsos hai. Meherbani karke nuqsan ki report darj karwane ke liye Baggage Services counter par jayen.
Main toote hue suitcase ka claim kaise kar sakta hoon?,ro,Report_Damaged_Baggage,Arrival,"Dawa karne ke liye, meherbani karke Baggage Services desk par nuqsan ki itla dein. Yaqeen banayein ke yeh aap airport se bahar nikalne se pehle karein."
"Mera bag crack ho gaya hai, iska kya procedure hai?",ro,Report_Damaged_Baggage,Arrival,Meherbani karke daway ka procedure shuru karne ke liye Baggage Services counter par staff ko kharab bag dikhayein.
Kharab saman ki itla kahan deni hai?,ro,Report_Damaged_Baggage,Arrival,Baggage Services counter aap ke saman ko pohanchne wale kisi bhi nuqsan ki itla dene ke liye makhsoos area hai.
Mujhe luggage trolley kahan se mil sakti hai?,ro,Find_Trolley,Arrival,Saman ki trolleys sabhi baggage claim belts ke paas aur arrival hall mein mukhtalif jaghon par muft dastyab hain.
Kya yahan koi baggage carts hain?,ro,Find_Trolley,Arrival,"Jee haan, aap baggage carts baggage carousels ke paas aasani se dhoond sakte hain."
Mujhe apne bags ke liye ek trolley chahiye.,ro,Find_Trolley,Arrival,Saman ki trolleys aap ke istemal ke liye dastyab hain. Aap unhein baggage claim hall ke dakhli raaste ke paas dhoond sakte hain.
Kya mujhe luggage cart ke liye pay karna hoga?,ro,Find_Trolley,Arrival,"Nahi, arrival hall mein luggage carts sabhi musafiron ke liye muft hain."
Trolleys kahan hain?,ro,Find_Trolley,Arrival,Aap trolleys baggage claim area ke aas paas har jagah dhoond sakte hain.
Bags anay mein kitna waqt lagega?,ro,Query_Wait_Time,Arrival,Saman aam tor par flight land karne ke 20-30 minute baad ana shuru ho jata hai. Meherbani karke information screens par nazar rakhein.
