Query,Language,Intent,Terminal,Response
Where can I find the baggage belt?,English,Baggage,Arrival,"Sure, the baggage belt is at Belt 2 in the arrival baggage area. Walk straight from the arrival hall and follow the signs to Belt 2. If you need help, staff at the belt can assist you."
Where can I find the lost luggage?,English,Baggage,Arrival,"I'm sorry to hear that. For lost luggage, please visit the Lost & Found counter near the arrival hall. Bring your boarding pass and baggage tag — they will help trace your luggage."
Where can I find the damaged luggage?,English,Baggage,Arrival,"Sorry about that. For damaged luggage, go to the airline's baggage counter or the damaged luggage desk. Keep photos and your baggage tag handy, the staff will start a damage report."
Where can I find the oversized baggage?,English,Baggage,Arrival,Oversized items are usually handled at a special collection point. Head to the oversized baggage zone near the far end of the arrival hall; staff there will tell you how to collect it.
Where can I find the baggage wrapping?,English,Baggage,Arrival,"You can get baggage wrapping at the service desk near arrivals. They offer wrapping and protective covers, ask them for rates and assistance."
Where can I find the missing bag?,English,Baggage,Arrival,"I'm sorry to hear that. For missing bag, please visit the Lost & Found counter near the arrival hall. Bring your boarding pass and baggage tag, they will help trace your luggage."
Where can I find the luggage storage?,English,Baggage,Arrival,"If you want to store luggage temporarily, use the left-luggage storage office near the arrivals exit. They provide short-term storage and secure lockers."
Where can I find the priority baggage?,English,Baggage,Arrival,Priority baggage is delivered to a special pick-up counter. Check with your airline's priority desk inside the arrival hall for the exact location and assistance.
Where can I find the baggage delay?,English,Baggage,Arrival,"If your baggage delay is delayed, report it at the airline's baggage service office or the delayed luggage desk, they will register your case and offer tracking options."
Where can I find the baggage inquiry desk?,English,Baggage,Arrival,The baggage inquiry desk is located near the central arrivals information area. Approach the desk and provide your flight details — the staff will check the system and advise you.
Where can I find the baggage scanner?,English,Baggage,Arrival,"The baggage scanner is in the security/inspection zone near arrivals. If a bag requires secondary screening, staff will direct you to that area."
Where can I find the customs area?,English,Baggage,Arrival,"For customs-related issues, head to the customs area beside the arrival hall. If your baggage is held, customs officers will tell you the procedure."
Where can I find the bag recheck?,English,Baggage,Arrival,"For bag recheck, proceed to the recheck counter where staff will re-check and tag your bag again before handover."
Where can I find the left luggage?,English,Baggage,Arrival,"If you want to store luggage temporarily, use the left-luggage storage office near the arrivals exit. They provide short-term storage and secure lockers."
Where can I find the baggage claim desk?,English,Baggage,Arrival,The baggage claim desk is at the baggage claim hall; follow signs for 'Baggage Claim' and proceed to the designated belt. Staff at the claim area can assist with immediate queries.
Where can I find the trolley point?,English,Baggage,Arrival,Trolleys are available near the arrivals doors and at the trolley return point by the parking area. You can collect and return them there.
Where can I find the baggage delivery service?,English,Baggage,Arrival,The baggage delivery service desk is near the arrivals exit; they can arrange delivery to your address if needed. Expect to provide ID and baggage tags.
Where can I find the tracking counter?,English,Baggage,Arrival,There is a tracking counter where you can check your luggage status using your tag number. Visit the tracking office in the arrivals corridor for an update.
Where can I find the baggage complaint desk?,English,Baggage,Arrival,"For complaints, visit the baggage complaint desk; they will register your complaint and provide a reference number for follow-up."
Where can I find the fragile baggage desk?,English,Baggage,Arrival,"Fragile items are handled at a dedicated desk, explain the issue at the fragile baggage desk and show your baggage tag for quicker processing."
Where can I find the arrival inspection desk?,English,Baggage,Arrival,"Inspection takes place at the arrival inspection desk near customs. If required, staff will guide you through the inspection process."
Where can I find the arrival luggage pickup?,English,Baggage,Arrival,Pickup points vary; your airline will usually specify the pickup zone. Check with your airline counter or the arrival information screens for exact pickup details.
Where can I find the baggage monitoring?,English,Baggage,Arrival,The baggage monitoring desk monitors belt operations and lost items. They can check cameras and records to help locate missing items.
Where can I find the arrival bag pickup zone?,English,Baggage,Arrival,Pickup points vary; your airline will usually specify the pickup zone. Check with your airline counter or the arrival information screens for exact pickup details.
Where can I find the duty free luggage check?,English,Baggage,Arrival,The duty free luggage check is located in the arrivals area; please follow signage or ask staff for exact location.
Where can I find the bag report counter?,English,Baggage,Arrival,"To report issues, visit the bag report center; they will log the incident and advise next steps including tracking and compensation options."
Where can I find the arrival luggage service?,English,Baggage,Arrival,You can get arrival luggage service at the service desk near arrivals. They offer wrapping and protective covers — ask them for rates and assistance.
Where can I find the airline baggage counter?,English,Baggage,Arrival,The airline baggage counter is located in the arrivals area; please follow signage or ask staff for exact location.
Where can I find the baggage office?,English,Baggage,Arrival,The baggage office is located inside the arrival hall and handles official baggage procedures. Stop by with your documents for assistance.
Where can I find the luggage cart return?,English,Baggage,Arrival,Trolleys are available near the arrivals doors and at the trolley return point by the parking area. You can collect and return them there.
Where can I find the baggage help point?,English,Baggage,Arrival,The baggage help point is located in the arrivals area; please follow signage or ask staff for exact location.
Where can I find the arrival belt 1?,English,Baggage,Arrival,"Sure, the arrival belt 1 is at Belt 1 in the arrival baggage area. Walk straight from the arrival hall and follow the signs to Belt 1. If you need help, staff at the belt can assist you."
Where can I find the arrival belt 2?,English,Baggage,Arrival,"Sure, the arrival belt 2 is at Belt 8 in the arrival baggage area. Walk straight from the arrival hall and follow the signs to Belt 8. If you need help, staff at the belt can assist you."
Where can I find the arrival belt 3?,English,Baggage,Arrival,"Sure, the arrival belt 3 is at Belt 6 in the arrival baggage area. Walk straight from the arrival hall and follow the signs to Belt 6. If you need help, staff at the belt can assist you."
Where can I find the arrival belt 4?,English,Baggage,Arrival,"Sure, the arrival belt 4 is at Belt 5 in the arrival baggage area. Walk straight from the arrival hall and follow the signs to Belt 5. If you need help, staff at the belt can assist you."
Where can I find the arrival belt 5?,English,Baggage,Arrival,"Sure, the arrival belt 5 is at Belt 9 in the arrival baggage area. Walk straight from the arrival hall and follow the signs to Belt 9. If you need help, staff at the belt can assist you."
Where can I find the arrival belt 6?,English,Baggage,Arrival,"Sure, the arrival belt 6 is at Belt 8 in the arrival baggage area. Walk straight from the arrival hall and follow the signs to Belt 8. If you need help, staff at the belt can assist you."
Where can I find the arrival belt 7?,English,Baggage,Arrival,"Sure, the arrival belt 7 is at Belt 4 in the arrival baggage area. Walk straight from the arrival hall and follow the signs to Belt 4. If you need help, staff at the belt can assist you."
Where can I find the arrival belt 8?,English,Baggage,Arrival,"Sure, the arrival belt 8 is at Belt 5 in the arrival baggage area. Walk straight from the arrival hall and follow the signs to Belt 5. If you need help, staff at the belt can assist you."
Where can I find the arrival belt 9?,English,Baggage,Arrival,"Sure, the arrival belt 9 is at Belt 8 in the arrival baggage area. Walk straight from the arrival hall and follow the signs to Belt 8. If you need help, staff at the belt can assist you."
Where can I find the arrival belt 10?,English,Baggage,Arrival,"Sure, the arrival belt 10 is at Belt 1 in the arrival baggage area. Walk straight from the arrival hall and follow the signs to Belt 1. If you need help, staff at the belt can assist you."
Where can I find the lost and found baggage?,English,Baggage,Arrival,The lost and found baggage is located in the arrivals area; please follow signage or ask staff for exact location.
Where can I find the baggage reissue counter?,English,Baggage,Arrival,The baggage reissue counter is located in the arrivals area; please follow signage or ask staff for exact location.
Where can I find the baggage weight limit?,English,Baggage,Arrival,The baggage weight limit is located in the arrivals area; please follow signage or ask staff for exact location.
Where can I find the baggage scanning area?,English,Baggage,Arrival,"The baggage scanning area is in the security/inspection zone near arrivals. If a bag requires secondary screening, staff will direct you to that area."
Where can I find the arrival customs?,English,Baggage,Arrival,"For customs-related issues, head to the customs area beside the arrival hall. If your baggage is held, customs officers will tell you the procedure."
Where can I find the bag collection point?,English,Baggage,Arrival,The bag collection point is located in the arrivals area; please follow signage or ask staff for exact location.
Where can I find the left luggage room?,English,Baggage,Arrival,"If you want to store luggage temporarily, use the left-luggage storage office near the arrivals exit. They provide short-term storage and secure lockers."
Where can I find the baggage pickup assistance?,English,Baggage,Arrival,The baggage pickup assistance is located in the arrivals area; please follow signage or ask staff for exact location.
Where can I find the baggage tracking office?,English,Baggage,Arrival,There is a tracking counter where you can check your luggage status using your tag number. Visit the tracking office in the arrivals corridor for an update.
Where can I find the baggage reconciliation desk?,English,Baggage,Arrival,"Reconciliation is done at a specialist desk, they match records and assist when tags are mismatched or bags are unclaimed."
Where can I find the arrival baggage hall?,English,Baggage,Arrival,The baggage hall houses multiple belts and service desks. Follow the signs to the baggage hall and look for your belt number on the display screens.
Where can I find the arrival baggage counter?,English,Baggage,Arrival,The arrival baggage counter is located in the arrivals area; please follow signage or ask staff for exact location.
Where can I find the baggage recheck area?,English,Baggage,Arrival,"For baggage recheck area, proceed to the recheck counter where staff will re-check and tag your bag again before handover."
Where can I find the baggage transfer desk?,English,Baggage,Arrival,The baggage transfer desk is located in the arrivals area; please follow signage or ask staff for exact location.
Where can I find the baggage reconciliation office?,English,Baggage,Arrival,"Reconciliation is done at a specialist desk, they match records and assist when tags are mismatched or bags are unclaimed."
Where can I find the arrival fragile items?,English,Baggage,Arrival,"Fragile items are handled at a dedicated desk, explain the issue at the fragile baggage desk and show your baggage tag for quicker processing."
Where can I find the arrival baggage complaint point?,English,Baggage,Arrival,"For complaints, visit the baggage complaint desk; they will register your complaint and provide a reference number for follow-up."
Where can I find the baggage customer service?,English,Baggage,Arrival,"You can get baggage customer service at the service desk near arrivals. They offer wrapping and protective covers, ask them for rates and assistance."
Where can I find the arrival baggage pickup counter?,English,Baggage,Arrival,Pickup points vary; your airline will usually specify the pickup zone. Check with your airline counter or the arrival information screens for exact pickup details.
Where can I find the baggage coordination office?,English,Baggage,Arrival,The baggage coordination office liaises between airlines and handling agents. They can escalate tracking or delivery issues if needed.
Where can I find the arrival baggage tracking center?,English,Baggage,Arrival,There is a tracking counter where you can check your luggage status using your tag number. Visit the tracking office in the arrivals corridor for an update.
Where can I find the baggage delivery office?,English,Baggage,Arrival,The baggage delivery service desk is near the arrivals exit; they can arrange delivery to your address if needed. Expect to provide ID and baggage tags.
Where can I find the arrival lost item desk?,English,Baggage,Arrival,"I'm sorry to hear that. For arrival lost item desk, please visit the Lost & Found counter near the arrival hall. Bring your boarding pass and baggage tag, they will help trace your luggage."
Where can I find the baggage claim area entrance?,English,Baggage,Arrival,The baggage claim area entrance is at the baggage claim hall; follow signs for 'Baggage Claim' and proceed to the designated belt. Staff at the claim area can assist with immediate queries.
Where can I find the arrival bag verification?,English,Baggage,Arrival,"For verification, go to the bag verification point where staff will check tags and IDs before releasing the baggage."
Where can I find the arrival bag report center?,English,Baggage,Arrival,"To report issues, visit the bag report center; they will log the incident and advise next steps including tracking and compensation options."
