Query,Language,Intent,Terminal,Response
restroom کہاں ہے؟,Urdu,Facilities,Arrival,restroom آمد کے ٹرمینل میں گیٹ 1 کے قریب واقع ہے۔ آپ 'Arrival Facilities' کے سائنز کو فالو کر کے وہاں پہنچ سکتے ہیں۔ اگر تلاش میں دشواری ہو تو کسی ایئرپورٹ اسٹاف سے مدد لیں۔
lounge کہاں ہے؟,Urdu,Facilities,Arrival,lounge آمد کے ٹرمینل میں گیٹ 2 کے قریب واقع ہے۔ آپ 'Arrival Facilities' کے سائنز کو فالو کر کے وہاں پہنچ سکتے ہیں۔ اگر تلاش میں دشواری ہو تو کسی ایئرپورٹ اسٹاف سے مدد لیں۔
wifi کہاں ہے؟,Urdu,Facilities,Arrival,wifi آمد کے ٹرمینل میں گیٹ 3 کے قریب واقع ہے۔ آپ 'Arrival Facilities' کے سائنز کو فالو کر کے وہاں پہنچ سکتے ہیں۔ اگر تلاش میں دشواری ہو تو کسی ایئرپورٹ اسٹاف سے مدد لیں۔
prayer room کہاں ہے؟,Urdu,Facilities,Arrival,prayer room آمد کے ٹرمینل میں گیٹ 4 کے قریب واقع ہے۔ آپ 'Arrival Facilities' کے سائنز کو فالو کر کے وہاں پہنچ سکتے ہیں۔ اگر تلاش میں دشواری ہو تو کسی ایئرپورٹ اسٹاف سے مدد لیں۔
charging station کہاں ہے؟,Urdu,Facilities,Arrival,charging station آمد کے ٹرمینل میں گیٹ 5 کے قریب واقع ہے۔ آپ 'Arrival Facilities' کے سائنز کو فالو کر کے وہاں پہنچ سکتے ہیں۔ اگر تلاش میں دشواری ہو تو کسی ایئرپورٹ اسٹاف سے مدد لیں۔
information desk کہاں ہے؟,Urdu,Facilities,Arrival,information desk آمد کے ٹرمینل میں گیٹ 6 کے قریب واقع ہے۔ آپ 'Arrival Facilities' کے سائنز کو فالو کر کے وہاں پہنچ سکتے ہیں۔ اگر تلاش میں دشواری ہو تو کسی ایئرپورٹ اسٹاف سے مدد لیں۔
medical help کہاں ہے؟,Urdu,Facilities,Arrival,medical help آمد کے ٹرمینل میں گیٹ 7 کے قریب واقع ہے۔ آپ 'Arrival Facilities' کے سائنز کو فالو کر کے وہاں پہنچ سکتے ہیں۔ اگر تلاش میں دشواری ہو تو کسی ایئرپورٹ اسٹاف سے مدد لیں۔
baby care room کہاں ہے؟,Urdu,Facilities,Arrival,baby care room آمد کے ٹرمینل میں گیٹ 8 کے قریب واقع ہے۔ آپ 'Arrival Facilities' کے سائنز کو فالو کر کے وہاں پہنچ سکتے ہیں۔ اگر تلاش میں دشواری ہو تو کسی ایئرپورٹ اسٹاف سے مدد لیں۔
smoking area کہاں ہے؟,Urdu,Facilities,Arrival,smoking area آمد کے ٹرمینل میں گیٹ 9 کے قریب واقع ہے۔ آپ 'Arrival Facilities' کے سائنز کو فالو کر کے وہاں پہنچ سکتے ہیں۔ اگر تلاش میں دشواری ہو تو کسی ایئرپورٹ اسٹاف سے مدد لیں۔
food court کہاں ہے؟,Urdu,Facilities,Arrival,food court آمد کے ٹرمینل میں گیٹ 10 کے قریب واقع ہے۔ آپ 'Arrival Facilities' کے سائنز کو فالو کر کے وہاں پہنچ سکتے ہیں۔ اگر تلاش میں دشواری ہو تو کسی ایئرپورٹ اسٹاف سے مدد لیں۔
