Query,Language,Intent,Terminal,Response
بیگیج بیلٹ کہاں ہے؟,Urdu,Baggage,Arrival,بالکل! بیگیج بیلٹ بیلٹ 6 پر بیگیج کلیم علاقے میں ہے۔ امد ہال سے سیدھا آئیں اور بیلٹ 6 کے نشانات دیکھیں۔
گم شدہ سامان کہاں ہے؟,Urdu,Baggage,Arrival,معذرت! گم شدہ سامان کے لیے لاپتہ اشیاء کا کاؤنٹر آمد ہال کے قریب ہے۔ اپنے بورڈنگ پاس اور بیگیج ٹیگ ساتھ لائیں۔
خراب سامان کہاں ہے؟,Urdu,Baggage,Arrival,افسوس ہے۔ خراب سامان کے لیے ایئر لائن کے بیگیج ڈیسک یا خراب سامان ڈیسک پر جائیں اور نقصان کی تفصیل بتائیں۔
زیادہ حجم والا بیگیج کہاں ہے؟,Urdu,Baggage,Arrival,زیادہ حجم والے بیگز کو مخصوص کلیکشن پوائنٹ پر رکھا جاتا ہے۔ آمد ہال کے پچھلے حصے میں جائیں؛ عملہ آپ کی رہنمائی کرے گا۔
بیگیج ریپنگ کہاں ہے؟,Urdu,Baggage,Arrival,بیگیج ریپنگ کی سروس ڈیسک آمد کے قریب واقع ہے؛ وہ ریپنگ اور حفاظتی کور فراہم کرتے ہیں۔
گم بیگ کہاں ہے؟,Urdu,Baggage,Arrival,معذرت! گم بیگ کے لیے لاپتہ اشیاء کا کاؤنٹر آمد ہال کے قریب ہے۔ اپنے بورڈنگ پاس اور بیگیج ٹیگ ساتھ لائیں۔
سامان رکھنے کی جگہ کہاں ہے؟,Urdu,Baggage,Arrival,عارضی اسٹوریج کے لیے لیفٹ لاگیج آفس استعمال کریں جو آمد کے خروج کے قریب ہے۔ لاکر دستیاب ہیں۔
ترجیحی بیگیج کہاں ہے؟,Urdu,Baggage,Arrival,ترجیحی بیگیج کے لیے اپنی ایئر لائن کا پرائرٹی ڈیسک چیک کریں؛ وہ مخصوص پِک اپ پوائنٹ بتائیں گے۔
بیگیج میں تاخیر کہاں ہے؟,Urdu,Baggage,Arrival,اگر بیگیج میں تاخیر تاخیر کا شکار ہے تو ایئر لائن کے بیگیج آفس یا تاخیر ڈیسک پر جا کر کیس درج کروائیں۔
بیگیج انکوائری ڈیسک کہاں ہے؟,Urdu,Baggage,Arrival,بیگیج انکوائری ڈیسک مرکزی آمد علاقہ کے قریب ہے؛ عملہ آپ کی فلائٹ تفصیلات لے کر نظام چیک کریں گے۔
