id,category,user_query,intent,airport,flight_number,origin_city,response,language
1,arrival_time,Arrival time ka sawaal flight HM159 ke liye?,flight_information,Islamabad International Airport (ISB),HM159,Sharjah,Flight HM159 from Sharjah scheduled to arrive at 03:09 at Islamabad International Airport (ISB). Check arrival displays for updates.,Roman Urdu
2,arrival_time,Arrival time ka sawaal flight QR238 ke liye?,flight_information,Islamabad International Airport (ISB),QR238,Istanbul,Flight QR238 from Istanbul scheduled to arrive at 12:54 at Islamabad International Airport (ISB). Check arrival displays for updates.,Roman Urdu
3,arrival_time,Arrival time ka sawaal flight HM516 ke liye?,flight_information,Islamabad International Airport (ISB),HM516,Jeddah,Flight HM516 from Jeddah scheduled to arrive at 16:28 at Islamabad International Airport (ISB). Check arrival displays for updates.,Roman Urdu
4,arrival_time,Arrival time ka sawaal flight TK931 ke liye?,flight_information,Islamabad International Airport (ISB),TK931,Riyadh,Flight TK931 from Riyadh scheduled to arrive at 05:22 at Islamabad International Airport (ISB). Check arrival displays for updates.,Roman Urdu
5,arrival_time,Arrival time ka sawaal flight EY637 ke liye?,flight_information,Islamabad International Airport (ISB),EY637,Jeddah,Flight EY637 from Jeddah scheduled to arrive at 11:16 at Islamabad International Airport (ISB). Check arrival displays for updates.,Roman Urdu
6,arrival_time,Arrival time ka sawaal flight TK235 ke liye?,flight_information,Islamabad International Airport (ISB),TK235,Doha,Flight TK235 from Doha scheduled to arrive at 02:52 at Islamabad International Airport (ISB). Check arrival displays for updates.,Roman Urdu
7,arrival_time,Arrival time ka sawaal flight SV953 ke liye?,flight_information,Islamabad International Airport (ISB),SV953,Karachi,Flight SV953 from Karachi scheduled to arrive at 09:35 at Islamabad International Airport (ISB). Check arrival displays for updates.,Roman Urdu
8,arrival_time,Arrival time ka sawaal flight UL391 ke liye?,flight_information,Islamabad International Airport (ISB),UL391,Abu Dhabi,Flight UL391 from Abu Dhabi scheduled to arrive at 20:23 at Islamabad International Airport (ISB). Check arrival displays for updates.,Roman Urdu
9,arrival_time,Arrival time ka sawaal flight GF416 ke liye?,flight_information,Islamabad International Airport (ISB),GF416,Jeddah,Flight GF416 from Jeddah scheduled to arrive at 10:49 at Islamabad International Airport (ISB). Check arrival displays for updates.,Roman Urdu
10,arrival_time,Arrival time ka sawaal flight EY953 ke liye?,flight_information,Islamabad International Airport (ISB),EY953,Istanbul,Flight EY953 from Istanbul scheduled to arrive at 07:06 at Islamabad International Airport (ISB). Check arrival displays for updates.,Roman Urdu
11,departure_time,Departure time ka sawaal flight HM671 ke liye?,flight_information,Islamabad International Airport (ISB),HM671,Riyadh,Flight HM671 scheduled to depart at 15:01. Please arrive early for check-in and security.,Roman Urdu
12,departure_time,Departure time ka sawaal flight PK603 ke liye?,flight_information,Islamabad International Airport (ISB),PK603,Abu Dhabi,Flight PK603 scheduled to depart at 03:24. Please arrive early for check-in and security.,Roman Urdu
13,departure_time,Departure time ka sawaal flight PK207 ke liye?,flight_information,Islamabad International Airport (ISB),PK207,Karachi,Flight PK207 scheduled to depart at 05:19. Please arrive early for check-in and security.,Roman Urdu
14,departure_time,Departure time ka sawaal flight GF592 ke liye?,flight_information,Islamabad International Airport (ISB),GF592,Istanbul,Flight GF592 scheduled to depart at 22:09. Please arrive early for check-in and security.,Roman Urdu
15,departure_time,Departure time ka sawaal flight HM249 ke liye?,flight_information,Islamabad International Airport (ISB),HM249,Riyadh,Flight HM249 scheduled to depart at 08:58. Please arrive early for check-in and security.,Roman Urdu
16,departure_time,Departure time ka sawaal flight BA446 ke liye?,flight_information,Islamabad International Airport (ISB),BA446,Jeddah,Flight BA446 scheduled to depart at 16:52. Please arrive early for check-in and security.,Roman Urdu
17,departure_time,Departure time ka sawaal flight QR783 ke liye?,flight_information,Islamabad International Airport (ISB),QR783,Doha,Flight QR783 scheduled to depart at 17:05. Please arrive early for check-in and security.,Roman Urdu
18,departure_time,Departure time ka sawaal flight EY819 ke liye?,flight_information,Islamabad International Airport (ISB),EY819,Lahore,Flight EY819 scheduled to depart at 19:20. Please arrive early for check-in and security.,Roman Urdu
19,departure_time,Departure time ka sawaal flight QR439 ke liye?,flight_information,Islamabad International Airport (ISB),QR439,Karachi,Flight QR439 scheduled to depart at 19:10. Please arrive early for check-in and security.,Roman Urdu
