"id","query","language","intent","terminal","entities","expected_response","notes"
"1","Where is the nearest restroom?","en","facilities","departure","{}","Restrooms are located near Gate 3 and Gate 8 in the departure lounge","Common query"
"2","Is there free WiFi at the airport?","en","facilities","departure","{""service"":""WiFi""}","Yes, free WiFi is available throughout the airport. Connect to 'ISB_Airport_Free' network","Connectivity query"
"3","Where can I find a prayer room?","en","facilities","departure","{""facility"":""prayer room""}","Prayer rooms are located on the second floor near Gate 5 with separate areas for men and women","Religious facility"
"4","Are there any restaurants in the departure lounge?","en","facilities","departure","{""facility"":""restaurant""}","Yes, we have Gloria Jean's, Subway, KFC, and traditional Pakistani cuisine at Taste of Pakistan restaurant","Dining options"
"5","Where is the airport lounge?","en","facilities","departure","{""facility"":""lounge""}","The Premium Lounge is located on the first floor near Gate 6, accessible with lounge passes or business class tickets","Lounge access"
"6","Is there a pharmacy in the airport?","en","facilities","departure","{""facility"":""pharmacy""}","Yes, there's a 24-hour pharmacy near the main entrance of the departure hall","Medical facility"
"7","Where can I charge my phone?","en","facilities","departure","{""service"":""charging""}","Charging stations are available at all gate seating areas and near the food court","Power access"
"8","Are there ATMs in the departure terminal?","en","facilities","departure","{""facility"":""ATM""}","ATMs are located near the entrance, food court, and in the main departure hall","Banking service"
"9","Where can I buy souvenirs?","en","facilities","departure","{""facility"":""shop""}","Souvenir shops are located in the departure lounge near Gates 4 and 7","Shopping query"
"10","Is there a smoking area in the airport?","en","facilities","departure","{""facility"":""smoking area""}","Yes, designated smoking areas are available in the outdoor section accessible from the departure lounge","Smoking policy"
"11","Where is the information desk?","en","facilities","departure","{""facility"":""information""}","Information desks are located at the main entrance and in the center of the departure hall","Help desk"
"12","Are there baby changing facilities?","en","facilities","departure","{""facility"":""baby changing""}","Baby changing stations are available in all restrooms and a dedicated nursing room near Gate 3","Family facility"
"13","Where can I get coffee?","en","facilities","departure","{""facility"":""cafe""}","Coffee shops including Gloria Jean's and Espresso are located in the food court area","Beverage query"
"14","Is there a currency exchange service?","en","facilities","departure","{""service"":""currency exchange""}","Currency exchange counters are near the main entrance and in the departure lounge","Financial service"
"15","Where are the wheelchair accessible facilities?","en","facilities","departure","{""service"":""wheelchair""}","Wheelchair accessible restrooms and ramps are available throughout the terminal, and wheelchairs can be requested at information desks","Accessibility"
"16","Are there any duty-free shops?","en","facilities","departure","{""facility"":""duty-free""}","Duty-free shops are located after security in the departure lounge offering cosmetics, perfumes, and electronics","Tax-free shopping"
"17","Where is the first aid center?","en","facilities","departure","{""facility"":""first aid""}","Medical and first aid center is located on the ground floor near Gate 2","Emergency service"
"18","Is there a children's play area?","en","facilities","departure","{""facility"":""play area""}","Yes, a kids' play zone is available near Gate 5 in the departure lounge","Child-friendly"
"19","Where can I store my luggage?","en","facilities","departure","{""service"":""luggage storage""}","Left luggage storage facility is available near the main entrance for a fee","Storage service"
"20","Are there any bookstores in the airport?","en","facilities","departure","{""facility"":""bookstore""}","A bookshop offering newspapers, magazines, and books is located near Gate 6","Reading material"
"21","Where is the business center?","en","facilities","departure","{""facility"":""business center""}","Business center with internet, printing, and meeting rooms is available in the Premium Lounge","Corporate facility"
"22","Can I get travel insurance at the airport?","en","facilities","departure","{""service"":""travel insurance""}","Travel insurance counters are available near the check-in area","Insurance service"
"23","Where are the water fountains?","en","facilities","departure","{""facility"":""water fountain""}","Water fountains and refill stations are located throughout the terminal near all gate areas","Hydration"
"24","Is there a baggage wrapping service?","en","facilities","departure","{""service"":""baggage wrap""}","Baggage wrapping service is available near check-in counters for a small fee","Packaging service"
"25","Where can I find a taxi service counter?","en","facilities","departure","{""service"":""taxi""}","Taxi booking counters are in the arrival area, but you can inquire at information desks","Transport pre-booking"
"26","Are there any clothing stores?","en","facilities","departure","{""facility"":""clothing store""}","Fashion and accessory shops are located in the departure lounge shopping area","Retail query"
"27","Where is the lost and found office?","en","facilities","departure","{""facility"":""lost and found""}","Lost and found office is near the main information desk in the departure hall","Lost items"
"28","Is there a VIP meet and greet service?","en","facilities","departure","{""service"":""VIP service""}","VIP meet and greet services are available through advance booking with PAA","Premium service"
