id,user_query,intent,airport,flight_number,origin_city,arrival_time,flight_status,response,language
1,What is the arrival process at Islamabad Airport?,arrival_guidance,ISB,,,,,Baggage claim is past Immigration; follow signs.,English
2,Where do I go after landing?,arrival_guidance,ISB,,,,,Baggage claim is past Immigration; follow signs.,English
3,What is the arrival process at Islamabad Airport?,arrival_guidance,ISB,,,,,"After landing, go to Immigration → Baggage Claim → Customs → Exit.",English
4,How do I collect baggage at ISB?,arrival_guidance,ISB,,,,,Baggage claim is past Immigration; follow signs.,English
5,What is the arrival process at Islamabad Airport?,arrival_guidance,ISB,,,,,Baggage claim is past Immigration; follow signs.,English
6,How do I collect baggage at ISB?,arrival_guidance,ISB,,,,,"After landing, go to Immigration → Baggage Claim → Customs → Exit.",English
7,What is the arrival process at Islamabad Airport?,arrival_guidance,ISB,,,,,Baggage claim is past Immigration; follow signs.,English
8,What is the arrival process at Islamabad Airport?,arrival_guidance,ISB,,,,,"Follow Immigration first, then collect baggage and exit.",English
9,What is the arrival process at Islamabad Airport?,arrival_guidance,ISB,,,,,Baggage claim is past Immigration; follow signs.,English
10,How do I collect baggage at ISB?,arrival_guidance,ISB,,,,,"Follow Immigration first, then collect baggage and exit.",English
11,How do I collect baggage at ISB?,arrival_guidance,ISB,,,,,"Follow Immigration first, then collect baggage and exit.",English
12,What is the arrival process at Islamabad Airport?,arrival_guidance,ISB,,,,,"Follow Immigration first, then collect baggage and exit.",English
13,Where do I go after landing?,arrival_guidance,ISB,,,,,"After landing, go to Immigration → Baggage Claim → Customs → Exit.",English
14,What is the arrival process at Islamabad Airport?,arrival_guidance,ISB,,,,,"After landing, go to Immigration → Baggage Claim → Customs → Exit.",English
15,Where do I go after landing?,arrival_guidance,ISB,,,,,Baggage claim is past Immigration; follow signs.,English
16,Where do I go after landing?,arrival_guidance,ISB,,,,,"Follow Immigration first, then collect baggage and exit.",English
17,How do I collect baggage at ISB?,arrival_guidance,ISB,,,,,"Follow Immigration first, then collect baggage and exit.",English
18,How do I collect baggage at ISB?,arrival_guidance,ISB,,,,,"Follow Immigration first, then collect baggage and exit.",English
19,How do I collect baggage at ISB?,arrival_guidance,ISB,,,,,Baggage claim is past Immigration; follow signs.,English
20,How do I collect baggage at ISB?,arrival_guidance,ISB,,,,,Baggage claim is past Immigration; follow signs.,English
21,Where do I go after landing?,arrival_guidance,ISB,,,,,"Follow Immigration first, then collect baggage and exit.",English
22,Where do I go after landing?,arrival_guidance,ISB,,,,,"After landing, go to Immigration → Baggage Claim → Customs → Exit.",English
23,How do I collect baggage at ISB?,arrival_guidance,ISB,,,,,"After landing, go to Immigration → Baggage Claim → Customs → Exit.",English
24,What is the arrival process at Islamabad Airport?,arrival_guidance,ISB,,,,,"After landing, go to Immigration → Baggage Claim → Customs → Exit.",English
25,How do I collect baggage at ISB?,arrival_guidance,ISB,,,,,"After landing, go to Immigration → Baggage Claim → Customs → Exit.",English
26,How do I collect baggage at ISB?,arrival_guidance,ISB,,,,,"Follow Immigration first, then collect baggage and exit.",English
