id,user_query,intent,airport,response
1,کسٹمز کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,کسٹمز بیگج کلیم کے بعد ہوتا ہے۔
2,آرائیول ہال کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,آرائیول ہال کسٹمز کے بعد ہوتا ہے۔
3,امیگریشن کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,امیگریشن آمد کے فوراً بعد ہوتا ہے، سائنز فالو کریں۔
4,بیگج کہاں سے ملتا ہے؟,arrival_guidance,اسلام آباد,بیگج امیگریشن کے بعد بیگج کلیم ایریا سے لیا جاتا ہے۔
5,ائیرپورٹ سے باہر کیسے نکلیں؟,arrival_guidance,اسلام آباد,کسٹمز کے بعد ایگزٹ کے سائن فالو کریں۔
6,بیگ لینے کا طریقہ کیا ہے؟,arrival_guidance,اسلام آباد,بیگ لینے کے لیے بیگج کلیم ایریا میں جائیں۔
7,لینڈنگ کے بعد کہاں جانا ہوتا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد امیگریشن کی طرف جائیں، پھر بیگ لے کر ایگزٹ کریں۔
8,کسٹمز کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,کسٹمز بیگج کلیم کے بعد ہوتا ہے۔
9,بیگ لینے کا طریقہ کیا ہے؟,arrival_guidance,اسلام آباد,بیگ لینے کے لیے بیگج کلیم ایریا میں جائیں۔
10,کسٹمز کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,کسٹمز بیگج کلیم کے بعد ہوتا ہے۔
11,کسٹمز کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,کسٹمز بیگج کلیم کے بعد ہوتا ہے۔
12,امیگریشن کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,امیگریشن آمد کے فوراً بعد ہوتا ہے، سائنز فالو کریں۔
13,لینڈنگ کے بعد کہاں جانا ہوتا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد امیگریشن کی طرف جائیں، پھر بیگ لے کر ایگزٹ کریں۔
14,امیگریشن کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,امیگریشن آمد کے فوراً بعد ہوتا ہے، سائنز فالو کریں۔
15,بیگج کہاں سے ملتا ہے؟,arrival_guidance,اسلام آباد,بیگج امیگریشن کے بعد بیگج کلیم ایریا سے لیا جاتا ہے۔
16,امیگریشن کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,امیگریشن آمد کے فوراً بعد ہوتا ہے، سائنز فالو کریں۔
17,اسلام آباد ائیرپورٹ پر لینڈ کرنے کے بعد کیا کرنا ہوتا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد پہلے امیگریشن، پھر بیگج کلیم، پھر کسٹمز اور آخر میں ایگزٹ کریں۔
18,امیگریشن کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,امیگریشن آمد کے فوراً بعد ہوتا ہے، سائنز فالو کریں۔
19,بیگج کہاں سے ملتا ہے؟,arrival_guidance,اسلام آباد,بیگج امیگریشن کے بعد بیگج کلیم ایریا سے لیا جاتا ہے۔
20,بیگج کہاں سے ملتا ہے؟,arrival_guidance,اسلام آباد,بیگج امیگریشن کے بعد بیگج کلیم ایریا سے لیا جاتا ہے۔
21,آرائیول ہال کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,آرائیول ہال کسٹمز کے بعد ہوتا ہے۔
22,بیگ لینے کا طریقہ کیا ہے؟,arrival_guidance,اسلام آباد,بیگ لینے کے لیے بیگج کلیم ایریا میں جائیں۔
23,لینڈنگ کے بعد پروسیس کیا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد: امیگریشن → بیگج → کسٹمز → ایگزٹ۔
24,آرائیول ہال کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,آرائیول ہال کسٹمز کے بعد ہوتا ہے۔
25,لینڈنگ کے بعد کہاں جانا ہوتا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد امیگریشن کی طرف جائیں، پھر بیگ لے کر ایگزٹ کریں۔
26,ائیرپورٹ سے باہر کیسے نکلیں؟,arrival_guidance,اسلام آباد,کسٹمز کے بعد ایگزٹ کے سائن فالو کریں۔
27,بیگ لینے کا طریقہ کیا ہے؟,arrival_guidance,اسلام آباد,بیگ لینے کے لیے بیگج کلیم ایریا میں جائیں۔
28,کسٹمز کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,کسٹمز بیگج کلیم کے بعد ہوتا ہے۔
29,کسٹمز کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,کسٹمز بیگج کلیم کے بعد ہوتا ہے۔
30,آنے کے مراحل کیا ہیں؟,arrival_guidance,اسلام آباد,آنے کے مراحل: امیگریشن → بیگج → کسٹمز → ایگزٹ۔
31,لینڈنگ کے بعد کہاں جانا ہوتا ہے؟,arrival_guidance,اسلام آباد,لینڈنگ کے بعد امیگریشن کی طرف جائیں، پھر بیگ لے کر ایگزٹ کریں۔
32,امیگریشن کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,امیگریشن آمد کے فوراً بعد ہوتا ہے، سائنز فالو کریں۔
33,ائیرپورٹ سے باہر کیسے نکلیں؟,arrival_guidance,اسلام آباد,کسٹمز کے بعد ایگزٹ کے سائن فالو کریں۔
34,بیگ لینے کا طریقہ کیا ہے؟,arrival_guidance,اسلام آباد,بیگ لینے کے لیے بیگج کلیم ایریا میں جائیں۔
35,بیگ لینے کا طریقہ کیا ہے؟,arrival_guidance,اسلام آباد,بیگ لینے کے لیے بیگج کلیم ایریا میں جائیں۔
36,امیگریشن کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,امیگریشن آمد کے فوراً بعد ہوتا ہے، سائنز فالو کریں۔
37,آرائیول ہال کہاں ہوتا ہے؟,arrival_guidance,اسلام آباد,آرائیول ہال کسٹمز کے بعد ہوتا ہے۔
