#,Intent,Language,User Query,Chatbot Response,Context
1,Check_in_info,Urdu,میرا چیک ان کاؤنٹر کہاں ہے؟,براہ کرم اپنی ایئرلائن کے چیک ان کاؤنٹر پر جائیں، روانگی ہال میں نشانات موجود ہیں۔,Departure
2,Check_in_info,Urdu,پی آئی اے کا کاؤنٹر کس قطار میں ہے؟,پی آئی اے کے کاؤنٹر قطار سی میں گیٹ ۴ کے قریب واقع ہیں۔,Departure
3,Check_in_info,Urdu,سیریں ایئر کا چیک ان کہاں ہوتا ہے؟,سیریں ایئر کے کاؤنٹر قطار بی میں ہیں، وہاں عملہ آپ کی رہنمائی کرے گا۔,Departure
4,Check_in_info,Urdu,کیا میں آن لائن چیک ان کے بعد بیگ جمع کرا سکتا ہوں؟,جی ہاں، بیگیج ڈراپ کاؤنٹر پر جائیں جہاں “Online Check-In” لکھا ہے۔,Departure
5,Check_in_info,Urdu,میں نے آن لائن بورڈنگ پاس نکالا ہے، کیا کافی ہے؟,جی ہاں، موبائل یا پرنٹ دونوں منظور ہیں۔,Departure
6,Check_in_info,Urdu,چیک ان کب کھلتا ہے؟,بین الاقوامی پروازوں کے لیے ۳ گھنٹے پہلے اور ملکی پروازوں کے لیے ۲ گھنٹے پہلے کھلتا ہے۔,Departure
7,Check_in_info,Urdu,چیک ان کب بند ہوتا ہے؟,ملکی پروازوں کے لیے ۴۵ منٹ اور بین الاقوامی کے لیے ۶۰ منٹ پہلے بند ہوتا ہے۔,Departure
8,Check_in_info,Urdu,کیا اسلام آباد ایئرپورٹ پر خودکار چیک ان مشین ہے؟,جی ہاں، ہال بی کے داخلی دروازے کے قریب سیلف چیک-ان کاؤنٹر موجود ہیں۔,Departure
9,Check_in_info,Urdu,بورڈنگ پاس کہاں سے ملے گا؟,ایئرلائن کے کاؤنٹر سے چیک ان مکمل کرنے پر بورڈنگ پاس جاری کیا جاتا ہے۔,Departure
10,Check_in_info,Urdu,کیا کارگو بیگ بھی یہی جمع ہوتا ہے؟,نہیں، کارگو کے لیے علیحدہ کاؤنٹر ہے، نشانیاں موجود ہیں۔,Departure
11,Check_in_info,Urdu,میرا سامان زیادہ وزن کا ہے، کہاں جاؤں؟,اضافی وزن کی ادائیگی کے لیے قطار ڈی کے قریب ایکسٹرابیگیج ڈیسک پر جائیں۔,Departure
12,Check_in_info,Urdu,کیا فیملی کے لیے علیحدہ کاؤنٹر ہے؟,جی ہاں، بچوں والی فیملیز کے لیے ترجیحی لائن دستیاب ہے۔,Departure
13,Check_in_info,Urdu,خصوصی معاونت والے مسافر کہاں جائیں؟,کاؤنٹر ۱ خصوصی معاونت والے مسافروں کے لیے مخصوص ہے۔,Departure
