id,category,user_query,intent,airport,response,language
1,immigration,بین الاقوامی آمد پر عمومًا امیگریشن میں کتنا وقت لگتا ہے؟,arrival_guidance,اسلام آباد انٹرنیشنل ائیرپورٹ (ISB),آمد کے بعد براہِ کرم امیگریشن کاؤنٹرز کی طرف موجود واضح نشانات کی پیروی کریں۔ اپنا پاسپورٹ، مکمل شدہ آمد کارڈ اور متعلقہ دستاویزات تیار رکھیں تاکہ افسران چیک کر سکیں۔ چیکنگ میں وقت لگ سکتا ہے؛ ڈسپلے اسکرینز پر اپنے کاؤنٹر کا نمبر دیکھیں۔,Urdu
2,immigration,بین الاقوامی آمد پر عمومًا امیگریشن میں کتنا وقت لگتا ہے؟,arrival_guidance,اسلام آباد انٹرنیشنل ائیرپورٹ (ISB),آمد کے بعد براہِ کرم امیگریشن کاؤنٹرز کی طرف موجود واضح نشانات کی پیروی کریں۔ اپنا پاسپورٹ، مکمل شدہ آمد کارڈ اور متعلقہ دستاویزات تیار رکھیں تاکہ افسران چیک کر سکیں۔ چیکنگ میں وقت لگ سکتا ہے؛ ڈسپلے اسکرینز پر اپنے کاؤنٹر کا نمبر دیکھیں۔,Urdu
3,immigration,بین الاقوامی آمد پر عمومًا امیگریشن میں کتنا وقت لگتا ہے؟,arrival_guidance,اسلام آباد انٹرنیشنل ائیرپورٹ (ISB),آمد کے بعد براہِ کرم امیگریشن کاؤنٹرز کی طرف موجود واضح نشانات کی پیروی کریں۔ اپنا پاسپورٹ، مکمل شدہ آمد کارڈ اور متعلقہ دستاویزات تیار رکھیں تاکہ افسران چیک کر سکیں۔ چیکنگ میں وقت لگ سکتا ہے؛ ڈسپلے اسکرینز پر اپنے کاؤنٹر کا نمبر دیکھیں۔,Urdu
4,immigration,امیگریشن کے لیے کون سی دستاویزات تیار رکھنی چاہئیں؟,arrival_guidance,اسلام آباد انٹرنیشنل ائیرپورٹ (ISB),آمد کے بعد براہِ کرم امیگریشن کاؤنٹرز کی طرف موجود واضح نشانات کی پیروی کریں۔ اپنا پاسپورٹ، مکمل شدہ آمد کارڈ اور متعلقہ دستاویزات تیار رکھیں تاکہ افسران چیک کر سکیں۔ چیکنگ میں وقت لگ سکتا ہے؛ ڈسپلے اسکرینز پر اپنے کاؤنٹر کا نمبر دیکھیں۔,Urdu
5,immigration,آمد کے بعد امیگریشن کہاں ہوتی ہے؟,arrival_guidance,اسلام آباد انٹرنیشنل ائیرپورٹ (ISB),آمد کے بعد براہِ کرم امیگریشن کاؤنٹرز کی طرف موجود واضح نشانات کی پیروی کریں۔ اپنا پاسپورٹ، مکمل شدہ آمد کارڈ اور متعلقہ دستاویزات تیار رکھیں تاکہ افسران چیک کر سکیں۔ چیکنگ میں وقت لگ سکتا ہے؛ ڈسپلے اسکرینز پر اپنے کاؤنٹر کا نمبر دیکھیں۔,Urdu
6,immigration,امیگریشن کے لیے کون سی دستاویزات تیار رکھنی چاہئیں؟,arrival_guidance,اسلام آباد انٹرنیشنل ائیرپورٹ (ISB),آمد کے بعد براہِ کرم امیگریشن کاؤنٹرز کی طرف موجود واضح نشانات کی پیروی کریں۔ اپنا پاسپورٹ، مکمل شدہ آمد کارڈ اور متعلقہ دستاویزات تیار رکھیں تاکہ افسران چیک کر سکیں۔ چیکنگ میں وقت لگ سکتا ہے؛ ڈسپلے اسکرینز پر اپنے کاؤنٹر کا نمبر دیکھیں۔,Urdu
7,immigration,امیگریشن کے لیے کون سی دستاویزات تیار رکھنی چاہئیں؟,arrival_guidance,اسلام آباد انٹرنیشنل ائیرپورٹ (ISB),آمد کے بعد براہِ کرم امیگریشن کاؤنٹرز کی طرف موجود واضح نشانات کی پیروی کریں۔ اپنا پاسپورٹ، مکمل شدہ آمد کارڈ اور متعلقہ دستاویزات تیار رکھیں تاکہ افسران چیک کر سکیں۔ چیکنگ میں وقت لگ سکتا ہے؛ ڈسپلے اسکرینز پر اپنے کاؤنٹر کا نمبر دیکھیں۔,Urdu
8,immigration,بین الاقوامی آمد پر عمومًا امیگریشن میں کتنا وقت لگتا ہے؟,arrival_guidance,اسلام آباد انٹرنیشنل ائیرپورٹ (ISB),آمد کے بعد براہِ کرم امیگریشن کاؤنٹرز کی طرف موجود واضح نشانات کی پیروی کریں۔ اپنا پاسپورٹ، مکمل شدہ آمد کارڈ اور متعلقہ دستاویزات تیار رکھیں تاکہ افسران چیک کر سکیں۔ چیکنگ میں وقت لگ سکتا ہے؛ ڈسپلے اسکرینز پر اپنے کاؤنٹر کا نمبر دیکھیں۔,Urdu
9,immigration,بین الاقوامی آمد پر عمومًا امیگریشن میں کتنا وقت لگتا ہے؟,arrival_guidance,اسلام آباد انٹرنیشنل ائیرپورٹ (ISB),آمد کے بعد براہِ کرم امیگریشن کاؤنٹرز کی طرف موجود واضح نشانات کی پیروی کریں۔ اپنا پاسپورٹ، مکمل شدہ آمد کارڈ اور متعلقہ دستاویزات تیار رکھیں تاکہ افسران چیک کر سکیں۔ چیکنگ میں وقت لگ سکتا ہے؛ ڈسپلے اسکرینز پر اپنے کاؤنٹر کا نمبر دیکھیں۔,Urdu
10,immigration,آمد کے بعد امیگریشن کہاں ہوتی ہے؟,arrival_guidance,اسلام آباد انٹرنیشنل ائیرپورٹ (ISB),آمد کے بعد براہِ کرم امیگریشن کاؤنٹرز کی طرف موجود واضح نشانات کی پیروی کریں۔ اپنا پاسپورٹ، مکمل شدہ آمد کارڈ اور متعلقہ دستاویزات تیار رکھیں تاکہ افسران چیک کر سکیں۔ چیکنگ میں وقت لگ سکتا ہے؛ ڈسپلے اسکرینز پر اپنے کاؤنٹر کا نمبر دیکھیں۔,Urdu
11,immigration,بین الاقوامی آمد پر عمومًا امیگریشن میں کتنا وقت لگتا ہے؟,arrival_guidance,اسلام آباد انٹرنیشنل ائیرپورٹ (ISB),آمد کے بعد براہِ کرم امیگریشن کاؤنٹرز کی طرف موجود واضح نشانات کی پیروی کریں۔ اپنا پاسپورٹ، مکمل شدہ آمد کارڈ اور متعلقہ دستاویزات تیار رکھیں تاکہ افسران چیک کر سکیں۔ چیکنگ میں وقت لگ سکتا ہے؛ ڈسپلے اسکرینز پر اپنے کاؤنٹر کا نمبر دیکھیں۔,Urdu
12,immigration,امیگریشن کے لیے کون سی دستاویزات تیار رکھنی چاہئیں؟,arrival_guidance,اسلام آباد انٹرنیشنل ائیرپورٹ (ISB),آمد کے بعد براہِ کرم امیگریشن کاؤنٹرز کی طرف موجود واضح نشانات کی پیروی کریں۔ اپنا پاسپورٹ، مکمل شدہ آمد کارڈ اور متعلقہ دستاویزات تیار رکھیں تاکہ افسران چیک کر سکیں۔ چیکنگ میں وقت لگ سکتا ہے؛ ڈسپلے اسکرینز پر اپنے کاؤنٹر کا نمبر دیکھیں۔,Urdu
13,immigration,آمد کے بعد امیگریشن کہاں ہوتی ہے؟,arrival_guidance,اسلام آباد انٹرنیشنل ائیرپورٹ (ISB),آمد کے بعد براہِ کرم امیگریشن کاؤنٹرز کی طرف موجود واضح نشانات کی پیروی کریں۔ اپنا پاسپورٹ، مکمل شدہ آمد کارڈ اور متعلقہ دستاویزات تیار رکھیں تاکہ افسران چیک کر سکیں۔ چیکنگ میں وقت لگ سکتا ہے؛ ڈسپلے اسکرینز پر اپنے کاؤنٹر کا نمبر دیکھیں۔,Urdu
14,immigration,بین الاقوامی آمد پر عمومًا امیگریشن میں کتنا وقت لگتا ہے؟,arrival_guidance,اسلام آباد انٹرنیشنل ائیرپورٹ (ISB),آمد کے بعد براہِ کرم امیگریشن کاؤنٹرز کی طرف موجود واضح نشانات کی پیروی کریں۔ اپنا پاسپورٹ، مکمل شدہ آمد کارڈ اور متعلقہ دستاویزات تیار رکھیں تاکہ افسران چیک کر سکیں۔ چیکنگ میں وقت لگ سکتا ہے؛ ڈسپلے اسکرینز پر اپنے کاؤنٹر کا نمبر دیکھیں۔,Urdu
15,immigration,امیگریشن کے لیے کون سی دستاویزات تیار رکھنی چاہئیں؟,arrival_guidance,اسلام آباد انٹرنیشنل ائیرپورٹ (ISB),آمد کے بعد براہِ کرم امیگریشن کاؤنٹرز کی طرف موجود واضح نشانات کی پیروی کریں۔ اپنا پاسپورٹ، مکمل شدہ آمد کارڈ اور متعلقہ دستاویزات تیار رکھیں تاکہ افسران چیک کر سکیں۔ چیکنگ میں وقت لگ سکتا ہے؛ ڈسپلے اسکرینز پر اپنے کاؤنٹر کا نمبر دیکھیں۔,Urdu
16,immigration,امیگریشن کے لیے کون سی دستاویزات تیار رکھنی چاہئیں؟,arrival_guidance,اسلام آباد انٹرنیشنل ائیرپورٹ (ISB),آمد کے بعد براہِ کرم امیگریشن کاؤنٹرز کی طرف موجود واضح نشانات کی پیروی کریں۔ اپنا پاسپورٹ، مکمل شدہ آمد کارڈ اور متعلقہ دستاویزات تیار رکھیں تاکہ افسران چیک کر سکیں۔ چیکنگ میں وقت لگ سکتا ہے؛ ڈسپلے اسکرینز پر اپنے کاؤنٹر کا نمبر دیکھیں۔,Urdu
17,immigration,آمد کے بعد امیگریشن کہاں ہوتی ہے؟,arrival_guidance,اسلام آباد انٹرنیشنل ائیرپورٹ (ISB),آمد کے بعد براہِ کرم امیگریشن کاؤنٹرز کی طرف موجود واضح نشانات کی پیروی کریں۔ اپنا پاسپورٹ، مکمل شدہ آمد کارڈ اور متعلقہ دستاویزات تیار رکھیں تاکہ افسران چیک کر سکیں۔ چیکنگ میں وقت لگ سکتا ہے؛ ڈسپلے اسکرینز پر اپنے کاؤنٹر کا نمبر دیکھیں۔,Urdu
