id,user_query,intent,airport,response
1,What are arrival steps at Islamabad Airport?,arrival_guidance,ISB,Arrival steps: Immigration → Baggage Claim → Customs → Exit.
2,Do I go to customs after baggage claim?,arrival_guidance,ISB,"Yes, passengers go to Customs after collecting baggage."
3,How do I collect my luggage at ISB?,arrival_guidance,ISB,Baggage claim is located after Immigration. Follow 'Baggage Claim' signs.
4,How do I exit the airport after arrival?,arrival_guidance,ISB,"After Customs, follow 'Exit' signs to reach the Arrivals Hall."
5,How do I collect my luggage at ISB?,arrival_guidance,ISB,Baggage claim is located after Immigration. Follow 'Baggage Claim' signs.
6,How do I collect my luggage at ISB?,arrival_guidance,ISB,Baggage claim is located after Immigration. Follow 'Baggage Claim' signs.
7,Do I go to customs after baggage claim?,arrival_guidance,ISB,"Yes, passengers go to Customs after collecting baggage."
8,How do I exit the airport after arrival?,arrival_guidance,ISB,"After Customs, follow 'Exit' signs to reach the Arrivals Hall."
9,Where do I go after landing?,arrival_guidance,ISB,"After landing, follow signs to Immigration, then Baggage Claim and Exit."
10,Where do I go after landing?,arrival_guidance,ISB,"After landing, follow signs to Immigration, then Baggage Claim and Exit."
11,Do I go to customs after baggage claim?,arrival_guidance,ISB,"Yes, passengers go to Customs after collecting baggage."
12,How do I collect my luggage at ISB?,arrival_guidance,ISB,Baggage claim is located after Immigration. Follow 'Baggage Claim' signs.
13,How do I collect my luggage at ISB?,arrival_guidance,ISB,Baggage claim is located after Immigration. Follow 'Baggage Claim' signs.
14,Where do I go after landing?,arrival_guidance,ISB,"After landing, follow signs to Immigration, then Baggage Claim and Exit."
15,What is the arrival procedure at Islamabad Airport?,arrival_guidance,ISB,"After landing, proceed to Immigration, then Baggage Claim, Customs, and Exit."
16,Where do I find baggage claim at Islamabad Airport?,arrival_guidance,ISB,Follow airport signage to Baggage Claim after Immigration.
17,Do I go to customs after baggage claim?,arrival_guidance,ISB,"Yes, passengers go to Customs after collecting baggage."
18,Where do I find baggage claim at Islamabad Airport?,arrival_guidance,ISB,Follow airport signage to Baggage Claim after Immigration.
19,What are arrival steps at Islamabad Airport?,arrival_guidance,ISB,Arrival steps: Immigration → Baggage Claim → Customs → Exit.
20,Do I go to customs after baggage claim?,arrival_guidance,ISB,"Yes, passengers go to Customs after collecting baggage."
21,Do I go to customs after baggage claim?,arrival_guidance,ISB,"Yes, passengers go to Customs after collecting baggage."
22,Where do I find baggage claim at Islamabad Airport?,arrival_guidance,ISB,Follow airport signage to Baggage Claim after Immigration.
23,What is the arrival procedure at Islamabad Airport?,arrival_guidance,ISB,"After landing, proceed to Immigration, then Baggage Claim, Customs, and Exit."
24,What are arrival steps at Islamabad Airport?,arrival_guidance,ISB,Arrival steps: Immigration → Baggage Claim → Customs → Exit.
25,What is the arrival procedure at Islamabad Airport?,arrival_guidance,ISB,"After landing, proceed to Immigration, then Baggage Claim, Customs, and Exit."
26,Where is the arrivals hall located?,arrival_guidance,ISB,The Arrivals Hall is located past Customs after baggage claim.
27,Where do I find baggage claim at Islamabad Airport?,arrival_guidance,ISB,Follow airport signage to Baggage Claim after Immigration.
28,Where is the arrivals hall located?,arrival_guidance,ISB,The Arrivals Hall is located past Customs after baggage claim.
29,Where is immigration located at Islamabad Airport?,arrival_guidance,ISB,Immigration is located directly after arrival gates. Follow 'Immigration' signs.
30,Where is immigration located at Islamabad Airport?,arrival_guidance,ISB,Immigration is located directly after arrival gates. Follow 'Immigration' signs.
31,Where is immigration located at Islamabad Airport?,arrival_guidance,ISB,Immigration is located directly after arrival gates. Follow 'Immigration' signs.
32,Do I go to customs after baggage claim?,arrival_guidance,ISB,"Yes, passengers go to Customs after collecting baggage."
33,How do I exit the airport after arrival?,arrival_guidance,ISB,"After Customs, follow 'Exit' signs to reach the Arrivals Hall."
34,What do passengers do after landing at ISB?,arrival_guidance,ISB,"Passengers must go to Immigration, collect bags, clear Customs, and exit."
35,What is the arrival procedure at Islamabad Airport?,arrival_guidance,ISB,"After landing, proceed to Immigration, then Baggage Claim, Customs, and Exit."
36,What is the arrival procedure at Islamabad Airport?,arrival_guidance,ISB,"After landing, proceed to Immigration, then Baggage Claim, Customs, and Exit."
37,What is the arrival procedure at Islamabad Airport?,arrival_guidance,ISB,"After landing, proceed to Immigration, then Baggage Claim, Customs, and Exit."
38,What do passengers do after landing at ISB?,arrival_guidance,ISB,"Passengers must go to Immigration, collect bags, clear Customs, and exit."
39,Where do I go after landing?,arrival_guidance,ISB,"After landing, follow signs to Immigration, then Baggage Claim and Exit."
40,Where do I find baggage claim at Islamabad Airport?,arrival_guidance,ISB,Follow airport signage to Baggage Claim after Immigration.
41,What are arrival steps at Islamabad Airport?,arrival_guidance,ISB,Arrival steps: Immigration → Baggage Claim → Customs → Exit.
42,What is the arrival procedure at Islamabad Airport?,arrival_guidance,ISB,"After landing, proceed to Immigration, then Baggage Claim, Customs, and Exit."
43,What do passengers do after landing at ISB?,arrival_guidance,ISB,"Passengers must go to Immigration, collect bags, clear Customs, and exit."
44,What do passengers do after landing at ISB?,arrival_guidance,ISB,"Passengers must go to Immigration, collect bags, clear Customs, and exit."
45,How do I collect my luggage at ISB?,arrival_guidance,ISB,Baggage claim is located after Immigration. Follow 'Baggage Claim' signs.
46,Where is the arrivals hall located?,arrival_guidance,ISB,The Arrivals Hall is located past Customs after baggage claim.
47,What is the arrival procedure at Islamabad Airport?,arrival_guidance,ISB,"After landing, proceed to Immigration, then Baggage Claim, Customs, and Exit."
48,How do I exit the airport after arrival?,arrival_guidance,ISB,"After Customs, follow 'Exit' signs to reach the Arrivals Hall."
49,Where is the arrivals hall located?,arrival_guidance,ISB,The Arrivals Hall is located past Customs after baggage claim.
50,How do I collect my luggage at ISB?,arrival_guidance,ISB,Baggage claim is located after Immigration. Follow 'Baggage Claim' signs.
51,Where is immigration located at Islamabad Airport?,arrival_guidance,ISB,Immigration is located directly after arrival gates. Follow 'Immigration' signs.
52,How do I collect my luggage at ISB?,arrival_guidance,ISB,Baggage claim is located after Immigration. Follow 'Baggage Claim' signs.
53,How do I exit the airport after arrival?,arrival_guidance,ISB,"After Customs, follow 'Exit' signs to reach the Arrivals Hall."
54,How do I exit the airport after arrival?,arrival_guidance,ISB,"After Customs, follow 'Exit' signs to reach the Arrivals Hall."
55,Do I go to customs after baggage claim?,arrival_guidance,ISB,"Yes, passengers go to Customs after collecting baggage."
56,What are arrival steps at Islamabad Airport?,arrival_guidance,ISB,Arrival steps: Immigration → Baggage Claim → Customs → Exit.
57,How do I collect my luggage at ISB?,arrival_guidance,ISB,Baggage claim is located after Immigration. Follow 'Baggage Claim' signs.
58,How do I exit the airport after arrival?,arrival_guidance,ISB,"After Customs, follow 'Exit' signs to reach the Arrivals Hall."
59,Where is immigration located at Islamabad Airport?,arrival_guidance,ISB,Immigration is located directly after arrival gates. Follow 'Immigration' signs.
60,Do I go to customs after baggage claim?,arrival_guidance,ISB,"Yes, passengers go to Customs after collecting baggage."
61,Where is the arrivals hall located?,arrival_guidance,ISB,The Arrivals Hall is located past Customs after baggage claim.
62,What do passengers do after landing at ISB?,arrival_guidance,ISB,"Passengers must go to Immigration, collect bags, clear Customs, and exit."
63,Where is immigration located at Islamabad Airport?,arrival_guidance,ISB,Immigration is located directly after arrival gates. Follow 'Immigration' signs.
64,How do I collect my luggage at ISB?,arrival_guidance,ISB,Baggage claim is located after Immigration. Follow 'Baggage Claim' signs.
65,What do passengers do after landing at ISB?,arrival_guidance,ISB,"Passengers must go to Immigration, collect bags, clear Customs, and exit."
66,How do I exit the airport after arrival?,arrival_guidance,ISB,"After Customs, follow 'Exit' signs to reach the Arrivals Hall."
67,Where do I find baggage claim at Islamabad Airport?,arrival_guidance,ISB,Follow airport signage to Baggage Claim after Immigration.
68,What is the arrival procedure at Islamabad Airport?,arrival_guidance,ISB,"After landing, proceed to Immigration, then Baggage Claim, Customs, and Exit."
69,What do passengers do after landing at ISB?,arrival_guidance,ISB,"Passengers must go to Immigration, collect bags, clear Customs, and exit."
70,What are arrival steps at Islamabad Airport?,arrival_guidance,ISB,Arrival steps: Immigration → Baggage Claim → Customs → Exit.
71,What are arrival steps at Islamabad Airport?,arrival_guidance,ISB,Arrival steps: Immigration → Baggage Claim → Customs → Exit.
72,What are arrival steps at Islamabad Airport?,arrival_guidance,ISB,Arrival steps: Immigration → Baggage Claim → Customs → Exit.
73,Where do I find baggage claim at Islamabad Airport?,arrival_guidance,ISB,Follow airport signage to Baggage Claim after Immigration.
74,Do I go to customs after baggage claim?,arrival_guidance,ISB,"Yes, passengers go to Customs after collecting baggage."
75,What is the arrival procedure at Islamabad Airport?,arrival_guidance,ISB,"After landing, proceed to Immigration, then Baggage Claim, Customs, and Exit."
76,Where do I go after landing?,arrival_guidance,ISB,"After landing, follow signs to Immigration, then Baggage Claim and Exit."
77,What do passengers do after landing at ISB?,arrival_guidance,ISB,"Passengers must go to Immigration, collect bags, clear Customs, and exit."
78,How do I collect my luggage at ISB?,arrival_guidance,ISB,Baggage claim is located after Immigration. Follow 'Baggage Claim' signs.
79,Where is immigration located at Islamabad Airport?,arrival_guidance,ISB,Immigration is located directly after arrival gates. Follow 'Immigration' signs.
80,How do I exit the airport after arrival?,arrival_guidance,ISB,"After Customs, follow 'Exit' signs to reach the Arrivals Hall."
81,Where do I go after landing?,arrival_guidance,ISB,"After landing, follow signs to Immigration, then Baggage Claim and Exit."
82,Where do I go after landing?,arrival_guidance,ISB,"After landing, follow signs to Immigration, then Baggage Claim and Exit."
83,Where do I go after landing?,arrival_guidance,ISB,"After landing, follow signs to Immigration, then Baggage Claim and Exit."
84,How do I collect my luggage at ISB?,arrival_guidance,ISB,Baggage claim is located after Immigration. Follow 'Baggage Claim' signs.
85,Where is immigration located at Islamabad Airport?,arrival_guidance,ISB,Immigration is located directly after arrival gates. Follow 'Immigration' signs.
86,Where is immigration located at Islamabad Airport?,arrival_guidance,ISB,Immigration is located directly after arrival gates. Follow 'Immigration' signs.
87,Do I go to customs after baggage claim?,arrival_guidance,ISB,"Yes, passengers go to Customs after collecting baggage."
88,Where is the arrivals hall located?,arrival_guidance,ISB,The Arrivals Hall is located past Customs after baggage claim.
89,What is the arrival procedure at Islamabad Airport?,arrival_guidance,ISB,"After landing, proceed to Immigration, then Baggage Claim, Customs, and Exit."
90,How do I exit the airport after arrival?,arrival_guidance,ISB,"After Customs, follow 'Exit' signs to reach the Arrivals Hall."
91,Where do I go after landing?,arrival_guidance,ISB,"After landing, follow signs to Immigration, then Baggage Claim and Exit."
92,Where do I go after landing?,arrival_guidance,ISB,"After landing, follow signs to Immigration, then Baggage Claim and Exit."
93,What do passengers do after landing at ISB?,arrival_guidance,ISB,"Passengers must go to Immigration, collect bags, clear Customs, and exit."
94,How do I collect my luggage at ISB?,arrival_guidance,ISB,Baggage claim is located after Immigration. Follow 'Baggage Claim' signs.
95,Where do I find baggage claim at Islamabad Airport?,arrival_guidance,ISB,Follow airport signage to Baggage Claim after Immigration.
96,What are arrival steps at Islamabad Airport?,arrival_guidance,ISB,Arrival steps: Immigration → Baggage Claim → Customs → Exit.
97,How do I collect my luggage at ISB?,arrival_guidance,ISB,Baggage claim is located after Immigration. Follow 'Baggage Claim' signs.
98,Where do I go after landing?,arrival_guidance,ISB,"After landing, follow signs to Immigration, then Baggage Claim and Exit."
99,Where is immigration located at Islamabad Airport?,arrival_guidance,ISB,Immigration is located directly after arrival gates. Follow 'Immigration' signs.
100,Where is immigration located at Islamabad Airport?,arrival_guidance,ISB,Immigration is located directly after arrival gates. Follow 'Immigration' signs.
101,Where do I find baggage claim at Islamabad Airport?,arrival_guidance,ISB,Follow airport signage to Baggage Claim after Immigration.
102,What do passengers do after landing at ISB?,arrival_guidance,ISB,"Passengers must go to Immigration, collect bags, clear Customs, and exit."
103,Where do I go after landing?,arrival_guidance,ISB,"After landing, follow signs to Immigration, then Baggage Claim and Exit."
104,Do I go to customs after baggage claim?,arrival_guidance,ISB,"Yes, passengers go to Customs after collecting baggage."
105,How do I collect my luggage at ISB?,arrival_guidance,ISB,Baggage claim is located after Immigration. Follow 'Baggage Claim' signs.
106,Where do I find baggage claim at Islamabad Airport?,arrival_guidance,ISB,Follow airport signage to Baggage Claim after Immigration.
107,What are arrival steps at Islamabad Airport?,arrival_guidance,ISB,Arrival steps: Immigration → Baggage Claim → Customs → Exit.
