Query,Language,Intent,Terminal,Response
میں اپنا سامان کہاں سے وصول کروں؟,ur,Find_Baggage_Belt,Arrival,براہ کرم اپنے سامان کے بیلٹ نمبر کے لیے فلائٹ انفارمیشن اسکرینز دیکھیں۔ وہ ارائیول ہال میں لگی ہوئی ہیں۔
کیا آپ فلائٹ QR604 کے لیے بیلٹ بتا سکتے ہیں؟,ur,Find_Baggage_Belt,Arrival,براہ کرم اپنے سامان کے بیلٹ نمبر کے لیے فلائٹ انفارمیشن اسکرینز دیکھیں۔ وہ ارائیول ہال میں لگی ہوئی ہیں۔
سامان وصول کرنے کی جگہ؟,ur,Find_Baggage_Belt,Arrival,بیگیج کلیم ایریا امیگریشن سے گزرنے کے فوراً بعد واقع ہے۔ براہ کرم نشانیوں کو دیکھیں۔
لندن کی فلائٹ کا سامان کس بیلٹ پر آئے گا؟,ur,Find_Baggage_Belt,Arrival,فلائٹ کے لیے مخصوص بیلٹ کی معلومات کیروسل کے اوپر لگی اسکرینوں پر دکھائی جاتی ہیں۔ براہ کرم اپنا فلائٹ نمبر تلاش کریں۔
ہمارے سوٹ کیس کہاں سے نکلیں گے؟,ur,Find_Baggage_Belt,Arrival,آپ کے سوٹ کیس آپ کی فلائٹ کے لیے مختص بیلٹ پر آئیں گے۔ براہ کرم درست نمبر کے لیے انفارمیشن اسکرینز چیک کریں۔
مجھے اپنے سامان کا بیلٹ نمبر جاننا ہے۔,ur,Find_Baggage_Belt,Arrival,براہ کرم اپنے سامان کے بیلٹ نمبر کے لیے فلائٹ انفارمیشن اسکرینز دیکھیں۔ وہ ارائیول ہال میں لگی ہوئی ہیں۔
کیا سامان کے بیلٹ دکھانے والی کوئی اسکرین ہے؟,ur,Find_Baggage_Belt,Arrival,جی ہاں، فلائٹ انفارمیشن ڈسپلے اسکرینز پورے ارائیول ہال میں موجود ہیں جو سامان کے بیلٹ کی تفصیلات دکھاتی ہیں۔
میری فلائٹ لینڈ کر گئی ہے، بیگ کہاں ہیں؟,ur,Find_Baggage_Belt,Arrival,آپ کا سامان جلد ہی مختص بیلٹ پر آ جائے گا۔ براہ کرم درست بیلٹ نمبر کے لیے اسکرینز چیک کریں۔
میرا سوٹ کیس نہیں آیا۔,ur,Report_Lost_Baggage,Arrival,مجھے یہ سن کر افسوس ہوا۔ براہ کرم فوری مدد کے لیے بیگیج سروسز کاؤنٹر پر تشریف لے جائیں۔ وہ آپ کی رپورٹ درج کرنے میں مدد کریں گے۔
مجھے اپنا بیگ نہیں مل رہا۔,ur,Report_Lost_Baggage,Arrival,اگر آپ کا بیگ بیلٹ پر نہیں ہے، تو براہ کرم اس کی گمشدگی کی اطلاع دینے کے لیے بیگیج سروسز کے دفتر جائیں۔
اگر میرا سامان گم ہو جائے تو میں کیا کروں؟,ur,Report_Lost_Baggage,Arrival,کسی بھی گمشدہ سامان کے لیے، براہ کرم فوری طور پر بیگیج سروسز کاؤنٹر پر موجود عملے سے رابطہ کریں۔
کنویئر بیلٹ خالی ہے لیکن میرا بیگ یہاں نہیں ہے۔,ur,Report_Lost_Baggage,Arrival,مجھے یہ سن کر افسوس ہوا۔ براہ کرم فوری مدد کے لیے بیگیج سروسز کاؤنٹر پر تشریف لے جائیں۔ وہ آپ کی رپورٹ درج کرنے میں مدد کریں گے۔
گمشدہ سوٹ کیس کے بارے میں کس سے بات کروں؟,ur,Report_Lost_Baggage,Arrival,بیگیج سروسز ڈیسک گمشدہ سوٹ کیس کی اطلاع دینے کے لیے صحیح جگہ ہے۔ براہ کرم اپنی سامان کی ٹیگ کی رسید تیار رکھیں۔
فلائٹ EK201 سے میرا بیگ گم ہو گیا ہے۔,ur,Report_Lost_Baggage,Arrival,براہ کرم فلائٹ EK201 سے اپنے گمشدہ بیگ کی رپورٹ درج کروانے کے لیے بیگیج سروسز کاؤنٹر پر جائیں۔
میں گمشدہ بیگ کی رپورٹ کیسے درج کرواؤں؟,ur,Report_Lost_Baggage,Arrival,بیگیج سروسز کاؤنٹر پر موجود عملہ آپ کو گمشدہ سامان کی رپورٹ درج کرنے کے لیے ایک فارم فراہم کرے گا۔
میرا سوٹ کیس خراب ہو گیا ہے۔,ur,Report_Damaged_Baggage,Arrival,براہ کرم کسی بھی خراب سامان کی اطلاع ائیرپورٹ سے نکلنے سے پہلے بیگیج سروسز کاؤنٹر پر دیں۔ وہ دعوے کے عمل میں آپ کی مدد کریں گے۔
میرے بیگ کا پہیہ ٹوٹ گیا ہے۔,ur,Report_Damaged_Baggage,Arrival,مجھے اس پر افسوس ہے۔ براہ کرم نقصان کی رپورٹ درج کروانے کے لیے بیگیج سروسز کاؤنٹر پر جائیں۔
میں ٹوٹے ہوئے سوٹ کیس کا دعویٰ کیسے کر سکتا ہوں؟,ur,Report_Damaged_Baggage,Arrival,دعویٰ کرنے کے لیے، براہ کرم بیگیج سروسز ڈیسک پر نقصان کی اطلاع دیں۔ یقینی بنائیں کہ یہ آپ ائیرپورٹ سے باہر نکلنے سے پہلے کریں۔
میرا بیگ ٹوٹ گیا ہے، اس کا کیا طریقہ کار ہے؟,ur,Report_Damaged_Baggage,Arrival,براہ کرم دعوے کا طریقہ کار شروع کرنے کے لیے بیگیج سروسز کاؤنٹر پر موجود عملے کو خراب بیگ دکھائیں۔
خراب سامان کی اطلاع کہاں دینی ہے؟,ur,Report_Damaged_Baggage,Arrival,بیگیج سروسز کاؤنٹر آپ کے سامان کو پہنچنے والے کسی بھی نقصان کی اطلاع دینے کے لیے مخصوص علاقہ ہے۔
مجھے سامان کی ٹرالی کہاں سے مل سکتی ہے؟,ur,Find_Trolley,Arrival,سامان کی ٹرالیاں تمام بیگیج کلیم بیلٹ کے قریب اور ارائیول ہال میں مختلف مقامات پر مفت دستیاب ہیں۔
کیا یہاں کوئی سامان والی گاڑیاں ہیں؟,ur,Find_Trolley,Arrival,جی ہاں، آپ سامان کی گاڑیاں بیگیج کیروسل کے قریب آسانی سے تلاش کر سکتے ہیں۔
مجھے اپنے بیگ کے لیے ایک ٹرالی چاہیے۔,ur,Find_Trolley,Arrival,سامان کی ٹرالیاں آپ کے استعمال کے لیے دستیاب ہیں۔ آپ انہیں بیگیج کلیم ہال کے داخلی راستے کے قریب تلاش کر سکتے ہیں۔
