id,query,language,intent,terminal,entities,expected_response,notes
1,"What is the baggage allowance for economy class?",en,baggage,departure,"{}","Economy class passengers are allowed 20kg checked baggage and 7kg cabin baggage","Common query"
2,"How much does excess baggage cost?",en,baggage,departure,"{}","Excess baggage costs PKR 800 per kg for domestic flights and USD 15 per kg for international flights","Pricing query"
3,"Can I carry a laptop bag along with my hand luggage?",en,baggage,departure,"{}","Yes, you can carry one laptop bag or handbag in addition to your cabin baggage","Cabin baggage rules"
4,"What items are not allowed in checked baggage?",en,baggage,departure,"{}","Prohibited items include lithium batteries, power banks, lighters, sharp objects, and flammable materials","Safety regulations"
5,"Is there a weight limit for cabin baggage?",en,baggage,departure,"{}","Cabin baggage must not exceed 7kg and dimensions should be 56cm x 36cm x 23cm","Standard IATA limits"
6,"Where is the baggage drop-off counter?",en,baggage,departure,"{}","Baggage drop-off counters are located at your airline's check-in area in the departure hall","Location query"
7,"Can I check in extra baggage at the airport?",en,baggage,departure,"{}","Yes, you can purchase additional baggage allowance at the check-in counter subject to availability","Last-minute purchase"
8,"What is the baggage allowance for infants?",en,baggage,departure,"{""passenger_type"":""infant""}","Infants are allowed 10kg checked baggage plus one collapsible stroller or car seat","Family travel"
9,"Are musical instruments allowed as cabin baggage?",en,baggage,departure,"{""item"":""musical instrument""}","Small musical instruments that fit in overhead bins are allowed; larger ones must be checked or require an extra seat","Special items"
10,"How early should I arrive for baggage check-in?",en,baggage,departure,"{}","Arrive at least 3 hours before international flights and 2 hours before domestic flights","Time recommendation"
11,"Can I lock my checked baggage?",en,baggage,departure,"{}","Yes, you can use TSA-approved locks; avoid regular locks as security may need to inspect your bag","Security advice"
12,"What happens if my baggage is overweight?",en,baggage,departure,"{}","You'll need to pay excess baggage fees or remove items to meet the weight limit","Common concern"
13,"Is sports equipment allowed in checked baggage?",en,baggage,departure,"{""item"":""sports equipment""}","Yes, sports equipment like golf clubs and skis are allowed but may incur additional charges","Special baggage"
14,"Can I carry liquids in my cabin bag?",en,baggage,departure,"{""item"":""liquids""}","Liquids must be in containers of 100ml or less, placed in a clear plastic bag (max 1 liter)","Security rule"
15,"What is the business class baggage allowance?",en,baggage,departure,"{""class"":""business""}","Business class passengers are allowed 30kg checked baggage and 7kg cabin baggage","Premium class"
16,"Are power banks allowed in checked luggage?",en,baggage,departure,"{""item"":""power bank""}","No, power banks must be carried in cabin baggage only due to fire safety regulations","Important restriction"
17,"Can I wrap my luggage at the airport?",en,baggage,departure,"{}","Yes, baggage wrapping service is available near the check-in area for a fee","Additional service"
18,"What size bag is allowed as cabin luggage?",en,baggage,departure,"{}","Maximum dimensions are 56cm x 36cm x 23cm (22in x 14in x 9in)","Size restrictions"
19,"How many bags can I check in for free?",en,baggage,departure,"{}","This depends on your airline and ticket class; economy typically allows 1-2 bags","Varies by airline"
20,"Are duty-free items included in cabin baggage allowance?",en,baggage,departure,"{""item"":""duty-free""}","Duty-free purchases are usually allowed in addition to your cabin baggage allowance","Shopping exception"
21,"Can I carry food items in my checked baggage?",en,baggage,departure,"{""item"":""food""}","Most non-liquid food items are allowed; check destination country restrictions for fresh produce","Varies by destination"
22,"What if my baggage exceeds size restrictions?",en,baggage,departure,"{}","Oversized baggage must be checked and may incur additional fees","Size violations"
23,"Is there a separate queue for baggage drop?",en,baggage,departure,"{}","Some airlines offer dedicated baggage drop counters for passengers who checked in online","Fast track option"
24,"Can I carry electronics in checked baggage?",en,baggage,departure,"{""item"":""electronics""}","It's recommended to carry valuable electronics in cabin baggage to prevent damage or theft","Safety recommendation"
25,"What items must be declared at baggage check-in?",en,baggage,departure,"{}","Declare valuable items, fragile goods, lithium batteries, and any restricted items","Declaration requirements"
26,"Are there storage facilities for oversized baggage?",en,baggage,departure,"{}","Oversized baggage is handled at special counters; contact your airline for specific procedures","Special handling"
27,"Can I add baggage allowance after online check-in?",en,baggage,departure,"{}","Yes, you can purchase additional allowance at the airport counter before baggage drop","Post check-in purchase"
28,"What is not allowed in cabin baggage?",en,baggage,departure,"{}","Sharp objects, tools, liquids over 100ml, and sporting goods are not allowed in cabin","Security restrictions"
