id,query,language,intent,terminal,entities,expected_response,notes
1,"Economy class mein saman ki kitni ijazat hai?",roman_ur,baggage,departure,"{}","Economy class musafir ko 20kg checked baggage aur 7kg cabin baggage ki ijazat hai","Common sawal"
2,"Extra saman ka kitna charge hai?",roman_ur,baggage,departure,"{}","Extra baggage ki qeemat mulki flights ke liye per kg 800 rupay aur international flights ke liye per kg 15 dollar hai","Price ka sawal"
3,"Kya main hand luggage ke sath laptop bag bhi le ja sakta hoon?",roman_ur,baggage,departure,"{}","Ji haan, aap apne cabin baggage ke ilawa ek laptop bag ya handbag le ja sakte hain","Cabin baggage rules"
4,"Checked baggage mein kaun si cheezain mamnoo hain?",roman_ur,baggage,departure,"{}","Mamnoo cheezain mein lithium batteries, power bank, lighter, teez dhaar cheezain aur aatishgeer mawad shamil hain","Safety regulations"
5,"Cabin baggage ki weight ki had kya hai?",roman_ur,baggage,departure,"{}","Cabin baggage ka weight 7kg se zyada nahi hona chahiye aur size 56cm x 36cm x 23cm hona chahiye","Standard limits"
6,"Saman jama karane ka counter kahan hai?",roman_ur,baggage,departure,"{}","Baggage drop counter aapki airline ke check-in area mein departure hall mein waqe hain","Location query"
7,"Kya main airport par extra saman check-in kar sakta hoon?",roman_ur,baggage,departure,"{}","Ji haan, aap availability ke mutabiq check-in counter par additional baggage allowance khareed sakte hain","Last minute purchase"
8,"Bachon ke liye saman ki ijazat kya hai?",roman_ur,baggage,departure,"{""passenger_type"":""infant""}","Sheer khawar bachon ko 10kg checked baggage aur ek collapsible stroller ya car seat ki ijazat hai","Family travel"
9,"Kya mauseeqi ke aalat cabin baggage ke tor par le ja sakte hain?",roman_ur,baggage,departure,"{""item"":""musical instrument""}","Chote musical instruments jo overhead bin mein aa jayein ijazat hain; bare instruments check karne honge ya extra seat chahiye","Special items"
10,"Saman check-in ke liye kitni jaldi pohanchna chahiye?",roman_ur,baggage,departure,"{}","International flights se kam az kam 3 ghante pehle aur domestic flights se 2 ghante pehle pohanchein","Time recommendation"
11,"Kya main apne checked baggage ko tala laga sakta hoon?",roman_ur,baggage,departure,"{}","Ji haan, aap TSA approved locks istemal kar sakte hain; aam talon se bachein kyunke security ko aapke bag ka muaina karna par sakta hai","Security advice"
12,"Agar mera saman zyada wazni ho to kya hoga?",roman_ur,baggage,departure,"{}","Aapko excess baggage fee deni hogi ya weight limit puri karne ke liye cheezain nikalni hongi","Common concern"
13,"Kya sports ka saman checked baggage mein ijazat hai?",roman_ur,baggage,departure,"{""item"":""sports equipment""}","Ji haan, golf clubs aur skis jaise sports equipment ijazat hai lekin additional charges lag sakte hain","Special baggage"
14,"Kya main apne cabin bag mein liquids le ja sakta hoon?",roman_ur,baggage,departure,"{""item"":""liquids""}","Liquids 100ml ya is se kam ke containers mein hone chahiyein, saaf plastic bag mein rakhe hue (maximum 1 liter)","Security rule"
15,"Business class ka baggage allowance kya hai?",roman_ur,baggage,departure,"{""class"":""business""}","Business class passengers ko 30kg checked baggage aur 7kg cabin baggage ki ijazat hai","Premium class"
16,"Kya power bank checked luggage mein le ja sakte hain?",roman_ur,baggage,departure,"{""item"":""power bank""}","Nahi, power banks sirf cabin baggage mein hone chahiyein aag ki safety regulations ki wajah se","Important restriction"
17,"Kya main airport par apna saman lapet sakta hoon?",roman_ur,baggage,departure,"{}","Ji haan, check-in area ke qareeb fee ke iwaz baggage wrapping service available hai","Additional service"
