id,user_query,intent,airport,flight_number,origin_city,arrival_time,flight_status,response,language
1,امیگریشن کہاں ہوتا ہے؟,arrival_guidance,ISB,,,,,بیگج کلیم امیگریشن کے بعد ہوتا ہے۔,Urdu
2,بیگج کلیم کہاں ہے؟,arrival_guidance,ISB,,,,,امیگریشن آمد کے بعد ہوتا ہے۔,Urdu
3,بیگج کلیم کہاں ہے؟,arrival_guidance,ISB,,,,,امیگریشن آمد کے بعد ہوتا ہے۔,Urdu
4,لینڈنگ کے بعد کہاں جانا ہوتا ہے؟,arrival_guidance,ISB,,,,,امیگریشن آمد کے بعد ہوتا ہے۔,Urdu
5,بیگج کلیم کہاں ہے؟,arrival_guidance,ISB,,,,,امیگریشن آمد کے بعد ہوتا ہے۔,Urdu
6,لینڈنگ کے بعد کہاں جانا ہوتا ہے؟,arrival_guidance,ISB,,,,,امیگریشن آمد کے بعد ہوتا ہے۔,Urdu
7,بیگج کلیم کہاں ہے؟,arrival_guidance,ISB,,,,,لینڈنگ کے بعد: امیگریشن → بیگج → ایگزٹ۔,Urdu
8,بیگج کلیم کہاں ہے؟,arrival_guidance,ISB,,,,,امیگریشن آمد کے بعد ہوتا ہے۔,Urdu
9,امیگریشن کہاں ہوتا ہے؟,arrival_guidance,ISB,,,,,بیگج کلیم امیگریشن کے بعد ہوتا ہے۔,Urdu
10,بیگج کلیم کہاں ہے؟,arrival_guidance,ISB,,,,,امیگریشن آمد کے بعد ہوتا ہے۔,Urdu
11,بیگج کلیم کہاں ہے؟,arrival_guidance,ISB,,,,,امیگریشن آمد کے بعد ہوتا ہے۔,Urdu
12,لینڈنگ کے بعد کہاں جانا ہوتا ہے؟,arrival_guidance,ISB,,,,,امیگریشن آمد کے بعد ہوتا ہے۔,Urdu
13,امیگریشن کہاں ہوتا ہے؟,arrival_guidance,ISB,,,,,امیگریشن آمد کے بعد ہوتا ہے۔,Urdu
14,بیگج کلیم کہاں ہے؟,arrival_guidance,ISB,,,,,لینڈنگ کے بعد: امیگریشن → بیگج → ایگزٹ۔,Urdu
15,بیگج کلیم کہاں ہے؟,arrival_guidance,ISB,,,,,امیگریشن آمد کے بعد ہوتا ہے۔,Urdu
16,بیگج کلیم کہاں ہے؟,arrival_guidance,ISB,,,,,بیگج کلیم امیگریشن کے بعد ہوتا ہے۔,Urdu
17,امیگریشن کہاں ہوتا ہے؟,arrival_guidance,ISB,,,,,لینڈنگ کے بعد: امیگریشن → بیگج → ایگزٹ۔,Urdu
18,لینڈنگ کے بعد کہاں جانا ہوتا ہے؟,arrival_guidance,ISB,,,,,امیگریشن آمد کے بعد ہوتا ہے۔,Urdu
19,بیگج کلیم کہاں ہے؟,arrival_guidance,ISB,,,,,لینڈنگ کے بعد: امیگریشن → بیگج → ایگزٹ۔,Urdu
20,لینڈنگ کے بعد کہاں جانا ہوتا ہے؟,arrival_guidance,ISB,,,,,بیگج کلیم امیگریشن کے بعد ہوتا ہے۔,Urdu
21,امیگریشن کہاں ہوتا ہے؟,arrival_guidance,ISB,,,,,لینڈنگ کے بعد: امیگریشن → بیگج → ایگزٹ۔,Urdu
22,بیگج کلیم کہاں ہے؟,arrival_guidance,ISB,,,,,لینڈنگ کے بعد: امیگریشن → بیگج → ایگزٹ۔,Urdu
23,بیگج کلیم کہاں ہے؟,arrival_guidance,ISB,,,,,امیگریشن آمد کے بعد ہوتا ہے۔,Urdu
24,بیگج کلیم کہاں ہے؟,arrival_guidance,ISB,,,,,لینڈنگ کے بعد: امیگریشن → بیگج → ایگزٹ۔,Urdu
25,بیگج کلیم کہاں ہے؟,arrival_guidance,ISB,,,,,امیگریشن آمد کے بعد ہوتا ہے۔,Urdu
26,امیگریشن کہاں ہوتا ہے؟,arrival_guidance,ISB,,,,,بیگج کلیم امیگریشن کے بعد ہوتا ہے۔,Urdu
27,امیگریشن کہاں ہوتا ہے؟,arrival_guidance,ISB,,,,,بیگج کلیم امیگریشن کے بعد ہوتا ہے۔,Urdu
28,بیگج کلیم کہاں ہے؟,arrival_guidance,ISB,,,,,امیگریشن آمد کے بعد ہوتا ہے۔,Urdu
29,بیگج کلیم کہاں ہے؟,arrival_guidance,ISB,,,,,امیگریشن آمد کے بعد ہوتا ہے۔,Urdu
30,امیگریشن کہاں ہوتا ہے؟,arrival_guidance,ISB,,,,,امیگریشن آمد کے بعد ہوتا ہے۔,Urdu
31,لینڈنگ کے بعد کہاں جانا ہوتا ہے؟,arrival_guidance,ISB,,,,,امیگریشن آمد کے بعد ہوتا ہے۔,Urdu
32,بیگج کلیم کہاں ہے؟,arrival_guidance,ISB,,,,,امیگریشن آمد کے بعد ہوتا ہے۔,Urdu
33,بیگج کلیم کہاں ہے؟,arrival_guidance,ISB,,,,,امیگریشن آمد کے بعد ہوتا ہے۔,Urdu
34,لینڈنگ کے بعد کہاں جانا ہوتا ہے؟,arrival_guidance,ISB,,,,,بیگج کلیم امیگریشن کے بعد ہوتا ہے۔,Urdu
35,لینڈنگ کے بعد کہاں جانا ہوتا ہے؟,arrival_guidance,ISB,,,,,بیگج کلیم امیگریشن کے بعد ہوتا ہے۔,Urdu
36,امیگریشن کہاں ہوتا ہے؟,arrival_guidance,ISB,,,,,امیگریشن آمد کے بعد ہوتا ہے۔,Urdu
37,امیگریشن کہاں ہوتا ہے؟,arrival_guidance,ISB,,,,,بیگج کلیم امیگریشن کے بعد ہوتا ہے۔,Urdu
38,امیگریشن کہاں ہوتا ہے؟,arrival_guidance,ISB,,,,,لینڈنگ کے بعد: امیگریشن → بیگج → ایگزٹ۔,Urdu
39,بیگج کلیم کہاں ہے؟,arrival_guidance,ISB,,,,,امیگریشن آمد کے بعد ہوتا ہے۔,Urdu
40,بیگج کلیم کہاں ہے؟,arrival_guidance,ISB,,,,,امیگریشن آمد کے بعد ہوتا ہے۔,Urdu
41,بیگج کلیم کہاں ہے؟,arrival_guidance,ISB,,,,,بیگج کلیم امیگریشن کے بعد ہوتا ہے۔,Urdu
42,لینڈنگ کے بعد کہاں جانا ہوتا ہے؟,arrival_guidance,ISB,,,,,بیگج کلیم امیگریشن کے بعد ہوتا ہے۔,Urdu
43,لینڈنگ کے بعد کہاں جانا ہوتا ہے؟,arrival_guidance,ISB,,,,,امیگریشن آمد کے بعد ہوتا ہے۔,Urdu
44,لینڈنگ کے بعد کہاں جانا ہوتا ہے؟,arrival_guidance,ISB,,,,,بیگج کلیم امیگریشن کے بعد ہوتا ہے۔,Urdu
45,لینڈنگ کے بعد کہاں جانا ہوتا ہے؟,arrival_guidance,ISB,,,,,امیگریشن آمد کے بعد ہوتا ہے۔,Urdu
46,امیگریشن کہاں ہوتا ہے؟,arrival_guidance,ISB,,,,,بیگج کلیم امیگریشن کے بعد ہوتا ہے۔,Urdu
47,لینڈنگ کے بعد کہاں جانا ہوتا ہے؟,arrival_guidance,ISB,,,,,لینڈنگ کے بعد: امیگریشن → بیگج → ایگزٹ۔,Urdu
48,لینڈنگ کے بعد کہاں جانا ہوتا ہے؟,arrival_guidance,ISB,,,,,بیگج کلیم امیگریشن کے بعد ہوتا ہے۔,Urdu
49,بیگج کلیم کہاں ہے؟,arrival_guidance,ISB,,,,,لینڈنگ کے بعد: امیگریشن → بیگج → ایگزٹ۔,Urdu
50,امیگریشن کہاں ہوتا ہے؟,arrival_guidance,ISB,,,,,بیگج کلیم امیگریشن کے بعد ہوتا ہے۔,Urdu
