#,Intent,Language,User Query,Chatbot Response,Context
1,Lost_found_info,English,My luggage didn’t arrive. What should I do?,Please visit the Lost & Found counter near Belt 3 in the arrival hall. The staff will register a report and help trace your baggage through your airline’s tracking system.,Arrival
2,Lost_found_info,English,Where is the Lost and Found desk located?,"It’s located beside Belt 2 in the international arrivals area at Islamabad Airport, next to the Customs exit. Look for the blue “Lost & Found” signage.",Arrival
3,Lost_found_info,English,I lost my passport on the plane. Whom should I contact?,Immediately visit your airline’s arrival counter or the Lost & Found office. Airport security will assist in coordinating with the airline to retrieve it.,Arrival
4,Lost_found_info,English,Is there a Lost and Found office at Islamabad Airport?,"Yes, it operates 24/7 beside the customs area in the arrivals terminal. The staff handles lost baggage, travel documents, and personal items.",Arrival
5,Lost_found_info,English,How can I report my missing bag?,"Go to the airline’s baggage claim counter or Lost & Found section, provide your baggage tag and flight number, and fill out a missing baggage form.",Arrival
6,Lost_found_info,English,My suitcase is damaged. Can I file a complaint?,"Yes, report damaged baggage at your airline’s claim counter before leaving the hall. Airlines usually inspect and log the damage immediately.",Arrival
7,Lost_found_info,English,I found someone’s bag. Where should I return it?,Hand it over to airport security or directly to the Lost & Found counter. Please don’t open it — staff will record it and contact the rightful owner.,Arrival
8,Lost_found_info,English,How long does it take to recover lost luggage?,"It usually takes 24–48 hours, depending on airline tracing and connecting flights. The staff will contact you as soon as your baggage arrives.",Arrival
9,Lost_found_info,English,What are the Lost & Found office hours?,The office is open round-the-clock to help passengers from both domestic and international flights. You can visit anytime after landing.,Arrival
10,Lost_found_info,English,Is there a helpline number for missing items?,"Yes, you can call +92-51-111-786-787 or email lostfound@islamabadairport.com for quick assistance. Keep your flight details ready.",Arrival
11,Lost_found_info,English,I lost my wallet near immigration. What should I do?,Report it immediately to the airport security desk or Lost & Found office. They will check CCTV and coordinate with cleaning staff.,Arrival
12,Lost_found_info,English,Can I email about my missing luggage?,"Yes, email your flight number, description, and contact details to lostfound@islamabadairport.com. You’ll get a tracking reference within 24 hours.",Arrival
13,Lost_found_info,English,My bag didn’t arrive from Dubai. Who will help me?,Report it at your airline’s arrival desk. They will coordinate with the Dubai ground staff and the Lost & Found team here to trace it.,Arrival
14,Lost_found_info,English,What documents do I need to claim my lost item?,You’ll need your passport or CNIC and any proof of ownership like baggage tags or purchase receipts.,Arrival
15,Lost_found_info,English,I left my phone in the restroom. What should I do?,"Visit the Lost & Found counter and provide the restroom location and time. If found, staff will verify ownership and return it.",Arrival
16,Lost_found_info,English,Can someone else collect my lost item for me?,"Yes, another person can collect it with your written authorization and a copy of both IDs.",Arrival
17,Lost_found_info,English,Is there CCTV coverage in the baggage area?,"Yes, all belts and surrounding areas are under 24/7 CCTV surveillance. Footage can be reviewed by authorized staff upon request.",Arrival
18,Lost_found_info,English,How long are lost items kept at the airport?,"Unclaimed items are stored safely for 90 days in the Lost & Found storage area, after which they are handed to authorities.",Arrival
19,Lost_found_info,English,I found a passport at the waiting area. What do I do?,Please hand it to the immigration counter or Lost & Found staff. They handle sensitive documents with priority.,Arrival
20,Lost_found_info,English,My baggage tag is missing. Can my bag still be traced?,"Yes, if you provide flight details, name, and bag description, staff can track it through the airline database.",Arrival
